epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
41	-0.025038807	222.6462	-18.37025	6.0243754	22.49292	-28.553755	-230.85822	75.410164	-39.076633	-417.90683	1000.0	164000
42	-0.024835082	221.03049	-18.373726	6.026323	22.49292	-28.688307	-230.39221	74.79476	-39.076633	-417.90683	1000.0	168000
43	-0.025658896	220.51149	-18.331385	6.051168	22.49292	-28.774279	-229.74829	74.22093	-39.076633	-417.90683	1000.0	172000
44	-0.02541439	217.84268	-18.198812	6.114861	22.49292	-28.774279	-227.70836	74.93635	-39.076633	-417.90683	1000.0	176000
45	-0.025577905	216.99297	-18.14314	6.135354	22.49292	-28.774279	-226.56151	75.22956	-39.076633	-417.90683	1000.0	180000
46	-0.026744066	215.02052	-18.050396	6.144405	22.49292	-28.774279	-225.00185	75.41976	-39.076633	-417.90683	1000.0	184000
47	-0.027599791	213.06633	-18.069399	6.1621857	22.49292	-29.318563	-224.42906	74.90254	-39.076633	-417.90683	1000.0	188000
48	-0.026591256	212.4204	-18.088615	6.125376	22.49292	-29.318563	-224.15144	74.60709	-39.076633	-417.90683	1000.0	192000
49	-0.027279377	212.09238	-18.153927	6.1126833	22.49292	-30.11465	-224.02652	74.262695	-39.076633	-417.90683	1000.0	196000
50	-0.02693677	209.91385	-18.192347	6.09762	22.49292	-30.11465	-223.71085	73.57163	-39.076633	-417.90683	1000.0	200000
