epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-5.957989	0.40249148	4.800357	4.3592305	26.708403	-4.21588	-268.84375	40.65666	-199.43314	-302.59338	1000.0	-595.0504	0.7541915	-593.39636	-595.9149	1000.0	4000
2	-19.56245	1.1082239	17.769508	14.400661	64.82107	-4.771053	-350.45087	123.170654	-199.43314	-560.0969	1000.0	-576.8562	27.601948	-510.52878	-613.7939	1000.0	8000
3	-28.807121	1.5456164	27.24833	17.391216	69.62664	-4.771053	-380.66116	113.90952	-199.43314	-560.0969	1000.0	-558.848	75.5979	-314.43555	-738.1677	1000.0	12000
4	-36.84899	1.9906723	35.259968	20.302092	86.14426	-4.771053	-397.9724	139.05661	-199.43314	-756.9324	1000.0	-580.00714	83.23849	-314.43555	-768.2486	1000.0	16000
5	-41.974197	2.1287618	40.49949	21.15393	94.399254	-4.771053	-446.88443	160.18109	-199.43314	-756.9324	1000.0	-561.9914	102.3735	-191.01999	-768.2486	1000.0	20000
6	-44.97471	2.2465684	43.56668	21.251003	107.908356	-4.771053	-422.98386	164.44753	-166.89478	-756.9324	1000.0	-447.02722	305.8373	598.72784	-768.2486	1000.0	24000
7	-47.351185	2.406745	45.975666	22.17242	128.56073	-4.771053	-337.0237	330.30438	999.8845	-756.9324	1000.0	-279.35068	515.6668	1074.5465	-768.2486	1000.0	28000
8	-50.187523	2.6364682	48.81999	24.550755	147.0323	-4.771053	-242.78741	419.2258	1007.5662	-756.9324	1000.0	-136.81123	633.38586	1382.8473	-768.2486	1000.0	32000
9	-53.684517	2.9286425	52.31217	28.180815	175.81871	-4.771053	-86.763855	601.7561	1666.1643	-756.9324	1000.0	-20.014181	711.47656	1736.2915	-768.2486	1000.0	36000
10	-58.092575	3.2915986	56.695045	33.15498	195.68904	-4.771053	92.58318	792.6983	2168.688	-756.9324	1000.0	226.54727	1002.19586	2640.7168	-768.2486	1000.0	40000
11	-63.798244	3.7299318	62.355022	39.8283	235.56378	-4.771053	319.73737	1045.5306	2884.7617	-756.9324	1000.0	407.46222	1154.4807	3065.289	-768.2486	1000.0	44000
12	-70.9417	4.230621	69.4373	48.275097	270.68872	-4.771053	537.96	1235.5005	3060.4717	-756.9324	1000.0	625.55853	1341.4811	3731.2354	-768.2486	1000.0	48000
13	-79.42244	4.738425	77.856606	58.120766	308.56006	-4.771053	762.93066	1420.2485	3606.408	-756.9324	1000.0	874.8147	1551.4702	3946.6406	-768.2486	1000.0	52000
14	-88.998085	5.2613654	87.37264	68.78054	343.81372	-4.771053	969.1468	1557.5886	3712.031	-756.9324	1000.0	1070.2067	1660.7568	4011.7942	-768.2486	1000.0	56000
15	-99.44178	5.8179135	97.75602	79.723335	386.16486	-4.771053	1162.1871	1669.6581	4005.5376	-756.9324	1000.0	1217.6141	1740.6182	4462.9355	-768.2486	1000.0	60000
16	-110.53672	6.389387	108.79163	90.57828	416.2668	-4.771053	1323.1489	1733.0956	4005.5376	-756.9324	1000.0	1400.2203	1828.0146	4462.9355	-768.2486	1000.0	64000
17	-122.12633	6.9197044	120.319466	100.997856	439.70312	-4.771053	1472.8452	1784.8278	4005.5376	-756.9324	1000.0	1565.1105	1892.3046	4462.9355	-768.2486	1000.0	68000
18	-134.04857	7.3777966	132.18771	110.85594	459.1225	-4.771053	1618.2046	1835.373	4262.178	-756.9324	1000.0	1709.9539	1936.471	4512.434	-768.2486	1000.0	72000
19	-145.98586	7.7940955	144.08347	120.01199	481.75076	-4.771053	1751.0898	1873.4089	4300.848	-756.9324	1000.0	1815.9706	1964.8453	4545.445	-768.2486	1000.0	76000
20	-157.67662	8.1616955	155.74559	128.3364	493.2689	-4.771053	1872.8734	1902.8633	4551.1743	-756.9324	1000.0	1924.3505	2001.9547	4845.0938	-768.2486	1000.0	80000
21	-168.966	8.485928	167.01726	135.81395	512.6834	-4.771053	1997.8657	1939.4258	4656.4263	-756.9324	1000.0	2055.98	2040.7974	4915.029	-768.2486	1000.0	84000
22	-179.82906	8.780123	177.8638	142.58687	525.6364	-4.771053	2117.3772	1972.4763	4756.902	-756.9324	1000.0	2180.8179	2074.4685	5002.9263	-768.2486	1000.0	88000
