epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
1	-424.63486	78.78161	-298.0711	-506.26627	1000.0	-57.82045	1554.6582	-3.987604	0.76168585	-0.12024711	-5.2909	4000
2	-419.17865	79.14381	-308.6123	-517.252	1000.0	-50.73881	1185.5813	-9.155527	0.2043466	-4.346503	-9.271769	8000
3	-363.47482	90.86443	-220.58368	-452.15378	1000.0	-36.045715	846.61694	-11.850949	0.122769184	-7.77963	-11.902025	12000
4	-478.17902	41.654915	-426.7547	-533.9793	1000.0	-47.385387	1234.9408	-15.123078	0.053798698	-13.367837	-15.147597	16000
5	-351.1761	114.90888	-168.52194	-483.66354	1000.0	-24.488194	538.65393	-16.97418	0.08676872	-13.729031	-16.992489	20000
6	-362.16968	103.35788	-211.44508	-502.0818	1000.0	-23.601545	556.5404	-18.651352	0.034034293	-17.761124	-18.666922	24000
7	-394.67535	72.095436	-309.2957	-506.97513	1000.0	-26.587847	670.41736	-20.630262	0.023951463	-20.008202	-20.642023	28000
8	-359.143	112.461006	-225.1844	-496.27118	1000.0	-18.337837	489.69638	-22.213509	0.026083332	-21.425648	-22.223438	32000
9	-418.05054	123.534454	-290.7038	-618.6222	1000.0	-24.333452	772.11975	-24.2178	0.017730305	-23.775969	-24.225496	36000
10	-411.849	66.938255	-345.29062	-522.48694	1000.0	-20.071812	589.49194	-26.018091	0.036996182	-24.378353	-26.027864	40000
11	-452.9713	36.376667	-396.17758	-489.76465	1000.0	-22.786465	551.8165	-28.099977	0.011172565	-27.829138	-28.106434	44000
12	-314.45917	80.0481	-233.56046	-440.765	1000.0	-1.2440557	375.75534	-28.373678	0.0118953725	-28.003025	-28.380077	48000
13	-330.998	68.89664	-227.94955	-416.99564	1000.0	-5.890523	360.5805	-28.67401	0.04120732	-27.59409	-28.686222	52000
14	-391.47717	112.85486	-246.80191	-552.1191	1000.0	-9.974892	300.11334	-29.635847	0.015337215	-29.297112	-29.640663	56000
15	-392.09363	77.46302	-290.0247	-469.0944	1000.0	-8.657318	270.38956	-30.484207	0.012625916	-30.203636	-30.488216	60000
16	-368.85565	27.925735	-338.73218	-414.26086	1000.0	-4.8897758	345.36612	-31.003431	0.009606806	-30.80747	-31.00744	64000
17	-358.8999	76.86486	-260.2259	-475.55243	1000.0	-2.2378535	294.5971	-31.129738	0.050162017	-28.845917	-31.137754	68000
18	-341.66907	98.41453	-240.0626	-502.91678	1000.0	-0.9832516	299.8661	-31.194628	0.29718173	-24.077824	-31.230057	72000
19	-313.02133	76.10676	-203.28673	-418.10794	1000.0	4.0074873	359.6424	-30.433767	0.8079047	-11.497129	-30.564232	76000
20	-417.45813	27.388712	-370.3514	-438.10168	1000.0	-11.189559	294.48676	-31.747316	0.009877302	-31.58552	-31.753605	80000
21	-374.5121	62.837368	-288.6612	-457.6177	1000.0	-4.011027	342.03375	-32.22311	0.0055822944	-32.108368	-32.226696	84000
22	-318.09967	91.055145	-208.86885	-428.20016	1000.0	4.1748075	225.85477	-31.63853	0.014590064	-30.877584	-31.642895	88000
23	-349.99408	70.96666	-249.84247	-446.43756	1000.0	-0.09415603	298.20154	-31.463398	0.023932088	-30.800352	-31.4699	92000
24	-318.38055	50.872074	-237.14328	-369.1218	1000.0	3.6806464	266.18637	-30.739466	0.35667017	-19.935848	-30.784676	96000
25	-304.3854	34.89965	-267.44086	-361.1619	1000.0	5.3159275	240.02344	-29.388567	0.9657432	-17.07954	-29.65205	100000
26	-335.4654	58.288807	-249.45914	-402.00116	1000.0	-1.932159	252.48062	-29.521322	0.31923345	-20.561752	-29.586346	104000
27	-420.07098	102.09446	-249.75313	-509.0477	1000.0	-13.561304	328.83972	-31.759102	0.0116857	-31.478565	-31.766323	108000
28	-370.58112	63.68936	-319.1861	-479.3669	1000.0	-2.8133256	319.5032	-32.050323	0.012100105	-31.792212	-32.058002	112000
29	-269.96582	42.053482	-233.39055	-340.2531	1000.0	10.957392	198.99265	-29.025433	2.166523	-15.659458	-30.109913	116000
30	-274.42743	31.288864	-226.45058	-312.92807	1000.0	5.1609535	275.92944	-25.916245	1.3645426	-20.447176	-29.281881	120000
31	-285.00763	75.667244	-172.34898	-384.93887	1000.0	-0.22734118	324.13596	-25.754192	1.2884564	-18.488415	-29.295683	124000
32	-328.99182	127.08416	-110.12232	-418.28397	1000.0	-6.377871	285.14294	-28.015455	2.8840752	-6.64205	-30.120085	128000
33	-325.744	23.234808	-298.07315	-362.50787	1000.0	-2.1941984	193.80154	-30.06508	0.21085404	-27.549782	-30.18906	132000
34	-303.92218	76.136116	-194.09096	-406.60458	1000.0	3.0721562	294.35284	-27.796562	1.3498726	-17.71538	-29.668669	136000
35	-305.3553	113.11018	-123.09421	-410.30344	1000.0	-0.10408139	268.30396	-27.261309	2.432655	-10.935547	-29.755812	140000
36	-281.62048	38.69184	-230.38081	-327.16724	1000.0	1.849966	255.56711	-26.10977	1.6047813	-19.807302	-29.465134	144000
37	-306.93076	55.26532	-225.82867	-360.06924	1000.0	-3.094003	347.047	-27.139996	1.4749733	-19.79826	-29.617973	148000
38	-241.64352	49.420197	-189.40744	-295.80142	1000.0	6.802831	179.41919	-22.077606	1.0498477	-17.282936	-25.976048	152000
39	-279.12396	112.22301	-165.86029	-465.60437	1000.0	-5.4908543	400.95322	-24.880207	3.135424	-6.475995	-29.749844	156000
40	-197.30013	47.026173	-117.07822	-236.25316	1000.0	8.949762	225.94852	-18.419825	1.274232	-12.301131	-26.421034	160000
41	-267.89175	66.29865	-163.18808	-347.25085	1000.0	-9.471579	283.401	-24.177984	1.0902842	-14.3079815	-28.043503	164000
42	-326.5652	31.33614	-290.09384	-376.6187	1000.0	-8.169842	223.58887	-28.917738	0.49081597	-26.693638	-30.70617	168000
