epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.0479156	1002.44965	-4.8487496	0.7356956	0.1935464	-6.057269	0.012663748	-346.276	59.259468	-260.6296	-420.97037	1000.0	4000
2	-0.04975854	830.40564	-7.280131	2.492328	0.1935464	-9.851469	0.01385534	-344.75748	55.75029	-260.6296	-420.97037	1000.0	8000
3	-0.050283644	724.98193	-8.824522	2.9895504	0.1935464	-12.007118	0.014031939	-314.21213	102.418846	-29.105793	-420.97037	1000.0	12000
4	-0.050527774	661.4715	-10.2557535	3.58606	0.1935464	-14.595302	0.014285041	-314.93298	99.60147	-29.105793	-447.03122	1000.0	16000
5	-0.050980188	593.5514	-11.244286	3.8133206	3.1163042	-15.552955	0.014428744	-296.2404	97.991875	-29.105793	-447.03122	1000.0	20000
6	-0.05072464	525.63617	-11.883091	3.8664434	13.743292	-15.728924	0.014526371	-275.90463	101.23038	-29.105793	-447.03122	1000.0	24000
7	-0.051003147	475.97638	-12.494777	3.8893528	13.743292	-16.374327	0.014596443	-267.10938	98.78828	-29.105793	-447.03122	1000.0	28000
8	-0.05067763	440.3662	-12.778025	3.864105	13.743292	-16.374327	0.014649918	-255.65067	100.39597	-29.105793	-447.03122	1000.0	32000
9	-0.051054385	414.42688	-12.921353	3.8695285	13.743292	-16.554693	0.014689424	-245.59473	100.31774	-29.105793	-447.03122	1000.0	36000
10	-0.050855078	393.04794	-13.089557	3.8544219	13.743292	-17.032467	0.014736228	-238.9063	99.73219	-29.105793	-447.03122	1000.0	40000
11	-0.05061412	369.28513	-13.135329	3.8691804	13.743292	-17.344637	0.014772749	-232.01259	99.33744	-29.105793	-447.03122	1000.0	44000
12	-0.05050689	347.07797	-13.021818	3.8798256	13.743292	-17.344637	0.014802251	-223.53093	99.3973	-29.105793	-447.03122	1000.0	48000
13	-0.05028451	336.23145	-13.109564	3.8705108	13.743292	-17.585466	0.014832187	-219.67628	98.72189	-29.105793	-447.03122	1000.0	52000
14	-0.047601152	320.24014	-13.136779	3.9536374	13.743292	-17.944868	0.014919175	-214.53885	97.29951	-29.105793	-447.03122	1000.0	56000
15	-0.047868207	305.23053	-12.900404	4.013486	13.743292	-17.944868	0.014925073	-206.86557	98.769295	-29.105793	-447.03122	1000.0	60000
16	-0.04792402	292.98267	-12.758029	4.031937	13.743292	-17.944868	0.014936019	-200.57135	100.02032	0.49884766	-447.03122	1000.0	64000
17	-0.048049547	286.91858	-12.620462	4.144413	13.743292	-18.040596	0.014949012	-195.9094	101.518	0.49884766	-447.03122	1000.0	68000
18	-0.047932602	276.47705	-12.485441	4.268795	13.743292	-18.440338	0.0149578005	-192.45563	100.9312	0.49884766	-447.03122	1000.0	72000
19	-0.048082568	269.66168	-12.2271385	4.419628	13.743292	-18.440338	0.014964342	-186.49828	103.20055	60.465557	-447.03122	1000.0	76000
20	-0.048046	260.18573	-11.922893	4.6206975	13.743292	-18.440338	0.014968254	-180.37218	104.44812	60.465557	-447.03122	1000.0	80000
21	-0.04793388	251.32529	-11.424759	5.062193	13.743292	-18.440338	0.014971717	-172.75134	107.671394	60.465557	-447.03122	1000.0	84000
22	-0.047878195	245.94313	-11.2004175	5.1137776	13.743292	-18.440338	0.014976505	-168.6124	107.178085	60.465557	-447.03122	1000.0	88000
23	-0.04792103	237.57579	-11.003672	5.172503	13.743292	-18.502205	0.014981617	-164.38434	106.83774	60.465557	-447.03122	1000.0	92000
24	-0.048037678	230.40295	-10.664036	5.3483133	13.743292	-18.502205	0.0149872005	-158.97078	107.90794	60.465557	-447.03122	1000.0	96000
25	-0.047995243	223.95032	-10.232951	5.677651	13.743292	-18.502205	0.014996896	-152.48639	110.445984	60.465557	-447.03122	1000.0	100000
26	-0.04799924	218.14967	-9.776635	6.0454297	13.743292	-18.502205	0.015006501	-146.10167	113.16363	60.465557	-447.03122	1000.0	104000
27	-0.04790381	215.0299	-9.460947	6.206386	13.747227	-18.534727	0.015013621	-140.97218	114.19328	60.465557	-447.03122	1000.0	108000
28	-0.04783621	210.43077	-9.097108	6.4804296	13.823374	-18.534727	0.015013939	-135.50722	115.75281	60.465557	-447.03122	1000.0	112000
29	-0.047729243	206.04877	-8.613896	6.918601	13.929376	-18.534727	0.015018425	-128.94481	118.94717	72.80497	-447.03122	1000.0	116000
30	-0.047690686	201.72215	-8.244087	7.1061563	13.929376	-18.534727	0.015018102	-124.03791	119.91094	72.80497	-447.03122	1000.0	120000
31	-0.04763738	198.30934	-7.8094535	7.4472747	14.548034	-18.534727	0.015019348	-118.16023	122.48159	121.88504	-447.03122	1000.0	124000
32	-0.047490135	194.01735	-7.4178762	7.6678658	14.749403	-18.534727	0.015021502	-112.74632	124.47165	121.88504	-447.03122	1000.0	128000
