epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-15.447649	3.2220197	13.417715	8.568261	63.804474	-14.580791	13.4160185	8.573207	62.43186	-14.903848	18.167324	15.167162	119.916626	5.270967	22.346369	120.96871	7.9156613	137.57799	109.51204	65.0	0.35015392	4000	-2.3063421
2	-56.81085	31.281893	50.67756	46.45816	207.50441	-67.84475	50.675888	46.471992	207.5095	-48.317463	30.740461	45.596493	239.5445	3.8830304	27.39726	186.50584	72.893	311.6464	109.51204	118.0	0.3280685	8000	-0.78547186
3	-93.24504	63.179146	86.857346	67.372086	258.12723	-109.47344	86.85372	67.3918	261.78525	-64.14172	44.1897	102.79991	1041.7916	3.8830304	39.215687	128.10175	101.84027	311.6464	4.204692	91.6	0.29435983	12000	-0.5170802
4	-114.068275	82.21708	107.929535	73.28151	320.12717	-109.47344	107.92707	73.30125	327.03403	-64.14172	57.28149	117.89241	1041.7916	3.8830304	46.783627	179.2452	125.24622	361.56644	4.204692	110.075	0.26567325	16000	-0.389663
5	-130.78624	89.78325	124.849686	78.12662	320.12717	-109.47344	124.84788	78.14532	327.03403	-64.14172	71.806335	143.0459	1043.2152	3.8830304	56.338028	343.1848	355.54852	1062.6122	4.204692	274.12	0.25162792	20000	-0.31464967
6	-142.98952	90.739365	137.3547	79.9665	320.12717	-113.15316	137.35342	79.982994	327.03403	-78.99763	86.68934	158.53587	1043.2152	3.8830304	64.17112	338.17865	324.8361	1062.6122	4.204692	252.85	0.23586161	24000	-0.26395643
7	-151.18015	90.8599	145.8604	80.810905	320.12717	-113.15316	145.85951	80.82625	327.03403	-81.38318	101.288994	165.33812	1043.2152	3.8830304	70.52897	332.73325	301.04343	1062.6122	4.204692	239.48572	0.22234167	28000	-0.22609147
8	-156.02422	89.074554	151.02509	80.61576	320.12717	-113.15316	151.02423	80.63059	327.03403	-120.91925	113.73417	170.37817	1043.2152	3.8830304	75.829384	340.5367	282.53745	1062.6122	4.204692	233.6	0.20944947	32000	-0.20220701
9	-158.33556	86.34787	153.63275	79.68972	320.12717	-113.15316	153.63213	79.70429	327.03403	-120.91925	125.974396	174.30763	1043.2152	3.8830304	80.71749	352.27356	268.5823	1062.6122	4.204692	233.17778	0.19692872	36000	-0.18187658
10	-159.24316	83.30854	154.82155	78.34351	320.12717	-113.15316	154.82101	78.35792	327.03403	-120.91925	136.00905	182.67345	1043.2152	3.8830304	86.95652	423.52454	332.62463	1098.0641	4.204692	309.86	0.18631016	40000	-0.1623267
