epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
21	-148.84576	13.209175	148.43846	119.510506	448.78763	-14.295519	148.43817	119.50983	445.82028	-16.707485	3321.1455	2046.1243	6049.9116	-368.16916	1000.0	3444.596	2053.8835	6104.8765	-776.60815	1000.0	0.07687492	84000	-0.6064681
22	-157.43736	13.725209	157.0446	124.67939	457.09927	-14.295519	157.04425	124.67873	455.97266	-16.707485	3439.8896	2071.9148	6051.7007	-368.16916	1000.0	3574.1694	2092.7986	6387.6357	-776.60815	1000.0	0.07910135	88000	-0.5783329
23	-165.83167	14.230739	165.45326	129.53806	466.9592	-14.295519	165.45284	129.53738	466.35895	-16.707485	3556.4172	2098.811	6183.281	-368.16916	1000.0	3690.6753	2118.683	6434.635	-776.60815	1000.0	0.0813471	92000	-0.5519223
24	-174.0347	14.701152	173.66997	134.10658	478.42517	-14.295519	173.66951	134.10594	479.10812	-17.471176	3670.6199	2126.3936	6352.6743	-368.16916	1000.0	3791.7	2129.9766	6434.635	-776.60815	1000.0	0.08361522	96000	-0.5286555
25	-182.05077	15.14463	181.69998	138.41148	491.04465	-15.545176	181.69954	138.41087	491.44278	-17.471176	3776.2031	2146.7996	6472.472	-368.16916	1000.0	3892.6565	2144.8657	6520.138	-776.60815	1000.0	0.08578407	100000	-0.5071655
26	-189.88023	15.566938	189.54318	142.4698	505.30197	-15.545176	189.54279	142.46925	505.29868	-17.471176	3877.1887	2165.015	6595.7803	-368.16916	1000.0	3996.4702	2166.3965	6741.2725	-776.60815	1000.0	0.087920256	104000	-0.48710686
27	-197.49799	16.001396	197.17542	146.2753	520.3135	-40.571568	197.17497	146.2747	518.7893	-47.374775	3941.0715	2171.2578	6595.7803	-368.16916	1000.0	4088.9468	2178.187	6741.2725	-776.60815	1000.0	0.09005308	108000	-0.4685925
28	-204.82011	16.46556	204.51048	149.80249	521.7538	-81.52855	204.51016	149.80194	523.2078	-83.26143	4036.6472	2189.255	6696.8184	-368.16916	1000.0	4177.5103	2188.0461	6811.5254	-776.60815	1000.0	0.09211371	112000	-0.4517625
29	-211.9705	16.885912	211.6736	153.1521	542.847	-113.32639	211.67313	153.15149	542.21265	-123.36114	4131.4204	2208.9373	6940.435	-368.16916	1000.0	4266.0156	2200.4436	6903.4165	-776.60815	1000.0	0.09401441	116000	-0.43619394
30	-218.94992	17.320541	218.66617	156.32518	549.5729	-139.65494	218.66576	156.3246	551.05023	-130.17235	4217.091	2220.3381	6940.435	-368.16916	1000.0	4337.5674	2210.2617	6930.1943	-776.60815	1000.0	0.095960036	120000	-0.4211269
31	-225.74481	17.728798	225.47462	159.3082	555.25995	-139.65494	225.47421	159.30766	558.4498	-145.81111	4301.222	2232.5466	7078.3735	-368.16916	1000.0	4419.009	2219.6177	6930.1943	-776.60815	1000.0	0.097844735	124000	-0.40752372
32	-232.37144	18.118628	232.11398	162.12288	568.37976	-139.65494	232.11356	162.12231	570.44904	-145.81111	4382.472	2243.5298	7078.3735	-368.16916	1000.0	4490.6855	2220.982	6930.509	-776.60815	1000.0	0.09963178	128000	-0.39435294
33	-238.84117	18.499975	238.59573	164.79271	578.34973	-139.65494	238.59526	164.79211	578.1414	-145.81111	4464.861	2257.904	7139.6157	-368.16916	1000.0	4569.979	2232.744	7345.282	-776.60815	1000.0	0.10138487	132000	-0.38240588
34	-245.16765	18.850508	244.93427	167.33693	585.45917	-154.90181	244.93376	167.33641	584.05194	-145.81111	4538.88	2264.9478	7271.699	-368.16916	1000.0	4638.8735	2242.665	7471.0034	-776.60815	1000.0	0.10309274	136000	-0.37073782
35	-251.34616	19.182959	251.12508	169.7591	591.35333	-181.63586	251.12459	169.75859	590.1193	-145.81111	4615.6694	2276.914	7363.384	-368.16916	1000.0	4716.4443	2256.2498	7491.9478	-776.60815	1000.0	0.10478947	140000	-0.3599394
36	-257.37326	19.518656	257.1639	172.0549	599.0503	-181.63586	257.16342	172.05432	600.18066	-145.81111	4686.2134	2283.5947	7363.384	-368.16916	1000.0	4789.2324	2266.0525	7504.959	-776.60815	1000.0	0.10640944	144000	-0.3500419
37	-263.26074	19.857082	263.06195	174.23164	604.43225	-181.63586	263.0615	174.23097	606.1248	-145.81111	4755.5903	2290.7546	7366.504	-368.16916	1000.0	4857.987	2273.032	7504.959	-776.60815	1000.0	0.10801003	148000	-0.34036985
38	-269.0222	20.1413	268.83435	176.31612	614.5061	-181.63586	268.83392	176.31561	613.699	-145.81111	4821.1846	2295.5286	7424.2056	-368.16916	1000.0	4920.503	2275.0125	7504.959	-776.60815	1000.0	0.10955398	152000	-0.33127084
39	-274.66837	20.422747	274.49045	178.31282	629.928	-181.63586	274.48996	178.31241	631.5674	-145.81111	4886.9146	2302.0745	7697.8	-368.16916	1000.0	4985.4756	2281.1868	7685.402	-776.60815	1000.0	0.11101258	156000	-0.3227608
40	-280.19183	20.72235	280.02457	180.22125	634.7903	-181.63586	280.02414	180.22092	635.1552	-145.81111	4954.4346	2311.8967	7697.8	-368.16916	1000.0	5030.44	2284.365	7685.402	-776.60815	1000.0	0.11244026	160000	-0.31459183
41	-285.5998	21.056213	285.44244	182.05403	641.3691	-181.63586	285.44205	182.05348	641.60376	-165.23465	5013.0674	2315.5488	7787.1978	-368.16916	1000.0	5092.1665	2289.978	7964.5947	-776.60815	1000.0	0.11391267	164000	-0.30660778
42	-290.88354	21.382605	290.7359	183.81291	646.6724	-208.73508	290.73557	183.81235	647.0001	-179.40305	5077.7246	2325.0251	7849.068	-368.16916	1000.0	5156.7314	2300.059	7964.5947	-776.60815	1000.0	0.115378454	168000	-0.29905987
43	-296.0539	21.736105	295.91595	185.49812	652.44965	-208.73508	295.9155	185.49763	651.6341	-179.40305	5140.771	2333.9385	7900.0283	-368.16916	1000.0	5208.943	2305.1975	7967.059	-776.60815	1000.0	0.11686275	172000	-0.29215622
44	-301.1185	22.07897	300.98984	187.10915	656.5004	-208.73508	300.9895	187.10872	655.7144	-180.9005	5200.7583	2340.6504	7936.129	-368.16916	1000.0	5270.941	2314.913	8209.09	-776.60815	1000.0	0.11837116	176000	-0.28534192
45	-306.09253	22.39178	305.97336	188.66309	669.65424	-210.41754	305.97302	188.66263	670.2056	-180.9005	5262.8564	2351.03	8226.032	-368.16916	1000.0	5333.528	2326.4973	8220.384	-776.60815	1000.0	0.119821616	180000	-0.2787223
46	-310.9673	22.692984	310.85748	190.15768	674.21423	-210.41754	310.85724	190.15712	675.48535	-180.9005	5316.95	2353.5444	8226.032	-368.16916	1000.0	5383.5796	2335.586	8378.843	-776.60815	1000.0	0.121247016	184000	-0.2728959
47	-315.76245	23.00917	315.66064	191.60915	680.9366	-210.41754	315.66043	191.60873	679.5476	-180.9005	5353.765	2352.9634	8226.032	-368.16916	1000.0	5439.9346	2342.2803	8378.843	-776.60815	1000.0	0.12258802	188000	-0.26689225
48	-320.43814	23.387207	320.34537	193.01305	685.5836	-251.09186	320.3452	193.01266	686.61	-180.9005	5408.516	2358.5105	8226.032	-368.16916	1000.0	5495.4155	2348.8027	8378.843	-776.60815	1000.0	0.1238721	192000	-0.26130477
49	-325.0352	23.724333	324.95062	194.36633	691.40216	-251.09186	324.95044	194.36592	692.57635	-238.86696	5460.8896	2362.4226	8226.032	-368.16916	1000.0	5554.4067	2360.4573	8591.092	-776.60815	1000.0	0.12515882	196000	-0.25591215
50	-329.55487	24.049633	329.4786	195.6824	695.4487	-360.4712	329.4785	195.68208	695.21027	-281.22183	5511.064	2365.0488	8256.358	-368.16916	1000.0	5609.229	2368.0925	8591.092	-776.60815	1000.0	0.12643932	200000	-0.25069085
51	-333.9894	24.348333	333.92145	196.95026	701.63617	-360.4712	333.92142	196.94974	701.5428	-281.22183	5563.1914	2370.6707	8303.016	-368.16916	1000.0	5660.259	2372.4666	8591.092	-776.60815	1000.0	0.1277162	204000	-0.24577262
52	-338.3432	24.663675	338.28403	198.16931	706.2084	-360.4712	338.28397	198.16882	705.3116	-281.22183	5613.8013	2375.4763	8350.32	-368.16916	1000.0	5710.0454	2376.4521	8591.092	-776.60815	1000.0	0.12898944	208000	-0.240867
53	-342.61453	25.029228	342.56396	199.3372	717.33734	-360.4712	342.56387	199.33667	717.4322	-333.5188	5660.257	2377.428	8511.435	-368.16916	1000.0	5755.274	2376.4517	8591.092	-776.60815	1000.0	0.13029625	212000	-0.23629783
54	-346.7881	25.44749	346.7473	200.44751	729.92	-360.4712	346.74728	200.44719	722.58636	-333.52982	5711.3843	2384.5864	8595.772	-368.16916	1000.0	5796.552	2373.5256	8591.092	-776.60815	1000.0	0.13161719	216000	-0.23195301
55	-350.86823	25.873726	350.83655	201.49182	729.92	-360.4712	350.8364	201.49155	722.58636	-333.52982	5762.2593	2392.22	8595.772	-368.16916	1000.0	5847.7256	2381.7776	8752.982	-776.60815	1000.0	0.13288954	220000	-0.22759415
56	-354.86493	26.221073	354.84238	202.48566	729.92	-360.4712	354.84213	202.48509	722.58636	-333.52982	5811.4526	2398.7148	8694.465	-368.16916	1000.0	5898.9653	2390.851	8868.286	-776.60815	1000.0	0.13408817	224000	-0.22354081
57	-358.77475	26.647816	358.76144	203.43239	729.92	-360.4712	358.76132	203.43199	725.8273	-333.52982	5838.9014	2392.8022	8694.465	-368.16916	1000.0	5938.393	2388.216	8868.286	-776.60815	1000.0	0.13533111	228000	-0.2195777
58	-362.59332	27.098244	362.58908	204.35258	732.7642	-360.4712	362.589	204.35233	734.8539	-333.52982	5882.2427	2394.6836	8694.465	-368.16916	1000.0	5959.428	2397.2725	8868.286	-776.60815	1000.0	0.13661124	232000	-0.21579085
59	-366.3399	27.51019	366.34445	205.22472	736.4345	-360.4712	366.34433	205.22426	740.02106	-333.52982	5924.7837	2396.349	8694.465	-368.16916	1000.0	6005.7695	2403.002	8958.894	-776.60815	1000.0	0.13785547	236000	-0.21189092
