epoch	mu-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-3.414333	0.43764755	2.4733179	3.7322412	24.77474	-5.981025	-315.01978	52.841446	-237.42833	-383.78662	1000.0	-595.0916	38.81857	-532.6436	-658.11584	1000.0	4000
2	-32.5614	2.8277206	29.88539	14.022289	73.10255	-3.5994039	-410.85947	62.545444	-335.7941	-478.91553	1000.0	-511.80322	28.447	-468.95142	-555.32214	1000.0	8000
3	-56.06993	3.4568563	54.28655	13.254372	105.410866	27.063602	-453.3512	100.108406	-297.44293	-564.84326	1000.0	-495.43872	137.30728	-94.57505	-609.0482	1000.0	12000
4	-66.335785	3.3521795	65.06122	20.53793	107.20064	29.863789	110.88397	234.01381	327.52603	-239.29192	1000.0	219.88782	189.09503	473.70706	-238.29402	1000.0	16000
5	-76.75843	3.0175362	75.54599	21.532608	119.83228	33.424747	487.0176	98.24367	632.2538	370.3404	1000.0	689.30597	399.63425	1082.5432	-97.9578	1000.0	20000
6	-87.61781	3.00365	86.40975	21.727663	137.13895	38.97429	1108.9547	168.22905	1270.0415	829.72455	1000.0	992.23035	707.0864	1770.6318	-342.36554	1000.0	24000
7	-98.73816	3.6681848	97.46784	25.016731	155.15756	45.513752	501.33966	455.57922	1121.665	-132.24283	1000.0	1796.3386	283.01303	2058.3955	1027.0414	1000.0	28000
8	-108.88658	4.5866866	107.50745	35.389572	178.72351	42.793087	1625.6085	814.67584	2340.9917	274.4206	1000.0	2419.0996	78.58816	2581.4272	2321.9377	1000.0	32000
9	-128.2677	5.108102	126.75455	45.732292	207.59183	39.014065	2410.7217	78.67728	2527.6116	2337.705	1000.0	2533.4507	102.71816	2630.0059	2268.069	1000.0	36000
10	-150.38771	5.640353	148.751	54.48629	241.46089	40.337612	2228.121	856.53107	3001.7964	776.8077	1000.0	2874.4634	387.52487	3209.9644	1761.0332	1000.0	40000
11	-172.34433	6.4398174	170.65822	63.135765	270.40546	40.07431	2929.8276	49.711704	2993.7473	2868.893	1000.0	2918.4966	315.82385	3142.941	1995.4078	1000.0	44000
12	-196.48485	7.2272215	194.6948	71.177986	300.0703	41.51984	3171.6213	114.537384	3292.3936	3056.4812	1000.0	3383.6821	140.66318	3627.9558	3166.3875	1000.0	48000
13	-221.50209	7.963646	219.62328	78.69994	330.31415	42.390003	3419.0957	147.04427	3590.2	3248.4316	1000.0	3486.946	194.77205	3686.326	3130.545	1000.0	52000
14	-246.54901	8.656735	244.63515	84.99247	358.7836	44.696136	3636.5015	157.93646	3803.6892	3378.921	1000.0	3357.584	801.86945	3947.1697	1293.6779	1000.0	56000
15	-270.58997	9.277174	268.64822	89.80879	384.61133	49.927074	3695.7769	121.50771	3849.698	3523.0396	1000.0	4028.35	101.358696	4225.301	3833.9407	1000.0	60000
16	-294.01013	10.03714	291.9801	93.54831	411.40466	55.232143	4031.5332	88.63769	4108.964	3890.1836	1000.0	3640.3118	311.3729	4071.74	3103.3147	1000.0	64000
17	-317.0483	10.643539	314.95456	96.25489	435.06046	57.89032	4065.0647	111.7521	4240.327	3930.0247	1000.0	3963.2234	193.79327	4224.184	3669.1316	1000.0	68000
18	-339.65417	11.1440115	337.52237	97.5541	452.44342	73.73479	4154.034	107.05144	4279.3755	3989.9365	1000.0	4002.5952	217.52235	4272.5283	3682.485	1000.0	72000
19	-359.7156	11.521829	357.55972	97.98108	473.96967	86.13075	4118.621	113.30652	4314.3516	4040.2295	1000.0	4023.112	409.3602	4676.2964	3425.207	1000.0	76000
20	-379.3181	12.640649	377.09583	96.31293	492.5508	101.11171	3977.247	418.72473	4499.073	3351.3674	1000.0	4343.328	297.9002	4703.3325	3726.9216	1000.0	80000
21	-397.25732	13.528194	395.04184	93.68779	510.62454	96.84229	4446.7915	126.956566	4552.2	4238.712	1000.0	4549.96	197.61555	4820.576	4084.624	1000.0	84000
22	-414.1503	13.058528	411.9344	90.72701	525.1904	131.01492	4522.4443	81.430786	4605.2188	4387.671	1000.0	4661.961	391.1203	5035.637	3641.3926	1000.0	88000
23	-430.05588	12.536424	427.82843	86.94893	537.6845	163.42374	4547.6255	68.801636	4656.347	4483.1323	1000.0	4494.77	285.87772	4823.888	3838.6624	1000.0	92000
24	-443.52014	12.809166	441.33917	86.39312	556.5497	168.10455	4720.246	94.19808	4861.0063	4606.2427	1000.0	4929.7266	176.61674	5199.7607	4611.442	1000.0	96000
25	-457.0115	13.182682	454.7537	84.678734	564.7357	190.87683	4872.408	113.52866	5035.0615	4749.328	1000.0	4007.7434	1702.2065	5032.285	316.74182	1000.0	100000
