epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-3.615276	0.3061868	2.7859762	3.0430396	18.381086	-8.037576	-260.2569	60.161797	-186.87119	-335.87564	1000.0	-593.4368	0.6105916	-592.54297	-594.5448	1000.0	4000
2	-12.961717	0.81837845	11.593795	10.486956	49.413513	-8.839128	-299.5322	105.4011	-166.48874	-490.3109	1000.0	-701.3332	138.60341	-592.54297	-1009.5786	1000.0	8000
3	-21.517223	1.2640023	20.151604	15.788089	70.36744	-8.839128	-377.76004	148.20691	-166.48874	-646.68677	1000.0	-622.80756	163.20622	-328.26624	-1009.5786	1000.0	12000
4	-26.769917	1.5073918	25.48116	19.184048	90.5515	-8.839128	-314.2508	241.13928	387.791	-646.68677	1000.0	-534.54895	255.04965	268.737	-1009.5786	1000.0	16000
5	-31.63014	1.6941357	30.391558	22.3824	105.29503	-8.839128	-239.40276	329.67154	719.42084	-646.68677	1000.0	-332.07147	523.51544	1068.7999	-1009.5786	1000.0	20000
6	-36.449673	1.8948481	35.22099	26.068165	129.16812	-8.839128	-30.831503	599.66614	1523.6034	-646.68677	1000.0	-93.44915	742.1027	1493.8099	-1009.5786	1000.0	24000
7	-41.987297	2.2211988	40.747154	31.225126	154.16734	-8.839128	34.40769	635.4367	1523.6034	-646.68677	1000.0	-21.109842	761.8026	1784.3093	-1009.5786	1000.0	28000
8	-47.93939	2.6365974	46.677437	37.15356	182.59395	-8.839128	135.7979	662.8046	1523.6034	-646.68677	1000.0	79.50415	826.57587	2320.7014	-1009.5786	1000.0	32000
9	-54.578907	3.1366007	53.277905	44.09614	215.5178	-8.839128	231.32356	714.18933	1751.3093	-646.68677	1000.0	174.32796	899.7442	2374.4116	-1009.5786	1000.0	36000
10	-61.68303	3.6495872	60.348747	51.272537	241.1034	-8.839128	295.43695	728.33276	1859.169	-646.68677	1000.0	234.55055	897.17847	2374.4116	-1009.5786	1000.0	40000
11	-68.62187	4.1967044	67.26561	57.836563	262.44333	-8.839128	323.43488	751.4647	1859.169	-756.21075	1000.0	274.90753	896.79694	2374.4116	-1009.5786	1000.0	44000
12	-75.325485	4.796677	73.9464	63.903297	278.2816	-8.839128	349.74295	745.6087	1859.169	-756.21075	1000.0	330.71393	902.051	2374.4116	-1009.5786	1000.0	48000
13	-81.82705	5.4050856	80.42993	69.623146	295.61298	-8.839128	422.0176	822.761	2494.7615	-756.21075	1000.0	423.79633	966.9331	2837.5173	-1009.5786	1000.0	52000
14	-88.250084	6.0087285	86.83357	75.06556	312.53903	-8.839128	546.9474	922.9514	2696.2131	-756.21075	1000.0	566.47125	1066.2101	2837.5173	-1009.5786	1000.0	56000
15	-94.788345	6.5962443	93.35247	80.365425	326.91632	-8.839128	657.749	989.95135	2696.2131	-756.21075	1000.0	645.1204	1116.8129	3176.3105	-1009.5786	1000.0	60000
16	-101.23486	7.192847	99.780235	85.17856	346.4972	-8.839128	634.1084	973.3923	2696.2131	-756.21075	1000.0	753.611	1166.314	3176.3105	-1009.5786	1000.0	64000
17	-107.41013	7.769115	105.93607	89.299614	353.3857	-8.839128	686.5631	989.87616	2696.2131	-756.21075	1000.0	835.45844	1201.8558	3176.3105	-1009.5786	1000.0	68000
18	-113.565346	8.384796	112.06826	93.13531	364.20584	-8.839128	781.49585	1038.6772	2696.2131	-756.21075	1000.0	924.3218	1231.089	3210.911	-1009.5786	1000.0	72000
19	-119.82407	9.001905	118.294914	96.680824	375.0852	-8.839128	827.04584	1051.8251	2751.6008	-756.21075	1000.0	1019.27515	1267.5474	3381.2253	-1009.5786	1000.0	76000
20	-126.04281	9.543902	124.49034	99.940216	383.50845	-8.839128	891.6966	1089.846	3255.4053	-756.21075	1000.0	1066.5259	1278.4059	3381.2253	-1009.5786	1000.0	80000
21	-132.17255	9.9493885	130.60652	103.09805	393.24924	-8.839128	982.9214	1141.4248	3255.4053	-756.21075	1000.0	1140.7897	1297.8478	3381.2253	-1009.5786	1000.0	84000
22	-138.15297	10.348079	136.57411	106.12498	411.64835	-8.839128	1046.4641	1164.5258	3255.4053	-756.21075	1000.0	1209.0461	1326.3639	3381.2253	-1009.5786	1000.0	88000
23	-144.00116	10.743176	142.40994	109.05307	420.6576	-8.839128	1131.61	1206.9761	3255.4053	-756.21075	1000.0	1267.6345	1335.743	3526.0	-1009.5786	1000.0	92000
24	-149.7398	11.14065	148.1381	111.941246	427.4435	-8.839128	1208.1527	1237.974	3307.9763	-756.21075	1000.0	1326.1979	1368.1508	3808.808	-1009.5786	1000.0	96000
25	-155.38649	11.5329075	153.77504	114.80449	440.28	-8.839128	1289.2836	1277.9951	3544.6099	-756.21075	1000.0	1393.0642	1387.7139	3808.808	-1009.5786	1000.0	100000
26	-160.9299	11.909589	159.31027	117.59354	451.2228	-8.839128	1349.3599	1292.8741	3544.6099	-756.21075	1000.0	1471.5891	1418.5554	4235.2505	-1009.5786	1000.0	104000
27	-166.36728	12.336909	164.73793	120.32565	464.3652	-8.839128	1432.3867	1337.9629	3851.7168	-756.21075	1000.0	1506.5555	1431.355	4235.2505	-1009.5786	1000.0	108000
28	-171.76254	12.744349	170.1233	123.03687	476.32138	-8.839128	1506.5153	1371.591	4037.3516	-756.21075	1000.0	1592.7576	1476.48	4474.6216	-1009.5786	1000.0	112000
29	-177.08615	13.151301	175.43759	125.69346	485.0406	-8.839128	1583.5907	1408.3207	4037.3516	-756.21075	1000.0	1659.0417	1513.2526	4563.636	-1009.5786	1000.0	116000
30	-182.35869	13.565305	180.70226	128.3221	489.99048	-8.839128	1647.5007	1428.2557	4037.3516	-756.21075	1000.0	1741.0791	1552.6782	4668.773	-1009.5786	1000.0	120000
31	-187.51538	14.0103035	185.8499	130.90453	512.9944	-8.839128	1688.7697	1457.3896	4065.386	-756.21075	1000.0	1813.4595	1578.4447	4668.773	-1009.5786	1000.0	124000
32	-192.58086	14.473741	190.90646	133.47731	526.0746	-8.839128	1741.8254	1480.405	4391.675	-756.21075	1000.0	1895.55	1619.7797	4808.749	-1009.5786	1000.0	128000
33	-197.57959	14.95888	195.89438	136.08353	539.2775	-8.839128	1803.0516	1500.8322	4391.675	-756.21075	1000.0	1969.3837	1651.6549	4995.5244	-1009.5786	1000.0	132000
34	-202.57545	15.455742	200.88	138.76271	558.0857	-22.034138	1874.4376	1534.8004	4391.675	-756.21075	1000.0	2043.8184	1685.7941	5119.8467	-1009.5786	1000.0	136000
35	-207.58716	15.945956	205.8797	141.52657	568.49677	-22.034138	1941.4108	1562.6837	4530.5825	-756.21075	1000.0	2115.477	1714.1562	5119.8467	-1009.5786	1000.0	140000
36	-212.60138	16.440802	210.88126	144.31732	575.19867	-22.034138	2008.3259	1591.1262	4612.0923	-756.21075	1000.0	2186.5027	1742.508	5224.6533	-1009.5786	1000.0	144000
37	-217.66585	16.918247	215.9325	147.14893	590.01245	-22.034138	2073.8074	1618.1794	4688.804	-756.21075	1000.0	2249.6313	1769.419	5311.1763	-1009.5786	1000.0	148000
38	-222.7311	17.38265	220.98555	149.97864	601.2021	-22.034138	2145.0007	1655.1713	5284.626	-756.21075	1000.0	2313.7327	1796.0696	5337.3037	-1009.5786	1000.0	152000
39	-227.79666	17.854118	226.03862	152.81915	610.23114	-22.034138	2211.262	1684.9812	5284.626	-756.21075	1000.0	2362.1943	1810.3007	5503.8335	-1009.5786	1000.0	156000
40	-232.86996	18.307753	231.09976	155.6641	623.55597	-22.034138	2273.245	1709.5869	5284.626	-756.21075	1000.0	2421.621	1832.6339	5590.041	-1009.5786	1000.0	160000
41	-237.93712	18.780598	236.15465	158.5068	639.0473	-22.034138	2338.1123	1739.0511	5535.597	-756.21075	1000.0	2467.338	1850.895	5610.5366	-1009.5786	1000.0	164000
42	-242.99574	19.258856	241.20137	161.32762	658.4935	-22.034138	2403.385	1769.1288	5605.9023	-756.21075	1000.0	2509.4673	1871.2914	5610.5366	-1009.5786	1000.0	168000
43	-248.0501	19.725159	246.24371	164.14104	661.66473	-22.034138	2469.6074	1800.3975	5605.9023	-756.21075	1000.0	2555.4006	1880.5863	5610.5366	-1009.5786	1000.0	172000
44	-253.09914	20.217548	251.27965	166.96408	675.3674	-22.034138	2535.578	1831.755	5605.9023	-756.21075	1000.0	2601.3298	1894.528	5610.5366	-1009.5786	1000.0	176000
45	-258.1519	20.706081	256.31833	169.81564	683.47766	-22.034138	2601.0286	1863.0697	5923.513	-756.21075	1000.0	2647.4739	1914.1747	5774.8174	-1009.5786	1000.0	180000
46	-263.2294	21.21069	261.3813	172.70715	700.3891	-22.034138	2661.0273	1886.3169	5923.513	-756.21075	1000.0	2699.5261	1941.757	5972.461	-1009.5786	1000.0	184000
47	-268.3528	21.736961	266.48923	175.64482	730.00885	-22.034138	2722.337	1911.9613	5923.513	-756.21075	1000.0	2759.8845	1966.1539	6245.9844	-1009.5786	1000.0	188000
48	-273.4904	22.245562	271.61102	178.5828	744.02295	-22.034138	2781.6777	1935.2767	5923.513	-756.21075	1000.0	2810.961	1978.9615	6245.9844	-1009.5786	1000.0	192000
49	-278.6233	22.716665	276.7309	181.50877	751.81226	-22.034138	2830.7466	1946.0519	5923.513	-756.21075	1000.0	2879.034	2014.9008	6577.1333	-1009.5786	1000.0	196000
50	-283.72137	23.226036	281.81528	184.41672	758.45197	-22.034138	2893.8816	1976.6844	6216.4204	-756.21075	1000.0	2931.1436	2035.4048	6609.5854	-1009.5786	1000.0	200000
