epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
1	-377.2849	44.965282	-300.56613	-411.3459	1000.0	-51.204998	1125.0321	-4.827275	0.68609196	-1.3468043	-6.0780005	4000
2	-350.1221	111.0637	-209.85172	-513.73737	1000.0	-39.95057	776.657	-9.6587305	0.15760373	-7.8790884	-9.784889	8000
3	-310.17914	39.07036	-262.1883	-361.7637	1000.0	-27.691814	581.6451	-12.300723	0.09758449	-10.950735	-12.357138	12000
4	-364.08994	81.06472	-269.30203	-491.9473	1000.0	-31.317472	544.9038	-15.098828	0.074565075	-13.552777	-15.12904	16000
5	-275.81528	57.776695	-216.77338	-371.62354	1000.0	-15.379736	352.27045	-16.607967	0.04741473	-15.73739	-16.638968	20000
6	-360.13678	85.814835	-250.58063	-480.14883	1000.0	-23.891932	485.46048	-18.846743	0.038757555	-18.111967	-18.873041	24000
7	-278.33386	25.027248	-243.09775	-311.01035	1000.0	-9.462824	220.84738	-20.069075	0.02545213	-19.767488	-20.08673	28000
8	-344.49454	106.409294	-160.94472	-417.68332	1000.0	-16.893053	421.95483	-21.852036	0.026276639	-21.455635	-21.868574	32000
9	-373.18015	41.252502	-311.01117	-424.43234	1000.0	-17.99728	465.85175	-23.909124	0.027368527	-23.286568	-23.922264	36000
10	-352.38214	46.13965	-292.24945	-413.76526	1000.0	-12.208164	266.2603	-25.399069	0.013830931	-25.20796	-25.409431	40000
11	-349.69937	60.79426	-273.43253	-434.07382	1000.0	-9.558164	272.35522	-26.55	0.012374732	-26.331823	-26.558378	44000
12	-315.49048	45.77083	-251.36507	-380.4991	1000.0	-3.2807565	240.88051	-26.941507	0.015745938	-26.53367	-26.950022	48000
13	-274.53693	92.15107	-176.23445	-425.57584	1000.0	2.8492918	251.6526	-26.491152	0.2781557	-20.391182	-26.545078	52000
14	-281.51712	45.42176	-243.90282	-358.10837	1000.0	1.3048619	286.69653	-26.165367	0.3997057	-19.673277	-26.264532	56000
15	-355.2796	86.79158	-256.21588	-493.81308	1000.0	-8.764306	337.30258	-27.263382	0.014188177	-26.94477	-27.269955	60000
16	-352.0633	79.715645	-274.81094	-483.47873	1000.0	-6.981527	397.5812	-28.011051	0.026721682	-27.287775	-28.019123	64000
17	-308.69247	53.362003	-240.3122	-390.03323	1000.0	-0.43521953	305.78467	-28.003078	0.28237814	-21.858856	-28.06001	68000
18	-341.71478	117.70882	-179.19911	-482.24307	1000.0	-4.890892	330.9027	-28.571878	0.33622757	-15.621597	-28.606588	72000
