epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-3.8752418	0.25334957	2.845093	3.4942997	21.611586	-4.618549	-253.40355	43.677013	-205.21948	-317.36133	1000.0	-177.24304	269.58008	225.71594	-528.8191	1000.0	4000
2	-20.98725	1.273381	19.03662	18.868315	100.21854	-4.618549	-306.53952	86.28169	-205.21948	-443.87048	1000.0	-302.31866	230.3633	225.71594	-528.8191	1000.0	8000
3	-32.192974	1.6659513	30.481144	25.338732	137.61417	-4.618549	-386.51907	136.26534	-205.21948	-630.36255	1000.0	-334.26962	202.82132	225.71594	-528.8191	1000.0	12000
4	-36.984833	1.9401126	35.521416	28.414034	166.83284	-4.618549	-368.1902	129.07202	-205.21948	-630.36255	1000.0	-280.82944	235.48068	225.71594	-589.8812	1000.0	16000
5	-40.521038	2.1684198	39.214764	32.179413	170.11765	-4.618549	-338.57172	174.20787	153.70833	-630.36255	1000.0	-254.31458	240.77982	225.71594	-639.8385	1000.0	20000
6	-44.228195	2.389125	42.987816	36.542484	345.29327	-4.618549	-330.18002	176.76956	153.70833	-630.36255	1000.0	-318.6015	309.08875	477.64005	-880.6739	1000.0	24000
7	-49.149853	2.6608362	47.94235	42.82671	345.29327	-4.618549	-346.00018	190.83667	153.70833	-706.05743	1000.0	-297.61197	363.75586	685.30865	-902.0332	1000.0	28000
8	-53.743156	2.9516199	52.54223	46.102108	345.29327	-4.618549	-326.32593	217.18005	176.42853	-706.05743	1000.0	-285.8955	365.71478	685.30865	-902.0332	1000.0	32000
9	-57.974968	3.2438138	56.773773	47.961296	345.29327	-4.618549	-298.01486	235.35666	187.35077	-706.05743	1000.0	-233.8308	390.3484	1015.6493	-902.0332	1000.0	36000
10	-61.636646	3.5588493	60.429283	48.82919	345.29327	-4.618549	-218.2894	369.26428	1014.6093	-706.05743	1000.0	-182.72418	418.6397	1015.6493	-902.0332	1000.0	40000
11	-64.90072	3.947322	63.684162	49.678864	345.29327	-4.618549	-151.28021	421.36533	1014.6093	-706.05743	1000.0	-65.40026	575.6947	1765.666	-902.0332	1000.0	44000
12	-67.95932	4.3710346	66.72685	51.010414	345.29327	-4.618549	-89.49622	484.2442	1579.3619	-706.05743	1000.0	-14.837972	579.1664	1765.666	-902.0332	1000.0	48000
13	-71.17548	4.8093243	69.919426	53.067184	345.29327	-4.618549	-12.38493	550.4299	1579.3619	-706.05743	1000.0	57.7439	625.2752	1936.9758	-902.0332	1000.0	52000
14	-74.84802	5.266423	73.56229	55.88432	345.29327	-4.618549	90.47496	663.53143	1970.6063	-706.05743	1000.0	107.86978	648.79846	2031.36	-902.0332	1000.0	56000
15	-78.743164	5.7209334	77.42745	59.17229	345.29327	-4.618549	121.3616	667.43616	1970.6063	-706.05743	1000.0	157.07172	666.1714	2031.36	-902.0332	1000.0	60000
16	-82.72509	6.1663203	81.38644	62.821873	345.29327	-4.618549	165.77031	685.40814	1970.6063	-706.05743	1000.0	209.45358	697.0683	2031.36	-902.0332	1000.0	64000
17	-86.70169	6.5779033	85.35117	66.52841	345.29327	-4.618549	249.79024	752.75916	1970.6063	-706.05743	1000.0	275.82343	737.7365	2211.2231	-902.0332	1000.0	68000
18	-90.636284	6.950744	89.2795	70.10819	345.29327	-4.618549	315.54068	799.7757	2162.4817	-706.05743	1000.0	328.06415	767.2974	2306.8362	-902.0332	1000.0	72000
19	-94.41876	7.296361	93.058395	73.47022	345.29327	-4.618549	362.00046	820.8349	2162.4817	-706.05743	1000.0	375.9542	800.4954	2626.8142	-902.0332	1000.0	76000
20	-97.959236	7.652092	96.59651	76.52826	345.29327	-4.618549	416.24796	838.38776	2162.4817	-706.05743	1000.0	438.8714	833.02026	2626.8142	-902.0332	1000.0	80000
21	-101.46013	8.031521	100.09228	79.49577	345.29327	-4.618549	486.97815	892.8679	2790.7336	-706.05743	1000.0	501.14572	876.04016	2697.4492	-902.0332	1000.0	84000
22	-104.79871	8.414486	103.42768	82.329475	355.2422	-4.618549	526.4367	910.62933	2826.7026	-706.05743	1000.0	531.5849	886.4418	2948.3403	-902.0332	1000.0	88000
23	-108.109116	8.839613	106.735466	85.13885	368.35876	-4.618549	604.13525	965.72296	2826.7026	-706.05743	1000.0	588.09607	913.6731	2948.3403	-902.0332	1000.0	92000
24	-111.493256	9.247699	110.11482	87.98862	375.71753	-4.618549	661.86383	1000.1336	2849.3418	-706.05743	1000.0	651.24176	964.55005	3013.8152	-902.0332	1000.0	96000
25	-114.810074	9.703393	113.42684	90.73638	401.47818	-4.618549	714.21234	1024.875	3029.2507	-706.05743	1000.0	730.0271	1026.962	3251.741	-902.0332	1000.0	100000
26	-118.19353	10.231346	116.80214	93.519844	410.81622	-14.919045	763.4958	1047.0963	3029.2507	-706.05743	1000.0	775.8885	1051.0436	3251.741	-902.0332	1000.0	104000
27	-121.617836	10.71759	120.21905	96.29127	420.1367	-14.919045	812.2839	1064.561	3151.9792	-706.05743	1000.0	819.8719	1067.5875	3251.741	-902.0332	1000.0	108000
28	-125.07913	11.230722	123.67306	99.03847	427.17386	-14.919045	870.9984	1092.3734	3151.9792	-706.05743	1000.0	860.1611	1081.3008	3251.741	-902.0332	1000.0	112000
29	-128.69583	11.755776	127.274734	101.7823	429.43268	-14.919045	935.8533	1128.0193	3210.728	-706.05743	1000.0	913.55	1119.088	3612.1794	-902.0332	1000.0	116000
30	-132.4099	12.250573	130.97719	104.32897	448.53528	-14.919045	970.6543	1145.142	3236.5576	-706.05743	1000.0	956.3979	1139.3243	3612.1794	-902.0332	1000.0	120000
31	-136.10501	12.67838	134.66519	106.78961	448.53528	-14.919045	1031.3109	1178.5581	3296.918	-706.05743	1000.0	1008.7503	1167.8068	3612.1794	-902.0332	1000.0	124000
32	-139.82654	13.150988	138.37843	109.21626	454.7984	-14.919045	1084.2424	1202.3197	3558.0242	-706.05743	1000.0	1059.568	1197.8452	3664.1516	-902.0332	1000.0	128000
33	-143.54259	13.65687	142.08582	111.54537	459.112	-14.919045	1125.0181	1212.1652	3558.0242	-706.05743	1000.0	1133.1155	1252.0948	3831.563	-902.0332	1000.0	132000
34	-147.26768	14.120725	145.80048	113.79803	468.12482	-14.919045	1191.1876	1254.165	3675.9133	-706.05743	1000.0	1189.4065	1276.2489	3831.563	-902.0332	1000.0	136000
35	-151.02911	14.58107	149.55313	116.03699	478.16348	-14.919045	1253.1649	1288.1403	3675.9133	-706.05743	1000.0	1250.3502	1308.5615	3947.4775	-902.0332	1000.0	140000
36	-154.78435	15.02107	153.29996	118.22016	484.74823	-14.919045	1291.8737	1303.1785	3675.9133	-706.05743	1000.0	1297.8893	1323.7373	3947.4775	-902.0332	1000.0	144000
37	-158.50375	15.456081	157.0117	120.32912	485.12042	-14.919045	1347.2897	1328.3896	3675.9133	-706.05743	1000.0	1359.6865	1362.8555	4191.201	-902.0332	1000.0	148000
