epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.058064237	434.46356	-4.5857215	0.8006991	-0.104062185	-5.603694	-223.58943	40.884605	-181.27135	-271.17554	1000.0	4000
2	-0.048128992	480.75873	-7.0962996	2.5779228	-0.104062185	-9.703557	-264.86725	68.373665	-181.27135	-417.18372	1000.0	8000
3	-0.05528227	427.77637	-8.553947	3.001386	9.521226	-11.618737	-242.07722	69.43731	-132.35155	-417.18372	1000.0	12000
4	-0.054259177	382.2696	-9.745061	3.3195992	9.521226	-13.37515	-239.72467	63.22469	-132.35155	-417.18372	1000.0	16000
5	-0.043579925	348.29166	-10.649654	3.5143247	11.2132845	-14.442068	-232.76675	63.660404	-132.35155	-417.18372	1000.0	20000
6	-0.037149817	363.11435	-11.750973	4.0474286	11.2132845	-17.29561	-246.99434	75.33961	-132.35155	-426.87103	1000.0	24000
7	-0.03121904	337.0529	-12.616277	4.4093657	16.713606	-18.271288	-243.52245	74.564804	-131.90668	-426.87103	1000.0	28000
8	-0.02776523	316.95422	-12.765387	4.379929	16.713606	-18.271288	-231.57837	78.02632	-81.26586	-426.87103	1000.0	32000
9	-0.02613459	319.39807	-13.484269	4.6253943	16.713606	-19.560078	-236.62831	80.2961	-81.26586	-426.87103	1000.0	36000
10	-0.02575155	313.32056	-14.057573	4.751256	16.713606	-19.797169	-235.25806	78.92673	-81.26586	-426.87103	1000.0	40000
11	-0.028372694	307.21707	-14.695142	4.968689	16.713606	-21.291557	-239.31601	77.71604	-81.26586	-426.87103	1000.0	44000
12	-0.027138615	304.5054	-15.249755	5.149201	16.713606	-22.070385	-240.47247	76.35966	-81.26586	-426.87103	1000.0	48000
13	-0.027811876	311.34735	-15.807277	5.3765364	16.713606	-23.51977	-245.02142	78.03583	-81.26586	-426.87103	1000.0	52000
14	-0.029426932	300.54526	-16.146626	5.4111156	16.713606	-23.51977	-243.94339	75.739876	-81.26586	-426.87103	1000.0	56000
15	-0.031084688	301.58658	-16.111025	5.624439	22.138046	-23.842274	-241.13223	80.5193	-81.26586	-426.87103	1000.0	60000
16	-0.031199243	295.07697	-16.578796	5.766163	22.138046	-24.938448	-243.76793	80.30432	-81.26586	-426.87103	1000.0	64000
17	-0.03199452	286.22128	-16.819687	5.7292686	22.138046	-24.938448	-243.07663	78.55351	-81.26586	-426.87103	1000.0	68000
18	-0.03158481	282.8555	-17.109097	5.741701	22.138046	-25.31189	-243.54802	77.01876	-81.26586	-426.87103	1000.0	72000
19	-0.031043446	279.01346	-17.200495	5.6832557	22.138046	-25.31189	-241.92953	75.62844	-81.26586	-426.87103	1000.0	76000
20	-0.030136526	270.34906	-17.41673	5.7346025	22.138046	-25.826574	-241.58878	75.54762	-81.26586	-426.87103	1000.0	80000
21	-0.02776155	264.27042	-17.34136	5.6765895	22.138046	-25.826574	-238.88405	76.131714	-81.26586	-426.87103	1000.0	84000
22	-0.027046723	255.62173	-17.34699	5.628221	22.138046	-25.826574	-236.77823	76.07864	-81.26586	-426.87103	1000.0	88000
