epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
22	-95.327774	40.856834	93.77298	34.18616	191.1207	-262.5558	93.77317	34.180984	189.40942	-226.98796	159.4691	188.44673	1326.3394	-163.07715	114.88251	293.90717	206.6863	1027.0302	-67.511696	197.22728	0.060450718	88000	-0.21247368
23	-96.24884	40.95701	94.73185	34.49865	191.1207	-262.5558	94.73198	34.49406	189.95757	-226.98796	166.92163	195.5684	1326.3394	-163.07715	117.64706	297.8905	203.6945	1027.0302	-67.511696	195.54347	0.059983406	92000	-0.20156886
24	-97.1353	41.00589	95.65468	34.790268	192.44276	-262.5558	95.654755	34.786144	192.86082	-226.98796	174.11026	204.3644	1440.819	-163.07715	120.150185	307.15488	207.09045	1027.0302	-67.511696	196.41667	0.059622284	96000	-0.19246955
25	-97.996475	41.01358	96.55089	35.065727	196.38051	-262.5558	96.55092	35.06193	194.46901	-226.98796	181.08957	210.03362	1440.819	-163.07715	122.54902	313.551	209.68776	1027.0302	-67.511696	196.908	0.05929349	100000	-0.18532301
26	-98.83153	41.03423	97.41908	35.330624	197.76929	-262.5558	97.419106	35.327156	199.73691	-226.98796	186.74757	214.8926	1440.819	-163.07715	124.25329	317.52045	213.41577	1027.0302	-67.511696	196.77692	0.058972616	104000	-0.17829527
27	-99.63579	41.022522	98.25605	35.600662	206.25124	-262.5558	98.25608	35.59768	207.94554	-226.98796	193.9747	219.40927	1440.819	-163.07715	125.87412	326.94952	218.68503	1068.5437	-67.511696	197.57408	0.058649097	108000	-0.17110546
28	-100.42617	41.085236	99.076	35.88962	210.615	-262.5558	99.07604	35.886703	209.37854	-226.98796	200.73329	223.59985	1440.819	-163.07715	127.7081	341.84732	239.22026	1458.1761	-67.511696	201.37143	0.058429077	112000	-0.16542894
29	-101.218735	41.147915	99.8975	36.20099	214.61012	-262.5558	99.8975	36.198154	216.55974	-226.98796	207.52608	231.43541	1440.819	-163.07715	129.60893	346.1758	236.92682	1458.1761	-67.511696	200.17241	0.05825854	116000	-0.15888168
30	-102.01994	41.16456	100.72481	36.5493	217.77544	-262.5558	100.72483	36.54671	217.78242	-226.98796	215.20259	241.39392	1675.2095	-163.07715	131.43483	362.3863	254.80753	1458.1761	-67.511696	202.61667	0.058214698	120000	-0.15168138
31	-102.862465	41.272007	101.59208	36.95684	227.51346	-262.5558	101.59209	36.95427	224.21207	-226.98796	222.46304	258.3133	2593.3906	-163.07715	133.76483	384.27057	291.22693	2060.1963	-67.511696	210.44194	0.05814779	124000	-0.14802168
32	-103.73876	41.394302	102.49066	37.40486	229.5981	-262.5558	102.490654	37.40251	230.80882	-226.98796	229.93787	269.39587	2593.3906	-163.07715	136.46056	392.8037	296.7585	2060.1963	-67.511696	211.53438	0.058098834	128000	-0.14266501
33	-104.65558	41.488712	103.42781	37.916317	239.25316	-262.5558	103.42782	37.91416	241.48083	-226.98796	237.847	277.01428	2593.3906	-163.07715	138.65546	408.84326	312.2782	2060.1963	-67.511696	217.07878	0.058131754	132000	-0.13833402
34	-105.604866	41.604782	104.396996	38.476368	252.08563	-262.5558	104.39699	38.474304	250.5417	-226.98796	246.57457	289.5957	2593.3906	-163.07715	140.93265	410.77417	309.8025	2060.1963	-67.511696	215.40294	0.05822865	136000	-0.1337161
35	-106.59417	41.757107	105.40445	39.088814	253.49777	-262.5558	105.40445	39.086864	254.46126	-226.98796	254.79224	297.19864	2593.3906	-163.07715	142.71152	421.00723	311.59418	2060.1963	-67.511696	216.26857	0.058329526	140000	-0.12925574
36	-107.63543	41.91091	106.46153	39.78071	267.68228	-262.5558	106.46152	39.77888	264.5516	-226.98796	263.8741	310.28482	2593.3906	-163.07715	145.0151	442.92072	343.673	2060.1963	-67.511696	221.88055	0.05849808	144000	-0.12506366
37	-108.747536	42.01267	107.58791	40.571507	267.68228	-262.5558	107.5879	40.569847	266.40082	-226.98796	273.03195	321.6574	2593.3906	-163.07715	147.41035	471.00046	383.95767	2060.1963	-67.511696	229.22432	0.05872615	148000	-0.121960044
38	-109.8965	42.169758	108.75006	41.425648	268.67426	-262.5558	108.749985	41.42412	268.90665	-226.98796	282.07562	337.87476	2690.0935	-163.07715	149.90138	477.87662	384.29764	2060.1963	-67.511696	229.21317	0.05891359	152000	-0.11834891
39	-111.07438	42.317337	109.94086	42.31263	273.6523	-262.5558	109.9408	42.311127	270.83795	-226.98796	289.90143	347.84418	2690.0935	-163.07715	151.6035	503.18317	415.30612	2060.1963	-67.511696	235.34102	0.059145965	156000	-0.114977024
40	-112.26562	42.459335	111.14447	43.211613	273.6523	-262.5558	111.14441	43.210014	270.83795	-226.98796	298.8888	369.11578	2690.0935	-163.07715	154.14258	524.6848	449.70438	2952.3643	-67.511696	241.0875	0.059386004	160000	-0.11291555
