epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.051169403	1442.7717	-4.9196143	0.7622751	-0.7995435	-6.1824226	0.01408962	-431.56778	27.86314	-384.2935	-456.47592	1000.0	4000
2	-0.05101266	1154.624	-7.170998	2.325058	-0.7995435	-9.593767	0.014397411	-388.34048	82.227715	-254.9641	-503.5576	1000.0	8000
3	-0.051716506	931.65283	-8.805852	2.9928453	-0.7995435	-12.165758	0.014625677	-361.33585	80.404915	-254.9641	-503.5576	1000.0	12000
4	-0.051547945	817.6727	-10.230195	3.5786746	-0.7995435	-14.548528	0.014728626	-353.73883	73.95369	-254.9641	-503.5576	1000.0	16000
5	-0.05112462	703.23846	-11.317751	3.8840878	6.2084465	-15.777454	0.014793453	-332.60992	79.39498	-218.06418	-503.5576	1000.0	20000
6	-0.050364565	641.2871	-12.266375	4.131974	6.2084465	-17.053043	0.014843023	-322.0181	78.63284	-211.96733	-503.5576	1000.0	24000
7	-0.05081299	566.5608	-12.926529	4.1761026	6.2084465	-17.152872	0.014881539	-301.4602	90.10738	-112.74415	-503.5576	1000.0	28000
8	-0.050723627	524.4999	-13.346554	4.1878004	13.073269	-17.341814	0.014912553	-290.00357	93.02892	-112.74415	-503.5576	1000.0	32000
9	-0.050563376	482.67468	-13.676385	4.142464	13.073269	-17.460009	0.014928068	-278.13113	94.125084	-112.74415	-503.5576	1000.0	36000
10	-0.050189197	447.23633	-13.782445	4.076374	13.073269	-17.460009	0.014947124	-265.4572	97.19027	-112.74415	-503.5576	1000.0	40000
11	-0.050009727	420.3832	-14.027679	4.0656056	13.073269	-17.85404	0.01495546	-259.76263	95.17302	-112.74415	-503.5576	1000.0	44000
12	-0.050077822	392.12344	-13.954508	4.00777	13.073269	-17.85404	0.014965785	-250.55046	96.508606	-99.307915	-503.5576	1000.0	48000
13	-0.049885754	370.07504	-13.871614	3.977515	13.073269	-17.85404	0.014974267	-241.9888	97.783325	-99.307915	-503.5576	1000.0	52000
14	-0.049824536	351.065	-13.92735	3.9352124	13.073269	-17.85404	0.014993018	-236.16374	98.00102	-80.3389	-503.5576	1000.0	56000
15	-0.049993202	329.98163	-13.298758	4.5128245	13.073269	-17.85404	0.014994059	-223.18404	106.6765	7.783627	-503.5576	1000.0	60000
16	-0.049709603	314.1269	-13.025961	4.557756	13.073269	-17.85404	0.014995254	-215.16295	108.05672	7.783627	-503.5576	1000.0	64000
17	-0.049569156	303.35748	-12.851296	4.5556583	13.073269	-17.85404	0.015001434	-209.46967	108.076485	7.783627	-503.5576	1000.0	68000
18	-0.049574718	289.62292	-12.388904	4.864485	13.073269	-17.85404	0.015005503	-200.28226	112.125534	7.783627	-503.5576	1000.0	72000
19	-0.049717747	280.44177	-12.127114	5.0545382	13.073269	-17.85404	0.015013395	-194.43958	113.798996	7.783627	-503.5576	1000.0	76000
20	-0.049596973	269.14404	-11.598816	5.4785514	13.073269	-17.85404	0.015015909	-185.41245	117.73594	7.783627	-503.5576	1000.0	80000
21	-0.049378913	263.849	-11.315272	5.576344	13.073269	-17.85404	0.015024459	-179.87833	118.55039	7.783627	-503.5576	1000.0	84000
22	-0.047750413	258.0986	-10.906564	5.838998	13.073269	-17.85404	0.015061158	-172.9816	120.30994	7.783627	-503.5576	1000.0	88000
23	-0.047858585	249.94255	-10.636854	6.096917	14.031121	-18.347595	0.015061762	-168.12184	122.21515	23.565077	-503.5576	1000.0	92000
24	-0.047705043	244.09583	-10.475436	6.19459	14.031121	-19.084923	0.015062265	-165.00517	122.66613	23.565077	-503.5576	1000.0	96000
25	-0.047649134	238.48927	-10.100607	6.382512	14.031121	-19.084923	0.015062921	-158.85655	124.426544	61.27593	-503.5576	1000.0	100000
26	-0.04760476	231.39983	-9.552959	6.858459	15.914671	-19.084923	0.01506199	-150.96754	128.40793	76.1381	-503.5576	1000.0	104000
27	-0.0474986	225.40285	-9.17941	7.0177574	15.914671	-19.084923	0.015060072	-145.05759	129.96683	76.1381	-503.5576	1000.0	108000
