epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-4.5720544	0.36002186	3.622069	3.2871544	20.379505	-6.7863765	-260.96753	79.37445	-183.63383	-384.0539	1000.0	-717.09296	34.13179	-649.5551	-757.9189	1000.0	4000
2	-19.757704	1.2940634	17.924192	16.424936	66.69282	-6.7863765	-298.75153	114.66451	-125.38156	-462.37064	1000.0	-609.20294	112.507835	-449.32028	-757.9189	1000.0	8000
3	-34.49582	2.4764388	32.50338	24.548174	103.29923	-6.7863765	-327.7386	160.65794	-95.65427	-688.0263	1000.0	-587.50024	103.66262	-449.32028	-757.9189	1000.0	12000
4	-45.336872	2.9981494	43.49988	28.752724	114.35125	-6.7863765	-316.2122	174.07545	-22.644178	-688.0263	1000.0	-510.15112	218.71922	257.55905	-757.9189	1000.0	16000
5	-52.236843	3.1657672	50.549328	30.049482	124.4913	-6.7863765	-246.34099	249.21515	407.3378	-688.0263	1000.0	-367.65503	372.72382	860.29156	-757.9189	1000.0	20000
6	-57.856823	3.3253248	56.246487	31.229164	139.03247	-6.7863765	-47.09424	515.20026	1426.4362	-688.0263	1000.0	-70.38518	785.88654	1927.085	-757.9189	1000.0	24000
7	-63.498543	3.5579567	61.912735	33.257355	158.59213	-6.7863765	56.59632	586.29016	1436.3201	-688.0263	1000.0	102.76734	870.5264	1927.085	-757.9189	1000.0	28000
8	-69.43113	3.8556511	67.83432	36.42846	187.72963	-6.7863765	164.91895	722.5967	2036.4344	-688.0263	1000.0	274.15277	970.37683	2309.25	-757.9189	1000.0	32000
9	-76.32177	4.2236223	74.70354	41.16796	215.60933	-6.7863765	359.54056	875.988	2036.4344	-688.0263	1000.0	394.1912	1002.4518	2357.2986	-757.9189	1000.0	36000
10	-83.985634	4.6616387	82.347435	46.963444	249.23305	-6.7863765	538.883	995.9019	2506.1838	-688.0263	1000.0	579.0544	1112.464	2855.7227	-757.9189	1000.0	40000
11	-92.23617	5.227859	90.57806	53.602192	374.76385	-6.7863765	673.6483	1100.7451	2858.5518	-688.0263	1000.0	750.8669	1204.2638	3106.881	-757.9189	1000.0	44000
12	-101.038704	5.8420324	99.35025	60.818382	374.76385	-6.7863765	827.5464	1175.2721	2858.5518	-688.0263	1000.0	897.0082	1262.4266	3106.881	-757.9189	1000.0	48000
13	-110.058334	6.5171766	108.345055	67.9761	374.76385	-6.7863765	948.9098	1228.0222	3154.0608	-688.0263	1000.0	1044.3943	1331.3999	3613.253	-757.9189	1000.0	52000
14	-119.28956	7.2161255	117.554634	75.26846	374.76385	-6.7863765	1125.5002	1344.1672	3623.3254	-688.0263	1000.0	1180.5544	1417.7415	3782.8745	-757.9189	1000.0	56000
15	-128.75017	7.8840356	126.98962	82.66705	385.88727	-6.7863765	1288.2827	1436.6139	3885.5864	-688.0263	1000.0	1280.8723	1474.4576	4051.2349	-757.9189	1000.0	60000
16	-138.41617	8.571768	136.62794	90.21632	412.63086	-6.7863765	1420.0132	1487.2814	3918.5227	-688.0263	1000.0	1415.0726	1529.5312	4127.42	-757.9189	1000.0	64000
17	-148.29436	9.230489	146.47736	97.779915	436.701	-6.7863765	1555.0336	1541.1959	3983.0618	-688.0263	1000.0	1559.0563	1592.7686	4127.42	-757.9189	1000.0	68000
18	-158.33113	9.887921	156.48132	105.27012	456.28915	-6.7863765	1678.2931	1585.1799	4252.1636	-688.0263	1000.0	1694.9181	1651.4803	4432.2554	-757.9189	1000.0	72000
19	-168.47527	10.500768	166.59663	112.60694	480.52603	-6.7863765	1782.1774	1620.5269	4268.274	-688.0263	1000.0	1797.8934	1692.7156	4535.889	-757.9189	1000.0	76000
20	-178.54564	11.09043	176.64435	119.612076	509.1715	-6.7863765	1907.093	1671.6383	4603.8438	-688.0263	1000.0	1921.3794	1737.8514	4734.79	-757.9189	1000.0	80000
21	-188.46405	11.633483	186.54436	126.29659	524.4335	-6.7863765	2028.2139	1719.3383	4709.573	-688.0263	1000.0	2038.9631	1776.4353	4768.928	-757.9189	1000.0	84000
22	-198.20576	12.135466	196.26695	132.60617	534.3762	-6.7863765	2134.4756	1749.6985	4709.573	-688.0263	1000.0	2133.7207	1791.3344	4768.928	-757.9189	1000.0	88000
23	-207.75734	12.644973	205.80238	138.53561	549.0449	-6.7863765	2224.849	1763.546	4709.573	-688.0263	1000.0	2227.2559	1814.2444	4794.6753	-757.9189	1000.0	92000
24	-217.0692	13.180935	215.09961	144.0408	560.9502	-6.7863765	2321.6868	1788.034	4722.093	-688.0263	1000.0	2312.8657	1839.4979	5076.83	-757.9189	1000.0	96000
25	-226.1467	13.682688	224.1648	149.15349	569.62695	-6.7863765	2414.377	1810.4078	4957.845	-688.0263	1000.0	2413.0945	1868.2313	5080.5376	-757.9189	1000.0	100000
