epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.015122592	1257.27	-3.9897554	0.77738076	0.21976304	-5.279039	-384.1192	125.46837	-192.3597	-544.19684	1000.0	4000
2	-0.03316784	1172.4509	-6.625821	2.697195	0.21976304	-9.366921	-400.6183	90.64614	-192.3597	-544.19684	1000.0	8000
3	-0.024767876	1062.7795	-8.42546	3.3740072	3.8816369	-12.105491	-393.21017	89.708244	-192.3597	-544.19684	1000.0	12000
4	-0.024839714	1088.3306	-10.130321	4.1544228	3.8816369	-15.273095	-414.67007	91.158875	-192.3597	-571.4651	1000.0	16000
5	-0.017508496	954.7028	-11.393224	4.494477	3.8816369	-16.485916	-388.99698	103.92412	-137.73018	-571.4651	1000.0	20000
6	-0.017464017	919.51044	-12.638789	4.959062	3.8816369	-18.89059	-398.64975	102.579124	-137.73018	-571.4651	1000.0	24000
7	-0.017434299	867.6992	-13.788025	5.385539	3.8816369	-20.702137	-395.6968	103.497215	-137.73018	-571.4651	1000.0	28000
8	-0.018061161	837.138	-14.905102	5.84069	3.8816369	-22.734291	-398.10312	104.228806	-137.73018	-574.47845	1000.0	32000
9	-0.021804107	811.91907	-15.968934	6.275128	3.8816369	-24.487644	-398.8112	100.7952	-137.73018	-574.47845	1000.0	36000
10	-0.020894527	753.14825	-16.851402	6.5254188	4.064515	-24.941607	-388.92087	100.89283	-137.73018	-574.47845	1000.0	40000
11	-0.01973215	726.98267	-17.73997	6.8268323	4.064515	-26.6324	-391.49158	99.57397	-137.73018	-574.47845	1000.0	44000
12	-0.020273944	690.12665	-18.520851	7.030919	4.064515	-27.13519	-386.32535	97.06952	-137.73018	-574.47845	1000.0	48000
13	-0.018061152	668.169	-19.258234	7.221925	4.064515	-28.113949	-384.2336	96.09033	-137.73018	-574.47845	1000.0	52000
14	-0.014473285	641.2589	-19.983269	7.434018	4.064515	-29.414856	-385.49713	93.38614	-137.73018	-574.47845	1000.0	56000
15	-0.013978537	624.3432	-20.677404	7.6396174	4.064515	-30.458763	-385.8469	93.333305	-137.73018	-574.47845	1000.0	60000
16	-0.014410421	609.21375	-21.368912	7.8715525	4.064515	-31.812286	-388.08322	92.369576	-137.73018	-574.47845	1000.0	64000
17	-0.017010955	598.1048	-22.041222	8.10363	16.878614	-32.94658	-390.20044	91.80232	-137.73018	-574.47845	1000.0	68000
18	-0.016793583	580.1426	-21.959185	8.0534115	22.70295	-32.94658	-380.58594	97.74246	-137.73018	-574.47845	1000.0	72000
19	-0.0177501	563.6755	-21.988865	7.929365	22.70295	-32.94658	-374.3029	101.10656	-137.73018	-574.47845	1000.0	76000
20	-0.01522336	549.5964	-22.257252	7.8729696	22.70295	-32.94658	-370.85345	100.80332	-137.73018	-574.47845	1000.0	80000
21	-0.015034721	535.4304	-22.463972	7.787577	22.70295	-32.94658	-367.61633	100.76815	-137.73018	-574.47845	1000.0	84000
22	-0.017503912	522.49884	-22.769527	7.7588625	22.70295	-32.94658	-365.97717	101.01012	-137.73018	-574.47845	1000.0	88000
23	-0.018098915	516.5889	-23.008587	7.7444158	22.70295	-32.94658	-365.23892	100.43058	-137.73018	-574.47845	1000.0	92000
24	-0.017927865	505.5145	-23.154823	7.695069	22.70295	-32.94658	-363.1306	99.34791	-137.73018	-574.47845	1000.0	96000
25	-0.019335842	495.5208	-23.168207	7.659138	22.70295	-32.94658	-359.81165	100.7065	-124.04378	-574.47845	1000.0	100000
26	-0.019822506	484.01743	-23.221584	7.5862613	22.70295	-33.011513	-356.79605	101.10498	-124.04378	-574.47845	1000.0	104000
