epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-15.713238	1.3949318	12.877645	10.405272	48.479134	-14.537101	3.105483	5.9677796	26.479988	-9.3329315	21.390375	727.15735	325.36823	1014.04364	320.34262	682.9	4000
2	-53.98922	17.644115	47.764217	42.161037	217.48105	-288.28702	8.195618	33.25072	316.5569	-20.326607	26.143791	357.82513	435.13123	1014.04364	-13.913448	362.8	8000
3	-97.20844	47.235096	89.324554	69.56691	331.87125	-288.28702	9.492149	42.903988	321.86954	-54.55965	32.967033	299.56158	366.1337	1014.04364	-13.913448	283.3	12000
4	-134.35413	72.981285	125.62653	89.317665	461.88385	-373.83942	14.377097	57.994465	645.6947	-90.06772	40.712467	236.0647	336.50058	1014.04364	-13.913448	235.1	16000
5	-169.37827	113.20703	159.9144	108.4201	579.59607	-434.3986	19.871307	61.53809	645.6947	-90.06772	45.558086	198.31131	310.77838	1014.04364	-13.913448	197.6	20000
6	-203.14803	156.77414	193.04404	126.95848	639.63715	-669.258	18.306555	62.38384	645.6947	-134.6126	50.314465	169.20412	293.991	1014.04364	-108.95843	188.93333	24000
7	-233.6875	199.56255	223.06274	142.44176	709.8823	-669.258	18.251219	61.8787	645.6947	-134.6126	54.6875	153.12025	276.4591	1014.04364	-108.95843	176.81429	28000
8	-261.2705	241.04666	250.23409	155.64267	795.9736	-669.258	18.614162	63.3213	645.6947	-134.6126	58.60806	137.02945	263.7614	1014.04364	-108.95843	180.55	32000
9	-287.27487	287.84854	275.81503	168.21648	901.3923	-669.258	22.10782	67.24632	645.6947	-134.6126	62.39168	123.14657	251.88574	1014.04364	-108.95843	164.72223	36000
10	-313.0654	339.41397	301.19772	181.58197	998.3854	-669.258	23.83238	68.44763	645.6947	-134.6126	65.14658	123.39649	239.13354	1014.04364	-108.95843	155.91	40000
11	-338.6568	396.89957	326.393	195.22075	1059.8699	-669.258	27.008839	72.13095	645.6947	-186.54878	67.38132	119.194664	230.63753	1014.04364	-108.95843	156.37273	44000
12	-362.9178	451.5522	350.32336	207.58615	1133.8748	-669.258	27.170073	72.67345	645.6947	-186.54878	70.27818	111.474815	225.55296	1014.04364	-185.78932	159.53334	48000
13	-385.6679	504.1854	372.8096	218.41168	1133.8748	-1221.8236	30.427341	76.86933	645.6947	-186.54878	73.758865	106.47113	218.81009	1014.04364	-185.78932	158.36923	52000
14	-406.9124	551.4039	393.83374	227.59123	1133.8748	-1221.8236	34.76022	79.62578	645.6947	-186.54878	76.190475	98.480064	212.82211	1014.04364	-185.78932	149.1	56000
15	-426.3543	599.9186	413.10233	234.95251	1133.8748	-1221.8236	35.052063	78.92238	645.6947	-186.54878	77.31959	97.30623	206.84612	1014.04364	-185.78932	148.63333	60000
16	-443.55038	639.9103	430.19104	240.16104	1133.8748	-1221.8236	36.56007	80.31181	645.6947	-186.54878	79.503105	94.83117	202.32182	1014.04364	-185.78932	150.78125	64000
17	-458.6265	674.896	445.18655	243.62991	1133.8748	-1221.8236	39.659515	82.63015	645.6947	-186.54878	80.47337	94.129524	196.79858	1014.04364	-185.78932	147.45882	68000
18	-471.89844	706.8803	458.40073	245.82793	1133.8748	-1221.8236	41.060795	82.97098	645.6947	-186.54878	82.004555	94.41339	192.29903	1014.04364	-185.78932	146.91112	72000
19	-483.64685	732.0445	470.11185	247.02173	1133.8748	-1221.8236	41.822163	83.29922	645.6947	-186.54878	84.35072	97.86186	188.90132	1014.04364	-185.78932	147.16316	76000
20	-493.84714	753.1116	480.30225	247.36787	1133.8748	-1221.8236	43.227215	83.5122	645.6947	-186.54878	85.65311	102.30674	188.4625	1014.04364	-185.78932	147.43	80000
21	-502.47272	771.83746	488.94235	246.79271	1133.8748	-1221.8236	44.762726	85.69849	645.6947	-226.58116	86.77686	100.8579	184.25438	1014.04364	-185.78932	145.44286	84000
22	-509.82434	787.2831	496.32516	245.67014	1133.8748	-1221.8236	47.70751	88.568535	645.6947	-226.58116	88.35342	100.69159	180.62756	1014.04364	-185.78932	146.72728	88000
23	-516.2539	798.31836	502.78674	244.20891	1133.8748	-1221.8236	48.99037	89.25927	645.6947	-226.58116	90.28459	101.98694	177.61794	1014.04364	-185.78932	145.10435	92000
24	-521.8847	806.49664	508.46115	242.56616	1133.8748	-1221.8236	51.086372	91.29831	645.6947	-226.58116	91.778206	103.862564	175.04251	1014.04364	-185.78932	144.4625	96000
25	-526.73956	812.76166	513.36615	240.78401	1133.8748	-1221.8236	54.11255	92.99068	645.6947	-226.58116	92.936806	104.609085	172.79008	1014.04364	-185.78932	144.812	100000
26	-530.85315	816.18176	517.5442	238.86053	1133.8748	-1221.8236	56.649784	95.35048	645.6947	-226.58116	93.862816	104.342995	169.5189	1014.04364	-185.78932	142.25	104000
27	-534.293	820.4154	521.052	236.82385	1133.8748	-1221.8236	56.5881	95.200264	645.6947	-226.58116	93.83145	104.368095	168.25813	1014.04364	-185.78932	143.34074	108000
28	-537.0329	822.70575	523.87524	234.64378	1133.8748	-1221.8236	56.969437	95.96568	645.6947	-226.58116	95.644745	101.405464	169.35652	1014.04364	-204.45056	146.92857	112000
29	-539.0	821.9102	525.9354	232.31789	1133.8748	-1221.8236	58.100002	96.47432	645.6947	-226.58116	97.233864	101.17666	166.69757	1014.04364	-204.45056	147.24138	116000
30	-540.1671	819.3065	527.2087	229.90565	1133.8748	-1221.8236	59.141327	96.65304	645.6947	-226.58116	98.19967	100.179886	164.25897	1014.04364	-204.45056	146.92334	120000
31	-540.6846	814.9919	527.8394	227.4452	1133.8748	-1221.8236	61.25921	98.51594	645.6947	-234.83398	99.35897	100.32022	165.38522	1014.04364	-220.97693	149.25484	124000
32	-540.6533	810.2371	527.9229	225.04254	1133.8748	-1221.8236	61.69799	98.26362	645.6947	-234.83398	99.921936	101.52777	164.57185	1014.04364	-220.97693	148.875	128000
33	-540.0423	804.4053	527.43475	222.68242	1133.8748	-1221.8236	62.806103	98.96355	645.6947	-234.83398	101.30468	100.081024	163.06058	1014.04364	-220.97693	147.67575	132000
34	-538.8563	797.45496	526.37836	220.42505	1133.8748	-1221.8236	63.896065	99.88572	645.6947	-234.83398	101.79641	103.590576	166.2331	1014.04364	-220.97693	148.07353	136000
35	-537.12134	789.44354	524.7768	218.32684	1133.8748	-1221.8236	64.27329	99.09596	645.6947	-234.83398	102.11524	102.63218	164.30988	1014.04364	-220.97693	148.26572	140000
36	-534.86005	780.84485	522.6565	216.42361	1133.8748	-1221.8236	65.1817	99.89531	645.6947	-234.83398	102.78373	104.75375	163.30031	1014.04364	-220.97693	147.68333	144000
37	-532.14966	771.6485	520.0896	214.73123	1133.8748	-1221.8236	66.42022	100.367744	645.6947	-234.83398	103.71409	107.96223	163.3617	1014.04364	-220.97693	148.04594	148000
38	-529.11304	762.3606	517.1949	213.2568	1133.8748	-1221.8236	68.11879	101.23089	645.6947	-234.83398	104.5392	108.80247	161.83698	1014.04364	-220.97693	147.49738	152000
39	-525.80237	752.1744	514.0241	211.99445	1133.8748	-1221.8236	69.75856	101.38637	645.6947	-234.83398	105.19218	110.11708	161.51796	1014.04364	-220.97693	148.27179	156000
40	-522.2883	741.92633	510.65274	210.9146	1133.8748	-1221.8236	71.023094	101.61014	645.6947	-234.83398	105.82011	111.11688	161.13605	1014.04364	-220.97693	149.6175	160000
41	-518.6822	732.11646	507.18332	209.98683	1133.8748	-1221.8236	72.1163	101.87296	645.6947	-234.83398	106.49351	112.37987	159.77943	1014.04364	-220.97693	150.20244	164000
42	-515.03394	722.35614	503.66772	209.1627	1133.8748	-1221.8236	72.703384	102.270905	645.6947	-234.83398	107.76138	111.94153	158.06992	1014.04364	-220.97693	151.30714	168000
43	-511.36832	712.43164	500.1311	208.41292	1133.8748	-1221.8236	73.447845	103.04231	645.6947	-281.2587	108.7919	114.77286	158.012	1014.04364	-220.97693	152.99768	172000
44	-507.6233	702.5628	496.51715	207.79474	1133.8748	-1221.8236	75.67729	105.64749	645.6947	-281.2587	109.93129	117.99567	158.17255	1014.04364	-220.97693	153.21136	176000
45	-503.81967	692.9034	492.83984	207.29225	1133.8748	-1221.8236	76.537994	106.15034	645.6947	-281.2587	110.09174	118.92066	156.91292	1014.04364	-220.97693	153.74889	180000
46	-500.0826	683.4749	489.22498	206.82088	1133.8748	-1221.8236	77.90641	106.99743	645.6947	-281.2587	110.843376	118.14042	155.95918	1014.04364	-220.97693	154.33478	184000
47	-496.2872	674.0563	485.55484	206.45357	1133.8748	-1221.8236	79.7645	109.05013	645.6947	-281.2587	111.5727	117.842735	155.1246	1014.04364	-220.97693	154.88936	188000
48	-492.44345	664.98883	481.83325	206.18976	1133.8748	-1221.8236	81.28888	109.906715	645.6947	-281.2587	112.149536	122.30156	163.36072	1237.7941	-220.97693	155.24374	192000
49	-488.61847	655.7066	478.12637	205.96715	1133.8748	-1221.8236	83.13982	111.53823	645.6947	-281.2587	112.51435	122.57887	161.87567	1237.7941	-220.97693	154.0551	196000
50	-484.78928	646.67267	474.41614	205.80577	1133.8748	-1221.8236	84.79454	112.746185	645.6947	-281.2587	112.80316	120.813324	160.88782	1237.7941	-220.97693	154.458	200000
51	-480.9646	637.79047	470.70682	205.70448	1133.8748	-1221.8236	85.21411	112.38939	645.6947	-281.2587	113.39633	124.36504	163.71855	1237.7941	-220.97693	155.35294	204000
52	-477.1791	629.0203	467.0355	205.62338	1133.8748	-1221.8236	87.090706	115.34517	765.1287	-281.2587	114.47441	126.73487	163.59056	1237.7941	-220.97693	155.30385	208000
53	-473.41956	620.4446	463.38782	205.57748	1133.8748	-1221.8236	88.87066	116.25767	765.1287	-281.2587	114.8429	127.97024	162.64386	1237.7941	-220.97693	154.5849	212000
54	-469.7013	612.0595	459.7788	205.55736	1133.8748	-1221.8236	90.333244	116.859886	765.1287	-281.2587	115.44629	128.66473	162.6164	1237.7941	-220.97693	154.36111	216000
55	-466.012	603.7999	456.19843	205.56345	1133.8748	-1221.8236	91.83411	118.61819	765.1287	-281.2587	116.27907	127.27497	161.61949	1237.7941	-220.97693	154.45454	220000
56	-462.34018	595.6732	452.63416	205.61227	1133.8748	-1221.8236	92.46412	118.56947	765.1287	-281.2587	116.97128	127.218864	162.40709	1237.7941	-220.97693	155.02321	224000
57	-458.6898	587.69556	449.0905	205.6921	1133.8748	-1221.8236	92.662094	118.80828	765.1287	-281.2587	117.76859	128.37247	162.15135	1237.7941	-220.97693	156.81755	228000
58	-455.04333	579.81006	445.54895	205.81793	1133.8748	-1221.8236	94.2269	122.137405	999.0314	-281.2587	118.7916	130.61555	164.36789	1237.7941	-220.97693	157.78276	232000
59	-451.43112	572.1466	442.0398	205.95651	1133.8748	-1221.8236	95.76136	123.387924	999.0314	-281.2587	119.6148	131.90215	164.27019	1237.7941	-220.97693	157.94916	236000
60	-447.84818	564.5859	438.55856	206.11018	1133.8748	-1221.8236	96.50192	124.72837	999.0314	-281.2587	120.06003	133.27278	164.21051	1237.7941	-220.97693	157.81667	240000
61	-444.28918	557.2061	435.09995	206.28949	1133.8748	-1221.8236	97.511734	125.21306	999.0314	-281.2587	120.792076	135.76558	167.01437	1237.7941	-220.97693	159.3541	244000
62	-440.76376	549.9712	431.67288	206.48305	1133.8748	-1221.8236	99.01212	126.82024	999.0314	-281.2587	121.50906	136.87483	167.59706	1237.7941	-220.97693	161.15807	248000
63	-437.28265	542.8942	428.28775	206.67964	1133.8748	-1221.8236	100.781715	127.97169	999.0314	-281.2587	121.73913	137.91988	167.03667	1237.7941	-220.97693	161.85397	252000
64	-433.8446	536.0356	424.94397	206.87717	1133.8748	-1221.8236	101.60238	128.36415	999.0314	-281.2587	122.137405	138.31955	166.56151	1237.7941	-220.97693	163.28593	256000
65	-430.44254	529.32446	421.6343	207.08249	1133.8748	-1221.8236	103.36708	129.76576	999.0314	-281.2587	122.93144	139.90317	167.34386	1237.7941	-220.97693	164.16461	260000
66	-427.06512	522.705	418.35034	207.30095	1133.8748	-1221.8236	105.054436	130.84883	999.0314	-281.2587	123.53767	141.68626	168.92534	1237.7941	-220.97693	165.19698	264000
67	-423.72327	516.2548	415.09827	207.52701	1133.8748	-1221.8236	106.31818	131.52707	999.0314	-281.2587	123.844734	144.71753	170.22795	1237.7941	-220.97693	164.91194	268000
68	-420.44916	509.94028	411.9122	207.7247	1133.8748	-1221.8236	108.32463	133.47548	999.0314	-281.2587	124.25765	145.21019	169.34665	1237.7941	-220.97693	164.65147	272000
69	-417.25443	503.79495	408.80212	207.88626	1133.8748	-1221.8236	110.24524	135.8596	999.0314	-281.2587	124.773964	144.91943	168.14336	1237.7941	-220.97693	163.44928	276000
70	-414.13522	497.83188	405.76532	208.01398	1133.8748	-1221.8236	111.92724	136.99005	999.0314	-281.2587	125.05583	147.318	170.59972	1237.7941	-220.97693	163.93571	280000
71	-411.0972	492.04877	402.80777	208.10127	1133.8748	-1221.8236	113.12876	138.10132	999.0314	-281.2587	125.49713	146.81978	171.171	1237.7941	-220.97693	164.92113	284000
72	-408.13742	486.3981	399.92642	208.15158	1133.8748	-1221.8236	114.18062	138.85289	999.0314	-281.2587	126.1498	149.32327	174.88539	1237.7941	-220.97693	165.5236	288000
73	-405.26004	480.8994	397.12503	208.15782	1133.8748	-1221.8236	115.84869	141.30754	999.0314	-281.2587	126.791145	149.35431	175.45377	1237.7941	-220.97693	164.85068	292000
74	-402.45657	475.57736	394.39642	208.13036	1133.8748	-1221.8236	117.7146	143.682	1048.8917	-281.2587	127.31183	150.77904	174.84055	1237.7941	-220.97693	164.69324	296000
75	-399.73502	470.36746	391.7468	208.06422	1133.8748	-1221.8236	119.45063	145.31952	1048.8917	-281.2587	127.60528	151.9003	174.119	1237.7941	-220.97693	163.732	300000
76	-397.09576	465.33997	389.1778	207.95755	1133.8748	-1221.8236	120.85493	145.98172	1048.8917	-281.2587	127.62385	153.42493	177.07022	1237.7941	-220.97693	163.42763	304000
77	-394.5343	460.43347	386.68484	207.81516	1133.8748	-1221.8236	122.35438	147.55635	1048.8917	-281.2587	128.0133	153.20651	176.48471	1237.7941	-220.97693	162.52078	308000
78	-392.0595	455.7158	384.27582	207.63246	1133.8748	-1221.8236	123.47063	149.01273	1048.8917	-281.2587	128.34224	155.81332	178.71153	1237.7941	-220.97693	164.10898	312000
79	-389.66824	451.1154	381.9482	207.41118	1133.8748	-1221.8236	125.38677	151.74254	1048.8917	-281.2587	129.13773	155.52844	177.62434	1237.7941	-220.97693	163.63544	316000
80	-387.36502	446.61053	379.70627	207.14885	1133.8748	-1221.8236	126.75598	153.18422	1048.8917	-281.2587	129.7122	155.0419	176.77373	1237.7941	-220.97693	163.38126	320000
81	-385.14175	442.25842	377.544	206.84769	1133.8748	-1221.8236	129.11264	157.59286	1428.2843	-281.2587	130.43478	159.29237	182.21887	1237.7941	-220.97693	164.08148	324000
82	-382.9847	438.02658	375.446	206.52335	1133.8748	-1221.8236	131.10294	160.47397	1428.2843	-281.2587	130.99042	165.54478	199.98921	1960.2655	-220.97693	165.82439	328000
83	-380.89938	433.90955	373.41763	206.1709	1133.8748	-1221.8236	133.27951	165.11464	1428.2843	-281.2587	131.85068	170.298	208.89577	1960.2655	-220.97693	168.08675	332000
84	-378.9087	429.93985	371.48154	205.77324	1133.8748	-1221.8236	135.33665	169.24237	1428.2843	-281.2587	132.49211	176.65123	220.85802	1960.2655	-220.97693	170.2119	336000
85	-376.97992	426.0627	369.60718	205.35304	1133.8748	-1221.8236	137.80534	177.2084	2083.0972	-281.2587	133.28107	179.91934	224.53024	1960.2655	-220.97693	171.20117	340000
86	-375.11258	422.28674	367.79306	204.91324	1133.8748	-1221.8236	140.20566	184.95488	2448.7253	-281.2587	134.00858	181.16315	224.54257	1960.2655	-220.97693	171.01512	344000
87	-373.30798	418.59482	366.04028	204.45302	1133.8748	-1221.8236	142.10463	187.65358	2448.7253	-281.2587	134.51875	188.72292	245.73993	2229.3638	-220.97693	172.96321	348000
88	-371.57254	415.02463	364.3553	203.96901	1133.8748	-1221.8236	145.32759	195.49083	2448.7253	-281.2587	135.28055	190.26624	252.0461	2229.3638	-220.97693	172.95	352000
89	-369.9206	411.61337	362.75055	203.45515	1133.8748	-1221.8236	147.41278	203.14597	2448.7253	-281.2587	135.82602	194.37636	256.35764	2229.3638	-220.97693	176.27304	356000
90	-368.35077	408.30936	361.22662	202.90921	1133.8748	-1221.8236	149.28618	210.07022	2448.7253	-281.2587	136.72617	201.34737	275.39575	2245.7493	-220.97693	178.80333	360000
91	-366.85568	405.0897	359.77716	202.33774	1133.8748	-1221.8236	150.9471	212.39778	2448.7253	-281.2587	137.2549	207.26466	292.25864	2716.6316	-220.97693	180.52527	364000
92	-365.4289	401.98276	358.39386	201.74495	1133.8748	-1221.8236	153.72368	219.798	2448.7253	-281.2587	138.13814	209.19212	295.0401	2716.6316	-220.97693	181.01305	368000
93	-364.07745	398.96967	357.0849	201.1304	1133.8748	-1221.8236	157.21407	231.05148	2448.7253	-281.2587	139.22156	220.3869	324.26163	2716.6316	-220.97693	184.59247	372000
94	-362.80618	396.08292	355.85333	200.49524	1133.8748	-1221.8236	160.10896	239.26646	2448.7253	-281.2587	140.08942	226.08823	341.98227	3167.5698	-220.97693	185.79681	376000
95	-361.64352	393.4198	354.72757	199.8285	1133.8748	-1221.8236	162.92664	246.39276	2448.7253	-281.2587	140.94955	230.3915	349.43213	3167.5698	-220.97693	187.08632	380000
96	-360.58057	390.85144	353.70102	199.13602	1133.8748	-1221.8236	165.19041	253.41261	2654.6375	-281.2587	141.69742	237.17702	367.12912	3167.5698	-220.97693	188.69063	384000
97	-359.60843	388.44376	352.7628	198.42656	1133.8748	-1221.8236	169.32417	272.26547	3196.0908	-281.2587	142.85715	249.30486	403.59628	3167.5698	-220.97693	192.12886	388000
98	-358.7397	386.17368	351.92548	197.69598	1133.8748	-1221.8236	172.70517	285.93613	3196.0908	-281.2587	143.90602	262.3434	433.58948	3167.5698	-220.97693	194.94388	392000
99	-357.9948	384.03714	351.20932	196.94264	1133.8748	-1221.8236	176.51114	303.64932	3583.4033	-281.2587	144.84273	281.11554	478.59433	3364.4524	-220.97693	199.74445	396000
100	-357.36438	382.05374	350.60623	196.17561	1133.8748	-1221.8236	180.14565	315.05038	3583.4033	-281.2587	145.87892	292.42883	491.88168	3364.4524	-220.97693	202.642	400000
101	-356.8403	380.1792	350.10822	195.3991	1133.8748	-1221.8236	183.14308	323.86594	3583.4033	-281.2587	146.58926	306.52545	516.43646	3457.6123	-220.97693	206.18614	404000
102	-356.41998	378.43387	349.7118	194.62103	1133.8748	-1221.8236	186.69493	335.18723	3583.4033	-281.2587	147.55878	316.79248	527.63086	3457.6123	-220.97693	208.23921	408000
103	-356.08896	376.78375	349.40396	193.84482	1133.8748	-1221.8236	191.08124	350.0889	3631.1445	-281.2587	148.62915	337.68338	581.65247	3892.6328	-220.97693	212.8835	412000
104	-355.848	375.22473	349.18436	193.07703	1133.8748	-1221.8236	195.40636	366.44968	3931.2544	-281.2587	149.58649	335.25708	579.37683	3892.6328	-220.97693	211.38846	416000
105	-355.71008	373.85858	349.06628	192.32025	1133.8748	-1221.8236	199.65292	374.266	3931.2544	-281.2587	150.32211	357.78345	625.7769	4293.1943	-220.97693	215.09238	420000
106	-355.67075	372.6497	349.04495	191.57748	1133.8748	-1221.8236	204.57709	388.3171	4104.339	-281.2587	151.32048	370.60904	638.18414	4293.1943	-220.97693	217.38208	424000
107	-355.73923	371.54416	349.12973	190.85304	1133.8748	-1221.8236	208.5305	394.19592	4104.339	-281.2587	151.93468	374.7974	638.04724	4293.1943	-220.97693	217.79346	428000
108	-355.87122	370.5084	349.27795	190.14955	1133.8748	-1221.8236	212.52847	399.30637	4104.339	-281.2587	152.65018	381.63358	643.6926	4293.1943	-220.97693	218.52963	432000
109	-356.06296	369.61456	349.4845	189.4647	1133.8748	-1221.8236	216.40572	408.9178	4104.339	-281.2587	153.35913	389.5774	652.91815	4293.1943	-220.97693	219.75046	436000
110	-356.30304	368.70706	349.74057	188.79953	1133.8748	-1221.8236	219.64252	411.33005	4104.339	-281.2587	153.79237	399.12256	666.9964	4707.213	-220.97693	221.24818	440000
111	-356.58643	367.94086	350.0378	188.16719	1133.8748	-1221.8236	223.30443	416.26605	4104.339	-281.2587	154.5423	408.66437	677.7932	4707.213	-220.97693	222.87657	444000
112	-356.94315	367.36816	350.4067	187.56009	1133.8748	-1221.8236	226.1697	419.26248	4104.339	-281.2587	154.9101	420.3026	691.9575	4707.213	-220.97693	224.99464	448000
113	-357.34543	366.81903	350.82248	186.97607	1133.8748	-1221.8236	229.60893	427.08997	4104.339	-281.2587	155.59381	426.93265	696.8276	4707.213	-220.97693	225.81682	452000
114	-357.77356	366.232	351.26358	186.41101	1133.8748	-1221.8236	233.19742	430.86237	4104.339	-281.2587	156.27142	434.5914	702.1784	4707.213	-220.97693	226.89035	456000
115	-358.2229	365.70685	351.72556	185.85968	1133.8748	-1221.8236	237.04816	437.1915	4104.339	-281.2587	157.1575	439.75613	702.0018	4707.213	-220.97693	227.25826	460000
116	-358.69186	365.1425	352.20758	185.32387	1133.8748	-1221.8236	241.6381	448.39755	4245.4355	-281.2587	158.03815	456.33765	728.63434	4707.213	-220.97693	231.10948	464000
117	-359.18454	364.68576	352.7116	184.81015	1133.8748	-1221.8236	245.90797	456.4408	4245.4355	-281.2587	158.85947	465.67575	739.8274	4707.213	-220.97693	232.7752	468000
118	-359.67642	364.28665	353.21597	184.31238	1133.8748	-1221.8236	249.31354	460.3672	4245.4355	-281.2587	159.51335	478.71967	756.76306	4707.213	-220.97693	235.07712	472000
119	-360.18207	363.9351	353.73236	183.82661	1133.8748	-1221.8236	253.22588	466.9767	4245.4355	-281.2587	160.32333	487.13855	760.2387	4707.213	-220.97693	236.95546	476000
120	-360.71075	363.60397	354.27155	183.34953	1133.8748	-1221.8236	257.51758	475.97513	4245.4355	-281.2587	161.182	498.79468	770.834	4707.213	-220.97693	238.98917	480000
121	-361.24463	363.2278	354.81686	182.87929	1133.8748	-1221.8236	261.54443	481.68707	4245.4355	-281.2587	161.92706	509.36218	782.64655	4707.213	-220.97693	240.59834	484000
122	-361.79224	362.91116	355.3758	182.42393	1133.8748	-1221.8236	265.6179	487.47943	4245.4355	-281.2587	162.66667	513.7967	782.5038	4707.213	-220.97693	241.0205	488000
123	-362.33707	362.60056	355.93195	181.97353	1133.8748	-1221.8236	269.52475	493.55087	4245.4355	-281.2587	163.45515	522.9543	787.2299	4707.213	-220.97693	242.54797	492000
124	-362.88565	362.23965	356.4918	181.53293	1133.8748	-1221.8236	272.9035	497.3265	4245.4355	-281.2587	164.12971	527.7914	786.3341	4707.213	-220.97693	243.05565	496000
125	-363.42224	361.86432	357.04065	181.09572	1133.8748	-1221.8236	276.5914	502.5531	4245.4355	-281.2587	164.79895	534.8487	791.5527	4707.213	-220.97693	244.528	500000
126	-363.92587	361.45798	357.5583	180.65605	1133.8748	-1221.8236	279.95944	506.06143	4245.4355	-281.2587	165.4629	538.97046	794.10486	4707.213	-220.97693	245.06032	504000
127	-364.412	361.04382	358.05713	180.21265	1133.8748	-1221.8236	283.03693	509.00833	4245.4355	-281.2587	166.01308	541.85284	793.1387	4707.213	-220.97693	245.21968	508000
128	-364.8765	360.59082	358.53485	179.77821	1133.8748	-1221.8236	286.52457	512.79266	4245.4355	-281.2587	166.77524	551.23285	801.0589	4707.213	-220.97693	246.75781	512000
