epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.04976377	1151.4817	-4.606688	0.8051868	0.3348756	-6.1222267	0.013368459	-377.62653	56.01528	-308.0346	-437.76627	1000.0	4000
2	-0.04969072	936.23553	-7.11926	2.5892844	0.3348756	-9.832143	0.014236098	-353.74377	87.39661	-172.57236	-437.76627	1000.0	8000
3	-0.050016385	805.90704	-8.982165	3.3785434	0.3348756	-12.787138	0.014173339	-353.23633	81.99801	-172.57236	-447.02917	1000.0	12000
4	-0.05100332	734.625	-10.558598	4.0021873	0.3348756	-15.333061	0.014393663	-352.31836	74.75123	-172.57236	-447.02917	1000.0	16000
5	-0.0511116	621.9904	-11.721466	4.268946	0.3348756	-16.416162	0.014520735	-329.0556	83.68147	-172.57236	-447.02917	1000.0	20000
6	-0.050783347	582.7048	-12.81471	4.6007967	0.3348756	-18.329002	0.014601813	-329.12296	81.8507	-172.57236	-447.02917	1000.0	24000
7	-0.051681917	533.9166	-13.641161	4.7684126	13.806576	-18.998425	0.014641367	-314.9927	83.74726	-172.57236	-447.02917	1000.0	28000
8	-0.046892725	489.57013	-13.677454	4.968406	17.640665	-18.998425	0.0147074945	-293.1767	103.84188	4.3442698	-447.02917	1000.0	32000
9	-0.047197368	461.39334	-13.608987	5.256905	18.10913	-18.998425	0.014748234	-276.89383	115.535255	4.3442698	-447.02917	1000.0	36000
10	-0.047368407	424.11206	-13.530984	5.369872	18.10913	-19.000702	0.0147904875	-263.82944	117.1854	4.3442698	-447.02917	1000.0	40000
11	-0.047816705	396.99948	-13.636055	5.3062243	18.10913	-19.42211	0.014810962	-256.40195	114.5763	4.3442698	-447.02917	1000.0	44000
12	-0.047904562	373.64322	-13.303964	5.629202	18.10913	-19.42211	0.014826722	-243.73546	119.481476	18.078129	-447.02917	1000.0	48000
13	-0.04802289	355.58527	-12.784948	6.123346	18.10913	-19.434649	0.014843864	-230.53464	123.73393	18.078129	-447.02917	1000.0	52000
14	-0.047842678	338.99493	-11.619142	7.4757156	18.48286	-19.434649	0.0148561625	-211.17686	139.43614	126.01194	-447.02917	1000.0	56000
15	-0.047953412	325.54758	-11.198504	7.7460146	18.48286	-19.434649	0.014868691	-200.49423	141.74261	126.01194	-447.02917	1000.0	60000
16	-0.0457934	310.47165	-10.880155	7.997198	18.48286	-19.434649	0.014892546	-191.8476	142.28517	126.01194	-447.02917	1000.0	64000
17	-0.04623913	299.2454	-10.604919	8.223217	18.48286	-19.434649	0.01490108	-184.49583	142.10222	126.01194	-447.02917	1000.0	68000
18	-0.044382844	289.67404	-9.87171	8.999733	18.643642	-19.434649	0.01495455	-172.13626	147.87714	126.01194	-447.02917	1000.0	72000
19	-0.04455325	282.0253	-9.156683	9.685532	18.643642	-19.434649	0.014960694	-159.55785	154.44261	136.1586	-447.02917	1000.0	76000
20	-0.04479728	272.11548	-8.375502	10.285286	18.643642	-19.434649	0.0149673205	-147.75366	159.58472	136.1586	-447.02917	1000.0	80000
21	-0.045052487	266.52927	-7.422459	11.069181	18.872639	-19.434649	0.0149740465	-133.88113	167.76085	179.222	-447.02917	1000.0	84000
