epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
29	-237.79349	10.072322	236.04956	163.17755	569.6008	-5.6197715	2630.984	1762.2692	4738.3765	-622.34875	1000.0	2762.982	1775.281	5194.934	-765.48145	1000.0	116000
30	-245.07999	10.3299	243.32582	166.27637	576.11523	-5.6197715	2702.4006	1775.0674	4996.7754	-622.34875	1000.0	2837.2883	1791.1663	5194.934	-765.48145	1000.0	120000
31	-252.19427	10.570438	250.4298	169.15271	585.20276	-5.6197715	2772.2478	1787.849	5130.0537	-622.34875	1000.0	2910.4797	1807.4078	5409.764	-765.48145	1000.0	124000
32	-259.1445	10.801543	257.371	171.83864	594.0015	-5.6197715	2840.8037	1800.7549	5169.502	-622.34875	1000.0	2976.0981	1816.1458	5409.764	-765.48145	1000.0	128000
33	-265.93637	11.03279	264.15366	174.36084	599.0617	-5.6197715	2908.2925	1814.0388	5263.3164	-622.34875	1000.0	3048.2412	1834.8356	5699.7427	-765.48145	1000.0	132000
34	-272.58478	11.2416525	270.79306	176.74667	606.82306	-5.6197715	2970.1763	1822.5249	5263.3164	-622.34875	1000.0	3117.6643	1851.2703	5699.7427	-765.48145	1000.0	136000
35	-279.09235	11.473725	277.2928	179.02429	619.7257	-5.6197715	3033.023	1833.4132	5273.347	-622.34875	1000.0	3169.8347	1857.3403	5699.7427	-765.48145	1000.0	140000
36	-285.46265	11.707068	283.65338	181.19557	631.73553	-5.6197715	3094.132	1843.7811	5443.015	-622.34875	1000.0	3239.3538	1877.0653	5889.5312	-765.48145	1000.0	144000
37	-291.75406	11.947436	289.93417	183.29776	640.2374	-5.6197715	3155.4038	1855.929	5685.7617	-622.34875	1000.0	3297.6724	1885.3914	5910.3965	-765.48145	1000.0	148000
38	-297.97968	12.191675	296.1476	185.34491	650.0904	-5.6197715	3184.2249	1871.2334	5687.3477	-622.34875	1000.0	3357.984	1896.6678	5910.3965	-765.48145	1000.0	152000
39	-304.0754	12.412936	302.2344	187.30708	662.6292	-5.6197715	3246.7493	1887.0011	5744.007	-622.34875	1000.0	3422.3503	1914.0428	6115.145	-765.48145	1000.0	156000
40	-310.06662	12.6253	308.21542	189.23608	673.51807	-5.6197715	3303.9126	1897.3213	5745.2397	-622.34875	1000.0	3476.7769	1920.6519	6115.145	-765.48145	1000.0	160000
41	-315.98376	12.834088	314.1215	191.13611	681.721	-5.6197715	3362.036	1909.8262	5860.157	-622.34875	1000.0	3537.2048	1936.1079	6230.8936	-765.48145	1000.0	164000
