epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-12.257303	1.4354438	10.838561	3.6956575	27.255724	-1.1874753	10.837919	3.6962655	27.054888	-1.0782396	-278.27393	23.618029	-246.78271	-313.32794	1000.0	-635.2938	117.306114	-365.71	-737.24725	1000.0	0.3177692	4000	-11.001446
2	-18.425291	2.1854625	17.101734	7.607875	49.74156	-1.1874753	17.10148	7.610697	49.746967	-1.0782396	-320.84738	64.184395	-246.78271	-440.38156	1000.0	-436.89737	216.00568	-192.86488	-737.24725	1000.0	0.16122742	8000	-6.168442
3	-21.875063	2.4949477	20.840782	9.971486	57.494484	-1.3247306	20.84034	9.974912	57.759335	-1.0782396	-276.71072	92.968895	-55.372726	-440.38156	1000.0	-235.16864	336.01672	252.61682	-737.24725	1000.0	0.10895635	12000	-4.2712746
4	-23.45348	2.5552273	22.615688	11.91025	63.295765	-6.769157	22.615194	11.9135685	62.855816	-7.5263305	-40.764618	428.9638	937.67896	-440.38156	1000.0	96.89077	645.58014	1226.4188	-737.24725	1000.0	0.082957454	16000	-3.1196387
5	-25.315378	2.7736168	24.585012	14.36574	93.09653	-10.900492	24.584534	14.368593	91.24119	-10.970958	204.09595	678.59125	1965.5883	-440.38156	1000.0	475.60794	955.6133	2197.6357	-737.24725	1000.0	0.068776704	20000	-2.4164853
6	-28.325949	3.5531907	27.642258	18.895653	119.403114	-16.425344	27.641878	18.8977	120.84901	-15.822256	499.43057	922.6356	2338.5854	-440.38156	1000.0	824.2292	1171.1598	2832.8027	-737.24725	1000.0	0.06121037	24000	-1.9510733
7	-33.091103	4.4065104	32.43012	25.672657	149.89278	-21.782269	32.42985	25.673792	149.69977	-21.120806	830.8066	1180.4253	3127.6184	-440.38156	1000.0	1190.8418	1408.9366	3652.5054	-737.24725	1000.0	0.057858575	28000	-1.6397179
8	-39.49905	5.279037	38.857315	34.046535	190.57088	-25.633797	38.85719	34.04719	190.58806	-24.228111	1135.5139	1367.1829	3293.603	-440.38156	1000.0	1418.7781	1450.896	3652.5054	-737.24725	1000.0	0.057237577	32000	-1.4123752
9	-46.996647	6.304036	46.381557	42.86127	215.90295	-27.698416	46.381535	42.86173	218.1233	-28.386276	1391.2494	1478.131	3483.2378	-440.38156	1000.0	1667.3737	1538.2882	3789.3484	-737.24725	1000.0	0.058345873	36000	-1.2450833
10	-55.122425	7.1991935	54.536694	51.392982	232.74748	-28.260998	54.536736	51.393494	233.18785	-30.289873	1622.1311	1564.8668	3904.4546	-440.38156	1000.0	1919.984	1644.5396	4330.981	-737.24725	1000.0	0.060255982	40000	-1.1120636
11	-63.601643	7.9108543	63.045715	59.540703	253.3464	-31.37268	63.04579	59.54128	252.19041	-34.394356	1856.5858	1666.8425	4381.2393	-440.38156	1000.0	2151.6118	1731.1115	4592.644	-737.24725	1000.0	0.06252361	44000	-1.0071604
12	-72.347336	8.568177	71.821075	67.42927	272.50232	-34.682446	71.82114	67.42986	273.44922	-34.73215	2073.051	1750.0365	4548.32	-440.38156	1000.0	2344.4712	1776.9026	4717.3223	-737.24725	1000.0	0.065242104	48000	-0.9177879
13	-81.24992	9.159685	80.74969	75.01056	295.2944	-34.682446	80.74978	75.01117	296.1658	-35.26645	2282.199	1830.9673	4897.5234	-440.38156	1000.0	2535.8342	1831.477	4951.1953	-737.24725	1000.0	0.06832101	52000	-0.84291774
14	-90.267815	9.724373	89.79268	82.30905	319.31793	-35.798553	89.792755	82.30966	317.71283	-35.97837	2472.0222	1892.514	5011.1953	-440.38156	1000.0	2724.53	1891.5536	5261.662	-737.24725	1000.0	0.07159051	56000	-0.78062385
15	-99.33203	10.264934	98.88138	89.27944	337.388	-35.798553	98.88146	89.279976	335.55353	-35.97837	2643.9104	1938.5768	5234.237	-440.38156	1000.0	2891.638	1931.5088	5339.813	-737.24725	1000.0	0.075078644	60000	-0.7263479
