epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.018453244	1405.5737	-4.8266797	0.7619923	-0.1581335	-6.044134	-425.8885	9.807207	-414.11575	-435.8923	1000.0	4000
2	-0.03098949	1278.4624	-7.299539	2.5348372	-0.1581335	-9.892244	-423.73782	79.52482	-259.21216	-571.14355	1000.0	8000
3	-0.02799056	968.5594	-8.771997	2.9393442	-0.1581335	-11.798618	-373.05606	99.85316	-230.06352	-571.14355	1000.0	12000
4	-0.016703703	878.1106	-10.139308	3.4776635	-0.1581335	-14.293426	-371.75983	93.73127	-230.06352	-571.14355	1000.0	16000
5	-0.020764131	795.55383	-11.373401	3.971012	-0.1581335	-16.354118	-362.92935	90.75724	-230.06352	-571.14355	1000.0	20000
6	-0.016871855	715.1294	-12.3928175	4.2825828	-0.1581335	-17.532244	-348.5096	94.32154	-183.36584	-571.14355	1000.0	24000
7	-0.015663696	653.93555	-13.30963	4.556769	-0.1581335	-18.836607	-340.33405	93.232124	-183.36584	-571.14355	1000.0	28000
8	-0.020868432	640.2663	-14.213927	4.897996	13.695444	-20.668375	-340.6827	96.647446	-173.14581	-571.14355	1000.0	32000
9	-0.022325626	625.1805	-15.195105	5.3878393	13.695444	-23.070679	-346.7276	93.85222	-173.14581	-571.14355	1000.0	36000
10	-0.01934594	599.3889	-15.998303	5.714665	13.695444	-23.793764	-341.61792	91.83431	-173.14581	-571.14355	1000.0	40000
11	-0.0222914	593.35846	-16.91622	6.173998	13.695444	-26.141655	-349.18143	96.67837	-173.14581	-612.4794	1000.0	44000
12	-0.025140146	567.63965	-17.606218	6.4113927	13.695444	-26.501265	-344.26562	96.29673	-173.14581	-612.4794	1000.0	48000
13	-0.021986319	542.2778	-18.296892	6.6403236	13.695444	-27.31053	-344.0091	93.6914	-173.14581	-612.4794	1000.0	52000
14	-0.024706662	521.0846	-18.830532	6.7410765	13.695444	-27.638258	-340.51068	91.44219	-173.14581	-612.4794	1000.0	56000
15	-0.024468279	499.57172	-19.36854	6.8653693	13.695444	-28.197247	-339.4794	90.2829	-173.14581	-612.4794	1000.0	60000
16	-0.025921144	482.31128	-19.831623	6.9191136	13.695444	-28.580667	-338.4469	90.6009	-173.14581	-612.4794	1000.0	64000
17	-0.026156832	469.00092	-20.348776	7.0465317	13.695444	-29.574606	-339.04813	90.46898	-173.14581	-612.4794	1000.0	68000
18	-0.029624972	460.72406	-20.71923	7.1126146	13.695444	-30.3333	-338.59027	88.21799	-173.14581	-612.4794	1000.0	72000
19	-0.02740772	450.7098	-20.964333	7.126528	13.695444	-30.932806	-336.9804	86.75991	-173.14581	-612.4794	1000.0	76000
20	-0.025482487	439.91986	-21.169668	7.1771936	13.695444	-31.385818	-335.2509	86.98961	-173.14581	-612.4794	1000.0	80000
21	-0.025838478	427.7474	-21.276941	7.142277	13.695444	-31.385818	-332.32343	86.346535	-173.14581	-612.4794	1000.0	84000
22	-0.025719322	424.9248	-21.67011	7.283425	13.695444	-32.776096	-335.20615	89.50188	-173.14581	-612.4794	1000.0	88000
23	-0.025821747	415.60284	-22.027191	7.3653426	14.432187	-33.093025	-335.05072	88.61394	-173.14581	-612.4794	1000.0	92000
24	-0.024971664	407.65073	-22.361776	7.4304857	14.432187	-33.553413	-335.79602	88.81855	-173.14581	-612.4794	1000.0	96000
25	-0.024200745	399.2596	-22.233355	7.444479	14.432187	-33.553413	-330.79614	92.557465	-105.17109	-612.4794	1000.0	100000
26	-0.022998434	391.87112	-22.383846	7.396377	14.432187	-33.553413	-329.59845	91.67108	-105.17109	-612.4794	1000.0	104000
27	-0.023923008	383.93317	-22.411448	7.3282504	14.432187	-33.553413	-327.3887	90.74333	-105.17109	-612.4794	1000.0	108000
28	-0.022922447	378.49146	-22.452759	7.3041134	23.997675	-33.553413	-325.19656	90.09681	-105.17109	-612.4794	1000.0	112000
29	-0.02184188	371.3967	-22.528595	7.256078	23.997675	-33.553413	-323.3643	89.53608	-105.17109	-612.4794	1000.0	116000
30	-0.022537638	364.18158	-22.487734	7.2215858	23.997675	-33.553413	-320.3451	90.86054	-105.17109	-612.4794	1000.0	120000
31	-0.02160953	358.6026	-22.462017	7.1876044	23.997675	-33.553413	-317.5188	91.38013	-105.17109	-612.4794	1000.0	124000
32	-0.022792295	354.05676	-22.524683	7.1453195	23.997675	-33.553413	-316.11145	90.42241	-105.17109	-612.4794	1000.0	128000
33	-0.022768397	347.77655	-22.459421	7.127479	23.997675	-33.553413	-313.15002	90.70492	-105.17109	-612.4794	1000.0	132000
34	-0.022618497	342.89493	-22.489115	7.1038957	23.997675	-33.76627	-311.58438	90.897736	-105.17109	-612.4794	1000.0	136000
35	-0.02315746	337.44376	-22.45362	7.090634	23.997675	-33.76627	-309.45508	91.30378	-105.17109	-612.4794	1000.0	140000
