epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
1	-410.54626	137.18414	-211.05959	-597.8876	1000.0	-56.341663	1459.057	-4.2985024	0.7733968	0.6071608	-5.634459	4000
2	-295.9124	44.214657	-231.32726	-354.11554	1000.0	-33.322147	488.75916	-8.902578	0.28689206	-4.660095	-9.043657	8000
3	-412.89746	82.42851	-298.75952	-520.0718	1000.0	-43.02146	980.53235	-12.555267	0.07470108	-11.072783	-12.608651	12000
4	-434.21146	43.174854	-369.73096	-487.7606	1000.0	-40.18332	867.83484	-15.612644	0.02930934	-15.203298	-15.637212	16000
5	-446.5379	95.43078	-313.63562	-582.85187	1000.0	-37.66165	865.9604	-18.388609	0.02326659	-17.961365	-18.402876	20000
6	-332.47418	53.07574	-264.9626	-413.76077	1000.0	-18.259178	357.23294	-19.933222	0.017571239	-19.60827	-19.942663	24000
7	-376.42896	63.20957	-310.3897	-455.98615	1000.0	-21.642797	308.9284	-21.632504	0.013523317	-21.404476	-21.639715	28000
8	-386.74588	92.12748	-286.56625	-516.5839	1000.0	-20.506859	416.9236	-23.352253	0.016381571	-23.00094	-23.359154	32000
9	-397.99564	63.105644	-323.11954	-496.70175	1000.0	-19.262308	413.08636	-25.074913	0.015399783	-24.637533	-25.082321	36000
10	-375.17572	44.202805	-323.69	-435.7455	1000.0	-12.201235	230.90495	-26.206024	0.010633232	-25.9892	-26.213139	40000
11	-410.1494	68.65133	-326.23965	-483.34625	1000.0	-17.2205	398.34668	-27.850227	0.010705759	-27.640022	-27.85599	44000
12	-417.8932	37.940655	-362.9781	-469.9348	1000.0	-15.225641	307.05267	-29.33136	0.007192956	-29.197422	-29.33687	48000
13	-359.71924	79.74311	-303.94208	-496.12454	1000.0	-6.213979	201.89441	-30.143332	0.0074541396	-30.038982	-30.147673	52000
14	-301.64807	26.088701	-265.1893	-332.54245	1000.0	4.170332	197.61804	-29.677334	0.31227884	-22.136383	-29.726215	56000
15	-375.9072	21.928589	-337.97385	-389.47675	1000.0	-6.347603	269.714	-30.20183	0.00884185	-30.048437	-30.20635	60000
16	-340.4391	28.55952	-299.91278	-373.87213	1000.0	-1.391985	388.58344	-30.336578	0.008016885	-30.210506	-30.342768	64000
17	-406.58426	143.18213	-252.6211	-637.3687	1000.0	-10.149117	399.16315	-31.27212	0.007111632	-31.087914	-31.276268	68000
18	-352.14172	62.142063	-265.22467	-417.1757	1000.0	-0.97902524	333.5843	-31.316057	0.049506593	-30.06115	-31.327503	72000
19	-343.03122	73.390884	-262.5837	-433.35315	1000.0	0.3643719	242.50552	-31.12433	0.3367472	-24.508408	-31.183207	76000
20	-354.2381	48.158966	-281.38574	-411.15973	1000.0	-1.8688269	354.1471	-31.12638	0.36425087	-19.746582	-31.179005	80000
21	-470.57446	58.43544	-389.50677	-528.35736	1000.0	-18.291939	436.1964	-33.771225	0.008494601	-33.57724	-33.77562	84000
22	-349.75	81.965454	-252.69543	-440.27112	1000.0	2.0639777	227.43506	-33.675655	0.498257	-9.70583	-33.733772	88000
23	-336.94815	88.18158	-231.70229	-429.3225	1000.0	4.068371	275.23035	-32.968662	0.7682357	-19.164661	-33.10053	92000
24	-400.847	22.514946	-373.14584	-429.77805	1000.0	-5.2974625	221.64236	-33.54946	0.022159826	-32.82306	-33.55655	96000
25	-315.9277	38.113293	-272.78656	-374.05557	1000.0	7.270499	188.27155	-32.218704	0.4537263	-21.509922	-32.287632	100000
26	-367.509	58.34043	-284.72046	-445.59155	1000.0	-1.7445166	293.83133	-32.21363	0.0438786	-31.231482	-32.224796	104000
27	-437.10883	86.388176	-318.98187	-544.74506	1000.0	-11.5084	300.91296	-34.223114	0.0134701235	-33.856514	-34.228798	108000
28	-372.28546	75.25659	-258.1071	-464.21753	1000.0	0.65329576	352.36237	-34.35696	0.2686635	-19.534523	-34.376648	112000
29	-263.5271	43.554867	-216.85423	-319.4206	1000.0	15.406324	220.68289	-24.332699	2.8883243	-15.421744	-32.183918	116000
30	-395.09067	40.270542	-352.19995	-447.1903	1000.0	-17.71565	298.56488	-33.609116	0.07686331	-31.637396	-33.63453	120000
31	-354.82785	78.66522	-276.38477	-481.34717	1000.0	2.1629758	226.85501	-33.274876	0.37069854	-20.868013	-33.329285	124000
32	-318.75433	58.527866	-250.95264	-388.70444	1000.0	5.697595	206.49634	-31.56635	1.7765889	-15.550502	-32.27146	128000
33	-318.4891	43.86014	-252.39381	-371.69098	1000.0	2.6444426	319.25586	-29.434298	1.721179	-24.533758	-31.708366	132000
34	-270.01166	35.42851	-213.18527	-310.69977	1000.0	8.669503	307.21976	-24.237013	1.262077	-18.39952	-28.149199	136000
35	-300.13336	66.029076	-186.23848	-343.06995	1000.0	-4.7399106	225.79416	-26.498508	2.4596887	-11.662019	-31.135845	140000
36	-291.8022	97.51556	-178.69504	-439.13586	1000.0	1.4139757	269.39703	-26.547148	1.1690285	-18.011496	-29.984652	144000
37	-327.99155	48.605408	-248.53087	-373.12112	1000.0	-4.889516	223.98483	-29.109173	1.2636122	-25.356813	-31.657116	148000
38	-330.38156	61.52776	-239.5118	-393.39087	1000.0	-0.7395457	309.4397	-28.96585	1.0755935	-20.484274	-31.796844	152000
39	-357.32178	51.52937	-291.5826	-417.97192	1000.0	-5.817065	182.6012	-31.589811	1.2402942	-26.799309	-33.11711	156000
40	-394.1561	63.072285	-299.109	-462.42493	1000.0	-5.8045897	308.4347	-33.956577	0.844892	-28.612818	-34.26666	160000
41	-335.78522	62.02917	-260.6277	-417.27515	1000.0	4.7658234	258.73416	-31.200483	2.06573	-17.044737	-33.151035	164000
42	-316.60297	55.11932	-246.38571	-400.97318	1000.0	1.8925948	270.7473	-29.790867	1.2361877	-21.516636	-32.555008	168000
43	-299.6651	46.032143	-236.71393	-357.0068	1000.0	4.3092604	197.25925	-25.778364	3.3042567	-16.195515	-30.581116	172000
44	-329.43866	52.868073	-282.48184	-418.6723	1000.0	-6.7532682	223.43417	-28.91898	2.1860216	-24.542463	-32.213272	176000
45	-337.91388	53.60048	-276.49713	-420.88342	1000.0	-2.9170034	237.19318	-30.430313	2.4286525	-25.308764	-33.194866	180000
46	-308.35922	16.512037	-285.85257	-330.19208	1000.0	2.4831321	179.09256	-28.74722	1.5458713	-22.628138	-32.03418	184000
47	-321.19852	92.112755	-235.4287	-475.26538	1000.0	-0.7150948	245.14029	-28.766365	2.317553	-23.635206	-32.16646	188000
48	-257.5324	49.004585	-211.27023	-330.34137	1000.0	7.67131	199.0911	-23.435347	1.333758	-15.3785715	-28.918972	192000
49	-273.16757	45.071335	-212.85825	-336.97562	1000.0	-2.2670488	216.2157	-24.149137	0.8642549	-18.874485	-28.843199	196000
50	-316.02374	61.695568	-239.86256	-394.82712	1000.0	-7.2393017	265.79816	-28.172201	1.4469439	-19.287685	-31.383625	200000
51	-246.11407	29.59546	-204.0586	-287.3379	1000.0	8.556674	279.49945	-22.24964	1.3384806	-16.568811	-27.462313	204000
52	-287.5786	38.919174	-258.30872	-353.69922	1000.0	-5.670394	136.97447	-25.420328	0.9422945	-23.13224	-29.011515	208000
53	-264.19427	21.905703	-244.39903	-300.58685	1000.0	1.8772781	181.19887	-24.354223	0.7051843	-20.701561	-27.640753	212000
54	-317.60992	99.16146	-182.86934	-453.31778	1000.0	-7.3824286	217.4841	-28.09555	1.5621103	-21.751703	-32.065838	216000
55	-327.63742	137.74657	-158.8221	-542.63763	1000.0	-2.6264663	281.5428	-28.725601	3.8969004	0.038200796	-33.426582	220000
56	-266.72217	34.294025	-215.41559	-303.32562	1000.0	6.0473413	190.87299	-24.453588	1.4280629	-18.216934	-30.077568	224000
57	-259.7113	19.282913	-241.1336	-290.18005	1000.0	0.8967973	195.55353	-23.161806	0.99962616	-19.2474	-27.381384	228000
