epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	10.014802	1527.838	-4.2579627	0.7773958	0.5499451	-5.6012206	0.004298883	-432.56195	101.554146	-279.1171	-551.9652	1000.0	4000
2	6.384165	729.98035	-8.995824	0.20674641	-6.9263206	-9.130926	0.003994183	-330.9648	52.26892	-259.68802	-401.23718	1000.0	8000
3	6.2441425	749.8216	-12.239068	0.07514812	-11.317178	-12.282284	0.0041049696	-372.4859	97.9296	-302.82593	-541.13586	1000.0	12000
4	4.424832	545.81464	-14.588487	0.048192266	-13.859189	-14.626338	0.0046105245	-332.3938	45.81841	-258.23853	-383.2828	1000.0	16000
5	4.0209613	459.95132	-16.788261	0.033454195	-16.3476	-16.815023	0.0045048627	-345.85638	57.156082	-292.4261	-429.35263	1000.0	20000
6	1.3705809	195.3297	-17.878145	0.034155246	-17.051592	-17.896751	0.0052849455	-257.05893	13.693544	-238.9934	-276.0297	1000.0	24000
7	0.77603227	167.2656	-18.50564	0.024593474	-18.238829	-18.520546	0.004030861	-242.51862	74.56924	-147.10023	-319.05496	1000.0	28000
8	-1.6528544	178.76154	-17.353378	1.3955864	-0.09351581	-17.770308	0.003932913	-156.05966	17.105986	-129.26843	-174.22777	1000.0	32000
9	0.7298612	215.20988	-18.199059	0.041146297	-17.760347	-18.232964	0.0043594227	-236.94742	40.77033	-182.78662	-276.6132	1000.0	36000
10	0.06577669	222.85986	-18.413794	0.35393193	-12.23452	-18.507347	0.0043409606	-227.19327	44.478546	-172.14093	-272.6658	1000.0	40000
11	-1.0739312	122.927536	-17.817228	0.6613318	-10.478842	-18.045319	0.004248306	-173.22089	26.375198	-139.03108	-200.79219	1000.0	44000
12	-1.7504694	165.59265	-15.062545	2.687641	1.0639775	-17.290648	0.0044812006	-142.112	63.697876	-67.56808	-235.49414	1000.0	48000
13	0.44757637	134.71533	-17.38522	0.18521553	-15.690978	-17.50635	0.00442762	-198.85178	35.105778	-146.34627	-242.48033	1000.0	52000
14	-2.0948324	157.92648	-13.759668	2.0505297	-1.3798268	-16.516426	0.0045013395	-122.0219	57.708035	-37.127636	-177.97647	1000.0	56000
15	0.25460798	107.226204	-16.442345	0.5751336	-10.586092	-16.80793	0.004239754	-185.16238	40.49635	-143.2747	-242.86955	1000.0	60000
16	-2.1752954	163.72455	-10.4291	5.017521	2.3093064	-16.377428	0.0045954254	-108.65994	91.12007	35.705254	-203.54129	1000.0	64000
17	0.20226058	172.84439	-11.232121	2.8661776	-2.3254192	-16.24584	0.004674606	-123.77171	59.912533	-22.744633	-174.14433	1000.0	68000
18	-2.419966	218.69865	-3.608686	2.0273066	1.9143015	-14.746652	0.004315988	-35.881535	57.465603	14.052989	-132.06732	1000.0	72000
19	1.1565194	214.50139	-11.492975	2.9544623	-1.4508761	-16.1651	0.0042096106	-113.17456	54.953297	-23.823296	-158.96237	1000.0	76000
20	-0.43982947	248.542	-9.780281	1.7219721	-4.3557353	-15.680526	0.0043473803	-107.65613	54.27816	-25.662281	-175.54591	1000.0	80000
21	-0.0078365505	184.6828	-14.2439	1.7997595	-7.360737	-16.293978	0.004458229	-146.31497	40.060345	-80.882965	-184.58058	1000.0	84000
22	-1.7246615	201.1001	-9.894059	1.7368914	-3.9181156	-14.51268	0.004770496	-93.88014	41.71364	-35.849575	-145.06271	1000.0	88000
23	-0.6241116	133.64212	-9.29412	1.3499354	-3.8395154	-13.815281	0.0046942155	-98.93181	37.822514	-50.247696	-156.1235	1000.0	92000
24	0.21621302	170.06421	-12.204901	1.971488	-6.931579	-16.143082	0.0046809427	-121.82782	41.67636	-72.3744	-169.81383	1000.0	96000
25	-1.0584731	176.31354	-10.438073	2.117659	-4.7289114	-15.6920595	0.0045939377	-106.946	54.94983	-29.947727	-165.41425	1000.0	100000
26	-1.2272625	136.44202	-7.836038	0.9267914	-4.24502	-11.612776	0.0048461286	-74.34958	27.026632	-52.957542	-120.48653	1000.0	104000
27	-1.2201519	106.835785	-6.4847317	0.7742519	-2.0083494	-10.14702	0.004646018	-48.8325	19.29167	-16.625124	-65.378716	1000.0	108000
28	-1.1706313	189.23901	-4.4231234	1.2658995	-0.037567496	-8.931466	0.0047422843	-41.05028	50.059193	36.68142	-86.18563	1000.0	112000
29	-1.5346506	235.91621	-1.3301047	0.827776	2.4400587	-5.4574065	0.004825066	-7.4249234	46.25722	52.327103	-72.47305	1000.0	116000
30	0.7143623	202.36932	-7.0226693	3.8129556	4.901943	-14.617461	0.004208055	-65.868004	76.09747	61.289066	-139.44179	1000.0	120000
31	-0.9846842	240.78734	-5.0808945	4.1495094	3.551612	-14.434256	0.0046208794	-47.692554	108.02921	108.86606	-185.79674	1000.0	124000
32	-1.3885958	86.46724	-0.19451395	0.8816892	3.4631178	-8.183847	0.0045063696	10.22587	11.272636	28.477776	-0.4428908	1000.0	128000
33	1.2626727	128.23093	-7.9052453	5.338267	2.81733	-15.735317	0.004350718	-75.435486	75.61036	26.414986	-170.80919	1000.0	132000
34	-1.382297	206.4457	-5.2728195	4.5961843	4.3890533	-14.91478	0.004772015	-37.53242	100.11666	69.82995	-153.65091	1000.0	136000
35	-1.040813	124.53251	-1.1601539	1.5827711	2.913154	-10.674875	0.0043750387	-8.511134	42.843605	51.745296	-68.92581	1000.0	140000
36	-0.21948373	105.60391	-1.8983546	1.3280776	1.4139249	-10.492817	0.0045835776	-20.019682	48.119675	41.415855	-81.80814	1000.0	144000
37	-0.53655875	140.85254	-1.689063	1.1995046	1.8370516	-12.564629	0.0047340803	-10.645769	53.955215	42.42272	-79.25504	1000.0	148000
38	1.30849	150.03154	-11.043588	4.85517	1.7997628	-15.887409	0.0050932625	-101.82582	96.44912	13.870054	-224.41045	1000.0	152000
39	-3.535739	274.1994	2.6406763	2.706101	11.150869	-11.474981	0.0047977036	59.613758	57.62984	121.79289	-26.783983	1000.0	156000
40	-1.8282577	143.12761	6.9042273	1.2197423	12.722921	2.8810253	0.0050106626	90.44503	42.594017	161.49773	53.69475	1000.0	160000
41	1.5926222	174.53944	-3.4562933	6.126117	9.975871	-15.433717	0.004732323	-20.783484	87.48715	71.55939	-152.1673	1000.0	164000
42	-2.5153806	249.89215	7.0273714	1.7552058	13.680047	-3.9094622	0.0048416606	87.463715	82.03765	165.27977	-40.344433	1000.0	168000
43	-0.82420564	208.75832	4.0046954	8.804627	14.657516	-15.40335	0.0050353133	57.42476	112.02595	194.89088	-116.651855	1000.0	172000
44	0.39379668	216.80148	1.3121146	5.959853	13.023823	-15.236923	0.0053201495	19.707489	97.596664	152.79088	-102.81226	1000.0	176000
45	-1.16344	124.75543	6.40609	1.1494129	12.560254	0.14832053	0.005123918	75.26796	27.399807	105.879486	43.31504	1000.0	180000
46	0.4029838	190.62033	-1.4139811	4.22671	9.584421	-14.199546	0.004909013	-7.374216	70.93868	96.51244	-99.77312	1000.0	184000
47	-2.0588002	145.15602	6.7648816	1.0018668	13.138081	2.7762039	0.0053335	76.39191	49.559223	153.19592	19.58886	1000.0	188000
48	0.8290436	111.55274	-0.078251585	2.852915	10.044893	-11.864485	0.00526232	13.494427	50.925007	95.39465	-38.78715	1000.0	192000
49	-2.7171245	184.88321	7.5000515	1.0289772	13.814627	3.994494	0.005202733	106.28659	45.53251	163.25627	37.159756	1000.0	196000
50	-1.7458843	209.71924	9.819956	0.9160314	14.642317	5.081	0.0054198103	124.173035	20.31476	141.30151	89.63162	1000.0	200000
51	1.6497395	205.45175	0.657988	6.853042	12.364975	-13.661083	0.004673966	15.946867	89.8215	116.595566	-128.60301	1000.0	204000
52	-1.1569142	245.44487	0.71287966	4.1114426	10.605404	-7.2074366	0.0047357776	23.519247	81.34817	119.191635	-87.58229	1000.0	208000
