epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-12.41106	1.1877475	11.040436	3.1631832	25.187647	0.061440155	11.038163	3.1694946	24.90819	-0.8678094	-258.1245	82.940674	-163.73802	-367.11935	1000.0	-607.6431	189.51875	-225.9277	-809.9863	1000.0	0.3172422	4000	-11.393963
2	-17.4436	1.8597502	16.248087	6.390006	45.668297	0.061440155	16.247257	6.3927097	44.79258	-0.8678094	-284.41113	93.73591	-163.73802	-459.65414	1000.0	-418.58038	232.8315	-191.07172	-809.9863	1000.0	0.15986757	8000	-6.4331656
3	-19.954287	2.1378245	18.999916	8.999731	59.621975	0.061440155	18.999557	9.000793	59.102524	-0.8678094	-244.55705	102.24031	-62.883656	-459.65414	1000.0	-187.69322	378.80347	353.7841	-809.9863	1000.0	0.109202854	12000	-4.3365436
4	-21.252304	2.3038356	20.475903	11.545733	68.030106	-1.7070141	20.475866	11.545776	69.56377	-1.3985586	-2.5557709	457.95312	1089.8245	-459.65414	1000.0	157.93668	687.17334	1404.8796	-809.9863	1000.0	0.08327459	16000	-3.164165
5	-23.356392	2.6877503	22.669634	14.778848	86.59657	-5.1566596	22.669682	14.778331	87.82049	-5.7706327	217.97554	674.52844	1624.493	-459.65414	1000.0	468.30917	877.50165	2000.2021	-809.9863	1000.0	0.06977326	20000	-2.4541411
6	-26.559484	3.2289777	25.922806	19.41589	107.57347	-9.624575	25.92289	19.415325	105.51029	-8.99058	509.85458	900.7712	2250.0688	-459.65414	1000.0	745.49554	1014.83044	2342.8264	-809.9863	1000.0	0.061969277	24000	-2.0018756
7	-31.25841	3.8216858	30.651863	25.558552	139.32983	-10.1390295	30.651844	25.557953	138.78876	-9.86507	808.5772	1112.2032	2943.563	-459.65414	1000.0	924.08923	1096.5758	2903.8352	-809.9863	1000.0	0.057488892	28000	-1.6900879
8	-37.389084	4.5632386	36.79844	33.176945	177.74274	-10.484562	36.798252	33.176228	177.85924	-10.2608595	1121.2977	1332.6454	3707.4153	-459.65414	1000.0	1238.6053	1321.1533	3607.15	-809.9863	1000.0	0.055395827	32000	-1.4573478
9	-44.863647	5.4659905	44.284725	42.127937	216.56541	-11.8961735	44.284435	42.12724	216.92123	-11.216319	1417.493	1511.6068	4022.4658	-459.65414	1000.0	1554.6555	1533.5242	4208.328	-809.9863	1000.0	0.05524012	36000	-1.2788961
10	-53.264896	6.4838405	52.695568	51.708477	258.96097	-18.95337	52.695164	51.70773	260.26392	-17.621641	1633.0656	1611.6033	4511.2905	-459.65414	1000.0	1822.9363	1684.8197	4721.8613	-809.9863	1000.0	0.056167528	40000	-1.1419507
