epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
29	-234.94205	9.605893	233.24374	143.43617	530.24884	-4.2467203	2532.7754	1606.8179	4599.0454	-657.0482	1000.0	2609.6455	1683.4585	5020.063	-621.73285	1000.0	116000
30	-241.66908	9.794457	239.96156	146.08849	538.6836	-4.2467203	2603.358	1624.9957	4805.91	-657.0482	1000.0	2687.1992	1709.6188	5286.1025	-621.73285	1000.0	120000
31	-248.27563	9.965206	246.55925	148.66289	550.2072	-4.2467203	2671.5908	1641.8104	4917.181	-657.0482	1000.0	2763.369	1733.0317	5286.1025	-621.73285	1000.0	124000
32	-254.78636	10.126412	253.0597	151.20097	560.3282	-4.2467203	2743.0144	1664.3826	5122.474	-657.0482	1000.0	2838.6626	1756.5342	5288.236	-621.73285	1000.0	128000
33	-261.208	10.286538	259.47208	153.69627	571.17456	-4.2467203	2800.0186	1671.0382	5122.474	-657.0482	1000.0	2897.6057	1761.9276	5288.236	-621.73285	1000.0	132000
34	-267.53314	10.453304	265.78708	156.14645	581.9557	-4.2467203	2864.9094	1688.2106	5122.474	-657.0482	1000.0	2969.104	1783.8619	5485.5503	-621.73285	1000.0	136000
35	-273.77432	10.634041	272.01843	158.58383	592.80225	-4.2467203	2919.2761	1697.0148	5142.4736	-657.0482	1000.0	3043.409	1810.8915	5749.8486	-621.73285	1000.0	140000
36	-279.91052	10.814344	278.1455	161.00813	604.08636	-4.2467203	2979.804	1711.2097	5175.8955	-657.0482	1000.0	3101.7786	1819.4014	5749.8486	-621.73285	1000.0	144000
37	-285.96655	11.0064745	284.19064	163.43001	618.3189	-4.2467203	3040.636	1727.265	5513.5854	-657.0482	1000.0	3149.7717	1819.2891	5749.8486	-621.73285	1000.0	148000
38	-291.9691	11.190118	290.18195	165.83403	628.91205	-4.2467203	3100.1953	1742.6228	5513.5854	-657.0482	1000.0	3205.074	1826.6515	5749.8486	-621.73285	1000.0	152000
39	-297.90857	11.357962	296.11108	168.19455	636.4102	-4.2467203	3158.793	1757.7153	5513.5854	-657.0482	1000.0	3270.162	1847.3173	6003.3257	-621.73285	1000.0	156000
40	-303.77448	11.510895	301.9675	170.49864	641.6331	-4.2467203	3213.1538	1768.5784	5513.5854	-657.0482	1000.0	3329.2424	1861.8809	6003.3257	-621.73285	1000.0	160000
41	-309.55338	11.660865	307.73682	172.72144	649.2219	-4.2467203	3264.994	1777.552	5518.84	-657.0482	1000.0	3389.6768	1878.4489	6003.3257	-621.73285	1000.0	164000
42	-315.23456	11.791478	313.40927	174.85266	653.5032	-4.2467203	3315.6208	1785.9681	5518.84	-657.0482	1000.0	3444.0571	1888.4396	6003.3257	-621.73285	1000.0	168000
43	-320.80887	11.914408	318.97568	176.88206	658.24243	-4.2467203	3368.6643	1798.3461	5761.6035	-657.0482	1000.0	3500.8643	1902.4208	6085.6763	-621.73285	1000.0	172000
44	-326.2681	12.019108	324.4277	178.81062	664.7011	-4.2467203	3416.1592	1804.8751	5761.6035	-657.0482	1000.0	3552.7307	1911.2703	6085.6763	-621.73285	1000.0	176000
45	-331.5962	12.111459	329.75064	180.63924	666.7073	-4.2467203	3457.393	1807.257	5761.6035	-657.0482	1000.0	3605.6172	1922.2278	6085.6763	-621.73285	1000.0	180000
46	-336.77264	12.210832	334.92233	182.34657	670.60724	-4.2467203	3502.7983	1813.3003	5761.6035	-657.0482	1000.0	3654.5798	1929.4966	6111.313	-621.73285	1000.0	184000
47	-341.82904	12.311983	339.97302	183.9473	675.11725	-4.2467203	3544.2712	1816.1383	5761.6035	-657.0482	1000.0	3686.2239	1922.5792	6111.313	-621.73285	1000.0	188000
48	-346.77496	12.408917	344.91266	185.43983	678.6041	-4.2467203	3586.3826	1820.3271	5853.208	-657.0482	1000.0	3733.9033	1930.4486	6133.0933	-621.73285	1000.0	192000
49	-351.6162	12.48494	349.75043	186.83199	681.9847	-4.2467203	3627.7705	1824.3862	5853.208	-657.0482	1000.0	3775.3435	1933.0779	6133.0933	-621.73285	1000.0	196000
50	-356.3133	12.558721	354.44504	188.12111	685.545	-4.2467203	3666.9019	1826.7129	5853.208	-657.0482	1000.0	3819.497	1938.5477	6241.475	-621.73285	1000.0	200000
