epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.057028502	397.72815	-4.5481133	0.83145833	0.12585983	-5.611146	0.0038070849	-215.4182	61.463478	-117.4995	-268.9567	1000.0	4000
2	-0.057506405	401.12177	-6.98951	2.5205832	0.12585983	-9.553953	0.004198038	-243.66463	78.75722	-117.4995	-392.56534	1000.0	8000
3	-0.058084887	353.30698	-8.525145	2.9936583	0.12585983	-11.6510515	0.0043202457	-229.193	70.51558	-117.4995	-392.56534	1000.0	12000
4	-0.058933727	316.95563	-9.57339	3.2021804	10.02492	-12.909265	0.0044778306	-219.67476	65.94521	-117.4995	-392.56534	1000.0	16000
5	-0.058900703	291.85858	-10.588905	3.525604	10.02492	-14.748189	0.0043767663	-219.74995	62.2159	-117.4995	-392.56534	1000.0	20000
6	-0.059928704	261.26413	-11.24814	3.658295	10.02492	-15.41213	0.0043471283	-210.61171	60.83358	-117.4995	-392.56534	1000.0	24000
7	-0.0602616	240.46614	-11.228627	3.6441033	10.02492	-15.41213	0.0043262625	-198.894	64.9054	-96.20092	-392.56534	1000.0	28000
8	-0.060035232	229.02077	-10.873734	3.7795424	10.330063	-15.41213	0.0042094	-185.38536	72.17469	-22.321392	-392.56534	1000.0	32000
9	-0.061342377	216.45541	-10.885536	3.8184621	10.330063	-15.713085	0.0042529223	-178.95093	75.81275	-22.321392	-392.56534	1000.0	36000
10	-0.061963726	202.99799	-10.358636	4.077958	10.330063	-15.713085	0.0042536557	-166.84772	82.029854	12.829581	-392.56534	1000.0	40000
11	-0.062291447	201.41475	-10.582759	4.078783	10.330063	-16.18872	0.00428524	-164.25592	81.16372	12.829581	-392.56534	1000.0	44000
12	-0.062853694	195.89684	-10.319177	4.1722336	13.991879	-16.18872	0.0043427018	-156.88686	82.35439	12.829581	-392.56534	1000.0	48000
13	-0.06334377	186.64728	-9.559567	4.850482	13.991879	-16.18872	0.0043646838	-145.18971	89.24378	44.277954	-392.56534	1000.0	52000
14	-0.06339627	181.99612	-9.222778	4.9018216	13.991879	-16.18872	0.004372071	-137.90988	90.40032	44.277954	-392.56534	1000.0	56000
15	-0.063676834	179.23317	-8.808767	5.263686	13.991879	-16.278076	0.0043867556	-131.02112	92.20547	57.334007	-392.56534	1000.0	60000
16	-0.06353149	176.06895	-8.753741	5.3591323	13.991879	-17.437592	0.0043572197	-129.05072	92.372185	57.334007	-392.56534	1000.0	64000
17	-0.063531786	170.26631	-8.403931	5.514502	13.991879	-17.437592	0.004385224	-123.396385	93.9829	57.334007	-392.56534	1000.0	68000
18	-0.06393389	165.56006	-7.884903	5.949128	13.991879	-17.67757	0.00438872	-116.60205	97.07207	57.334007	-392.56534	1000.0	72000
19	-0.06387177	160.9935	-7.308982	6.3302875	13.991879	-17.67757	0.004379549	-108.67668	100.87861	113.33843	-392.56534	1000.0	76000
20	-0.06388827	156.57509	-6.632343	6.871252	13.991879	-17.67757	0.0043790983	-100.01227	105.88144	128.8628	-392.56534	1000.0	80000
21	-0.06438731	152.72993	-5.914933	7.4670954	15.607452	-17.67757	0.004415418	-90.818665	111.30289	128.8628	-392.56534	1000.0	84000
22	-0.064881176	149.27998	-5.2642765	7.9027066	16.705572	-17.67757	0.0044249785	-82.09073	116.41997	145.60696	-392.56534	1000.0	88000
23	-0.065255836	146.17102	-4.712278	8.254581	16.705572	-17.67757	0.004433026	-75.041	119.28273	145.60696	-392.56534	1000.0	92000
24	-0.065466285	145.62733	-4.354659	8.310515	16.705572	-17.67757	0.0044454043	-70.06841	119.80084	145.60696	-392.56534	1000.0	96000
