epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
22	-156.89078	56.17439	154.5081	68.50781	323.28833	-166.31688	154.50848	68.49939	320.16382	-133.37317	245.68472	331.7284	2016.934	-1.5551487	105.76923	507.18094	474.6482	2879.1445	4.036106	191.85454	0.122663476	88000	-0.095883146
23	-158.67905	56.787827	156.34244	68.86518	323.28833	-166.31688	156.34283	68.857475	320.9659	-133.37317	254.41968	343.9268	2514.244	-1.5551487	108.87574	521.9957	471.91827	2879.1445	4.036106	196.18695	0.121454194	92000	-0.09112517
24	-160.29266	57.4802	157.99873	69.1151	323.28833	-166.31688	157.99922	69.1079	320.9659	-133.37317	262.8898	350.86743	2514.244	-1.5551487	111.36891	537.9724	468.7523	2879.1445	4.036106	199.92917	0.120326824	96000	-0.08740035
25	-161.80243	57.91167	159.54938	69.33325	323.28833	-166.31688	159.54985	69.326195	320.9659	-142.36472	272.70035	360.27457	2514.244	-1.5551487	114.28571	605.45624	578.12256	3195.1033	4.036106	221.612	0.11926515	100000	-0.08452465
26	-163.22925	58.174797	161.01613	69.49916	323.28833	-166.31688	161.01656	69.49238	320.9659	-142.36472	283.9901	381.76028	3171.0447	-1.5551487	117.64706	620.0621	572.6938	3195.1033	4.036106	225.71153	0.11816851	104000	-0.080992825
27	-164.61046	58.335087	162.43709	69.62844	323.28833	-166.31688	162.43759	69.62187	320.9659	-142.36472	294.16843	393.90823	3171.0447	-1.5551487	120.67039	633.1806	577.0881	3195.1033	4.036106	229.7	0.11708264	108000	-0.077781305
28	-165.95319	58.37196	163.81609	69.72447	323.28833	-166.31688	163.8166	69.718155	320.9659	-172.25624	304.4599	406.4873	3171.0447	-1.5551487	123.62031	676.60205	610.7202	3195.1033	4.036106	241.51785	0.116209805	112000	-0.07513016
29	-167.27423	58.37234	165.1737	69.80601	323.28833	-166.31688	165.17427	69.79963	320.9659	-172.25624	315.52625	424.19684	3171.0447	-1.5551487	126.91466	756.7696	734.92017	3195.1033	4.036106	267.67242	0.11511351	116000	-0.07315761
30	-168.53761	58.292377	166.47578	69.885376	323.28833	-166.31688	166.47632	69.8793	320.9659	-172.25624	327.35437	449.65305	3225.7812	-1.5551487	130.43478	827.54834	827.2578	3195.1033	4.036106	289.56332	0.113953136	120000	-0.07098151
31	-169.74724	58.076317	167.7229	69.95776	323.28833	-166.31688	167.72339	69.951836	320.9659	-172.25624	337.7572	460.9532	3225.7812	-1.5551487	133.33333	841.34796	817.5428	3195.1033	4.036106	292.6613	0.11277426	124000	-0.068857625
32	-170.90408	57.857883	168.91603	70.014366	323.28833	-166.31688	168.91655	70.008606	320.9659	-172.25624	347.625	469.1567	3225.7812	-1.5551487	136.17021	850.06604	808.2538	3195.1033	4.036106	294.54062	0.11166556	128000	-0.06666008
33	-172.01842	57.608128	170.06433	70.05596	323.28833	-166.31688	170.06493	70.05042	320.9659	-172.25624	358.08676	482.37985	3225.7812	-1.5551487	139.09378	860.2306	798.296	3195.1033	4.036106	296.61212	0.11058026	132000	-0.06499126
34	-173.09663	57.344116	171.17555	70.09491	323.28833	-166.31688	171.17606	70.08956	320.9659	-172.25624	368.05667	489.86664	3225.7812	-1.5551487	141.81439	869.4208	788.47284	3195.1033	4.036106	298.47647	0.10955401	136000	-0.0630519
35	-174.16698	57.10728	172.27713	70.14429	323.28833	-166.31688	172.27766	70.13903	320.9659	-172.25624	378.41168	504.9563	3225.7812	-1.5551487	144.77766	883.0797	786.8589	3195.1033	4.036106	301.76285	0.10861921	140000	-0.060843475
36	-175.24585	56.947933	173.38615	70.22242	323.28833	-168.07793	173.3867	70.21733	320.9659	-172.25624	387.57172	515.5415	3225.7812	-1.5551487	147.38997	905.18427	787.8492	3195.1033	4.036106	307.8889	0.10777892	144000	-0.05960801
37	-176.31447	56.658264	174.48447	70.30259	323.28833	-168.07793	174.48508	70.29743	320.9659	-172.25624	397.32974	523.9255	3225.7812	-1.5551487	150.10143	916.51917	780.29395	3195.1033	4.036106	310.28378	0.10685808	148000	-0.057532415
38	-177.36655	56.397007	175.5661	70.39266	323.28833	-168.07793	175.56665	70.38755	320.9659	-172.25624	407.28006	534.9549	3225.7812	-1.5551487	152.91751	942.8099	788.8158	3195.1033	4.036106	317.06317	0.1059479	152000	-0.05665963
39	-178.40344	56.144226	176.63094	70.50042	323.28833	-168.07793	176.63148	70.49553	320.9659	-172.25624	417.24356	546.2621	3225.7812	-1.5551487	155.68863	963.5989	789.5666	3195.1033	4.036106	322.43076	0.10506499	156000	-0.05497711
40	-179.4447	55.85165	177.69922	70.62627	323.28833	-181.54216	177.69977	70.621475	320.9659	-172.25624	427.8354	563.7654	3225.7812	-1.5551487	158.73016	1019.8695	855.22375	3336.083	4.036106	339.2025	0.10419311	160000	-0.053883653
41	-180.4934	55.573605	178.77379	70.76616	323.28833	-181.54216	178.77428	70.76142	320.9659	-172.25624	438.8592	584.88574	3322.1267	-1.5551487	161.89536	1072.089	906.9981	3336.083	4.036106	355.31952	0.103378564	164000	-0.052252714
42	-181.53354	55.315372	179.8383	70.9184	323.28833	-181.54216	179.83879	70.91369	320.9659	-172.25624	448.7946	598.29266	3322.1267	-1.5551487	164.70589	1088.0773	903.13763	3336.083	4.036106	359.09763	0.102595836	168000	-0.05086738
43	-182.56898	55.01759	180.89824	71.07185	323.28833	-181.54216	180.89879	71.067245	320.9659	-172.25624	458.98102	613.2806	3322.1267	-1.5551487	167.64133	1135.6019	944.2331	3336.083	4.036106	374.00232	0.10183725	172000	-0.050125144
44	-183.6034	54.72881	181.95578	71.241875	323.28833	-181.54216	181.95642	71.23742	320.9659	-172.25624	469.0704	627.50757	3322.1267	-1.5551487	170.54263	1154.7175	942.5384	3336.083	4.036106	378.8568	0.10106696	176000	-0.04861863
45	-184.6375	54.451275	183.01305	71.42316	323.28833	-181.54216	183.01367	71.4188	320.9659	-172.25624	478.18488	634.8687	3322.1267	-1.5551487	173.07692	1164.1531	934.30365	3336.083	4.036106	380.81778	0.10032128	180000	-0.047517724
46	-185.66664	54.149357	184.0643	71.6132	323.28833	-181.54216	184.06482	71.60906	320.9659	-172.25624	488.11575	648.4608	3322.1267	-1.5551487	175.90822	1183.2245	933.4837	3336.083	4.036106	385.7761	0.09962689	184000	-0.046603
47	-186.69006	53.85835	185.1088	71.807434	323.28833	-181.54216	185.10931	71.80346	321.2028	-172.25624	497.82828	661.34	3338.4177	-1.5551487	178.70723	1226.5095	969.09656	3336.083	4.036106	398.59573	0.09895392	188000	-0.04585854
48	-187.70084	53.54828	186.13948	72.005066	323.28833	-181.54216	186.14006	72.001236	321.2028	-172.25624	507.60428	674.5021	3338.4177	-1.5551487	181.47449	1241.9231	964.91754	3336.083	4.036106	402.35	0.09827116	192000	-0.04532586
49	-188.7371	53.31823	187.1915	72.216896	323.28833	-181.54216	187.1921	72.2131	321.2028	-172.25624	516.28754	687.5167	3338.4177	-1.5551487	184.21053	1271.7642	978.6192	3336.083	4.036106	411.82245	0.09774387	196000	-0.043711644
50	-189.7582	53.016296	188.23209	72.41545	323.28833	-181.54216	188.2327	72.41167	321.2028	-172.25624	524.61346	701.2616	3338.4177	-1.5551487	186.9159	1311.1793	1007.30725	3336.083	4.036106	423.586	0.09710783	200000	-0.043459926
