epoch	mu-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-2.6854436	0.48585737	2.1245155	2.668176	16.990812	-8.258022	-261.1318	107.163506	-140.50882	-380.5449	1000.0	-537.8568	1.1840703	-535.0929	-539.10736	1000.0	4000
2	-32.376225	4.1767178	28.817842	17.495283	158.4536	-6.2656484	-439.2128	212.2565	-206.56364	-745.66266	1000.0	-194.08086	89.12675	-29.42546	-364.31442	1000.0	8000
3	-69.07919	5.3270946	66.99687	13.901027	124.17889	28.077518	-371.78806	348.62225	170.56412	-677.76465	1000.0	-363.9978	344.62802	163.3062	-801.94934	1000.0	12000
4	-82.04063	4.067502	80.601585	15.548303	118.15773	40.415565	149.25923	448.42172	629.13806	-555.44403	1000.0	244.49866	453.71158	652.95996	-899.54205	1000.0	16000
5	-87.324295	3.7953305	86.18485	19.62441	138.29335	43.50709	275.68423	540.45337	728.8551	-633.65814	1000.0	52.2743	571.0212	1122.6023	-588.2821	1000.0	20000
6	-95.130516	4.770192	93.87109	26.233007	153.08974	37.60217	1212.2972	112.11188	1325.8804	1036.4569	1000.0	700.2465	611.40546	1538.1907	-429.5526	1000.0	24000
7	-109.38761	5.482612	107.90584	31.629833	170.4764	38.28344	580.7091	653.2459	1614.4003	-197.14929	1000.0	1224.8152	685.427	1780.1777	-220.08612	1000.0	28000
8	-125.155106	5.8800344	123.58232	36.93007	196.736	40.56083	1585.4626	563.655	2081.8228	627.41473	1000.0	1703.348	779.6215	2481.7114	267.46176	1000.0	32000
9	-143.1214	6.68859	141.51654	43.04261	226.18921	40.787556	2020.9995	172.3342	2270.7068	1788.1045	1000.0	904.3421	972.76556	2199.9873	-409.07037	1000.0	36000
10	-161.5524	7.639366	159.88342	47.573677	248.9004	42.158524	1923.113	463.483	2413.5728	1389.3707	1000.0	1797.0713	829.2986	2667.9114	374.69168	1000.0	40000
11	-178.74223	8.743097	177.06534	55.037907	267.11932	42.827717	2270.8237	70.93754	2360.3926	2185.8962	1000.0	2303.9421	864.9788	3081.575	53.395348	1000.0	44000
12	-193.97238	9.755674	192.314	63.088753	294.28314	36.371006	1650.7617	1062.6875	2715.362	392.016	1000.0	1822.8516	1241.2239	3255.0706	273.45773	1000.0	48000
13	-208.76207	10.850166	207.115	70.40682	316.49924	28.828836	2476.2869	471.22583	2812.2751	1666.0062	1000.0	1644.322	967.26117	3222.5164	195.3878	1000.0	52000
14	-223.50694	11.896615	221.8304	77.05998	335.95505	26.065659	2724.9282	563.5851	3084.9187	1749.4753	1000.0	1651.0505	813.89026	2990.2383	482.94293	1000.0	56000
15	-239.92859	13.365827	238.21738	81.96308	353.9927	26.471935	2683.139	589.8331	3183.1042	1683.5099	1000.0	3229.4	212.70525	3610.6191	2901.1748	1000.0	60000
16	-255.55739	14.32119	253.82623	85.47571	375.06003	30.425161	3186.856	536.742	3542.401	2260.6968	1000.0	3703.5332	164.83759	3918.7986	3360.1482	1000.0	64000
17	-271.7526	15.388261	269.97296	89.935684	402.7866	29.956985	3480.0393	151.84258	3633.8289	3280.2405	1000.0	2991.9915	1387.2335	4007.5642	-150.2604	1000.0	68000
18	-288.7627	17.139074	286.89078	93.83733	421.89474	33.236687	3791.2393	75.17284	3847.18	3661.8054	1000.0	3704.983	648.0402	4258.1157	1809.2206	1000.0	72000
19	-307.32916	17.82914	305.3671	95.95001	436.59952	38.114494	3792.403	122.41205	3997.6924	3676.9463	1000.0	3666.2559	1248.3749	4307.503	-35.307312	1000.0	76000
20	-324.9325	18.469284	322.97278	96.94084	452.66895	45.194958	3900.0996	140.6117	4077.805	3693.7498	1000.0	4230.218	84.164055	4394.7866	4107.0337	1000.0	80000
21	-341.2358	19.427814	339.24625	97.77473	471.03482	54.203022	3771.5383	126.60952	3871.9128	3554.2625	1000.0	3324.1978	1006.3431	4100.3955	661.6484	1000.0	84000
22	-358.26913	20.49986	356.1314	96.181435	485.23376	64.86528	4188.1777	72.582275	4313.8813	4145.115	1000.0	4159.0415	221.37767	4477.705	3797.2598	1000.0	88000
