epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.050114587	1656.9397	-4.31283	0.85871685	0.4238492	-5.651617	0.01369105	-441.84567	96.744804	-315.47244	-587.7041	1000.0	4000
2	-0.050381124	1157.1417	-6.655406	2.428789	0.4238492	-9.159895	0.014383563	-390.22247	90.753006	-285.61487	-587.7041	1000.0	8000
3	-0.050038707	1028.6632	-8.453752	3.225835	0.4238492	-12.122468	0.014597498	-382.84317	82.515305	-285.61487	-587.7041	1000.0	12000
4	-0.05021805	898.3312	-9.921395	3.7771952	0.4238492	-14.360684	0.014717271	-372.13434	81.77907	-266.21817	-587.7041	1000.0	16000
5	-0.050234925	770.0294	-11.10288	4.1229286	0.4238492	-15.861167	0.014780822	-353.54688	84.712845	-197.87357	-587.7041	1000.0	20000
6	-0.05063753	665.93665	-12.061113	4.3398986	0.4238492	-16.952908	0.014829694	-335.75922	88.183	-191.8932	-587.7041	1000.0	24000
7	-0.050575476	613.52594	-12.704889	4.4766583	15.558673	-17.470484	0.014874967	-317.79694	101.18103	-64.54641	-587.7041	1000.0	28000
8	-0.050624534	570.683	-13.413284	4.5936646	15.558673	-18.527277	0.014891588	-311.41953	96.87936	-64.54641	-587.7041	1000.0	32000
9	-0.050990958	529.5206	-14.0443735	4.6914363	15.558673	-19.280354	0.014904913	-303.83557	94.09067	-64.54641	-587.7041	1000.0	36000
10	-0.047103006	492.4459	-14.266306	4.7376213	16.732813	-19.280354	0.015005948	-291.2713	100.86638	-34.563667	-587.7041	1000.0	40000
11	-0.047420308	457.08167	-14.138799	5.0152946	16.732813	-19.338583	0.015013902	-278.47412	108.62737	-23.56292	-587.7041	1000.0	44000
12	-0.047920596	433.8835	-14.295214	5.140864	16.732813	-19.82658	0.015022614	-271.12216	108.10189	-23.56292	-587.7041	1000.0	48000
13	-0.048030034	411.34555	-14.661399	5.171394	16.732813	-20.390154	0.015038273	-267.02405	105.286285	-23.56292	-587.7041	1000.0	52000
14	-0.04789573	388.74246	-14.796433	5.2250667	16.732813	-20.518888	0.015050299	-261.79962	103.4093	-23.56292	-587.7041	1000.0	56000
15	-0.047903586	369.21887	-15.00829	5.225871	16.732813	-21.03003	0.015049467	-258.7209	102.13343	-23.56292	-587.7041	1000.0	60000
16	-0.04796701	353.5463	-14.65997	5.4585457	16.732813	-21.03003	0.015054369	-248.5702	107.12145	-23.56292	-587.7041	1000.0	64000
17	-0.048022326	340.46658	-14.579855	5.4290705	16.732813	-21.03003	0.0150657315	-242.59265	108.02432	-23.56292	-587.7041	1000.0	68000
18	-0.048023712	325.6937	-14.2762985	5.5529504	16.732813	-21.03003	0.015066807	-233.67145	111.50025	-23.56292	-587.7041	1000.0	72000
19	-0.048120644	314.89197	-14.095645	5.545388	16.732813	-21.03003	0.0150686	-228.08005	111.19134	-23.56292	-587.7041	1000.0	76000
20	-0.04807636	304.03107	-13.624968	5.8343472	16.732813	-21.03003	0.0150735695	-219.06235	115.714355	2.4267788	-587.7041	1000.0	80000
21	-0.046382565	298.10904	-13.637411	5.787858	16.732813	-21.03003	0.015081538	-216.07227	114.27383	2.4267788	-587.7041	1000.0	84000
22	-0.04635098	289.1156	-13.354856	5.859527	16.732813	-21.03003	0.015078429	-209.41925	116.175446	2.4267788	-587.7041	1000.0	88000
23	-0.04634792	282.05884	-13.255136	5.8859653	16.732813	-21.03003	0.01507569	-205.54774	115.42109	2.4267788	-587.7041	1000.0	92000
24	-0.046484545	276.4897	-13.130677	5.9541225	16.732813	-21.03003	0.015081028	-202.0071	115.53475	2.4267788	-587.7041	1000.0	96000
25	-0.04658609	269.06952	-12.902592	6.140482	16.732813	-21.03003	0.01508295	-197.13023	116.34425	2.4267788	-587.7041	1000.0	100000
26	-0.046875004	262.94418	-12.538581	6.4069915	18.564678	-21.03003	0.01508589	-190.68083	118.87408	42.500065	-587.7041	1000.0	104000
27	-0.046851184	256.10873	-12.210085	6.553597	18.564678	-21.03003	0.015090393	-185.2733	120.20065	42.500065	-587.7041	1000.0	108000
28	-0.045700166	250.15099	-12.078061	6.6291213	18.564678	-21.132786	0.015224712	-182.48242	119.795006	42.500065	-587.7041	1000.0	112000
29	-0.04570647	246.77135	-11.876161	6.783671	19.256954	-21.572098	0.015225927	-178.76024	120.13326	42.500065	-587.7041	1000.0	116000
30	-0.045767013	241.01665	-11.613488	6.9616737	19.256954	-21.626833	0.015225355	-173.9504	121.239716	42.500065	-587.7041	1000.0	120000
31	-0.045729853	234.58998	-11.403092	7.1165214	19.256954	-21.662476	0.015223769	-169.71638	122.19165	42.500065	-587.7041	1000.0	124000
32	-0.04585941	229.69217	-11.0159025	7.3715067	19.256954	-21.662476	0.015219694	-163.92505	124.644806	51.53554	-587.7041	1000.0	128000
33	-0.045905396	224.50816	-10.594918	7.6719275	19.256954	-21.662476	0.0152152665	-157.68436	127.865585	77.34482	-587.7041	1000.0	132000
34	-0.045970146	219.71344	-10.149737	8.01826	19.256954	-21.662476	0.015209824	-151.27774	131.4623	104.523155	-587.7041	1000.0	136000
35	-0.046017904	214.79488	-9.750917	8.25978	19.256954	-21.662476	0.015208795	-145.51588	133.92989	104.523155	-587.7041	1000.0	140000
36	-0.04513118	210.5917	-9.241893	8.704542	20.273111	-21.662476	0.015248386	-139.02606	137.6125	123.38232	-587.7041	1000.0	144000
37	-0.044171747	206.25778	-8.775586	9.040724	20.273111	-21.662476	0.015274852	-132.82887	140.80746	123.38232	-587.7041	1000.0	148000
38	-0.044237778	203.7055	-8.333253	9.347121	20.785576	-21.662476	0.015271052	-126.956055	143.7011	176.6154	-587.7041	1000.0	152000
39	-0.04439826	202.01514	-7.908798	9.69659	21.014208	-22.262276	0.015265517	-121.26565	146.12802	176.6154	-587.7041	1000.0	156000
40	-0.04451079	199.87265	-7.6081815	10.023884	21.750515	-22.765568	0.015258944	-116.824936	148.65161	176.6154	-587.7041	1000.0	160000
41	-0.04376599	197.22107	-7.152609	10.425599	21.750515	-22.765568	0.015258715	-110.923546	151.5372	176.6154	-587.7041	1000.0	164000
42	-0.043881968	194.56587	-6.686284	10.740609	21.750515	-22.765568	0.0152541	-105.37306	153.91454	176.6154	-587.7041	1000.0	168000
43	-0.044031803	192.24287	-6.217793	11.053492	22.08338	-22.765568	0.015250256	-99.38412	157.12726	222.93457	-587.7041	1000.0	172000
44	-0.04405946	191.31168	-5.7816014	11.320267	22.157328	-22.765568	0.015245748	-94.10611	159.2214	222.93457	-587.7041	1000.0	176000
45	-0.043339163	190.26558	-5.283899	11.691917	23.010311	-22.765568	0.01524491	-88.11192	162.60872	229.0572	-587.7041	1000.0	180000
46	-0.04269401	188.71208	-5.1312013	11.946731	23.470953	-24.291296	0.015262684	-85.414856	163.9851	229.0572	-587.7041	1000.0	184000
47	-0.042695265	186.53087	-4.8051043	12.202266	23.470953	-24.291296	0.0152607355	-81.2843	165.51488	229.0572	-587.7041	1000.0	188000
48	-0.042789776	186.2801	-4.634381	12.444157	24.21419	-25.000448	0.015260096	-78.51248	166.2683	229.0572	-587.7041	1000.0	192000
49	-0.042831138	184.3882	-4.1871066	12.7095	24.21419	-25.000448	0.015256706	-72.90101	169.18253	256.62967	-587.7041	1000.0	196000
50	-0.042977523	182.51933	-3.8004456	12.95694	24.271097	-25.000448	0.015253341	-67.916565	171.3129	256.62967	-587.7041	1000.0	200000
