epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-11.87764	1.1122988	10.576095	3.0836864	20.127962	-0.2961775	10.574983	3.0814872	20.518835	-0.98441267	-273.39264	69.60233	-178.3537	-371.93408	1000.0	-23.693289	57.95255	49.969406	-162.94586	1000.0	0.31575537	4000	-12.245817
2	-14.722562	1.4362736	13.74018	4.412298	33.851112	-0.2961775	13.739578	4.4059525	33.844063	-0.98441267	-258.13043	77.336044	-136.57076	-371.93408	1000.0	-146.26756	139.52039	49.969406	-443.0959	1000.0	0.1531059	8000	-8.11035
3	-16.089445	1.7059435	15.324668	5.79529	51.545277	-0.2961775	15.324071	5.7893953	49.1298	-0.98441267	-194.51215	165.15965	218.60161	-371.93408	1000.0	59.65528	331.9411	842.3915	-443.0959	1000.0	0.10139111	12000	-5.4467998
4	-17.434633	2.0009632	16.787632	8.555287	67.198845	-0.2961775	16.787104	8.551558	65.767586	-0.98441267	47.72702	494.70215	1359.4277	-371.93408	1000.0	494.90363	843.7665	2171.5752	-443.0959	1000.0	0.07781318	16000	-3.8848536
5	-20.203918	2.4771683	19.607025	13.831456	89.22225	-2.0973825	19.60659	13.8292	88.85606	-1.1821091	444.14746	913.3997	2351.2437	-371.93408	1000.0	895.00146	1100.0143	2541.4966	-443.0959	1000.0	0.06659218	20000	-2.9884548
6	-25.00038	3.118654	24.421434	21.232197	125.35286	-3.5394788	24.42111	21.230436	124.169975	-4.032508	751.834	1117.902	2864.7742	-371.93408	1000.0	1017.9056	1086.4176	2936.028	-443.0959	1000.0	0.061960597	24000	-2.4426634
7	-31.559021	4.02659	30.999903	30.136497	158.50935	-4.460842	30.99971	30.134995	156.99359	-4.124946	1131.6694	1392.5803	3634.5757	-371.93408	1000.0	1314.3889	1340.797	3870.9207	-443.0959	1000.0	0.061224584	28000	-2.0568745
8	-39.449276	4.921748	38.906124	39.713284	191.08319	-4.7321286	38.905987	39.711987	189.8138	-5.7261863	1433.144	1565.9125	4286.099	-371.93408	1000.0	1652.223	1562.1377	4400.6265	-443.0959	1000.0	0.06365743	32000	-1.781833
9	-48.386242	5.768369	47.86434	49.732784	225.46696	-6.2137337	47.864216	49.73164	225.29007	-6.341938	1765.7476	1750.7974	4557.676	-371.93408	1000.0	1926.6106	1720.5875	4669.83	-443.0959	1000.0	0.06751776	36000	-1.5689354
10	-58.032482	6.704094	57.543686	59.647663	247.2445	-6.2137337	57.54359	59.64678	245.04384	-6.341938	2030.5344	1842.1017	4609.765	-371.93408	1000.0	2152.0645	1808.5723	4796.9424	-443.0959	1000.0	0.072778754	40000	-1.403914
11	-67.87059	7.5889025	67.42732	68.716446	261.73596	-6.2137337	67.427246	68.7157	263.647	-7.034297	2270.9202	1913.8906	4759.2583	-371.93408	1000.0	2397.4688	1891.0226	4919.862	-443.0959	1000.0	0.07848407	44000	-1.270834
12	-77.65956	8.378244	77.26431	76.815094	277.86606	-6.2137337	77.26429	76.814445	278.09937	-7.034297	2483.3428	1963.2734	4890.048	-371.93408	1000.0	2589.9429	1927.9768	5091.779	-443.0959	1000.0	0.0842337	48000	-1.1617268
13	-87.28712	8.948387	86.93999	84.06557	297.4017	-6.2137337	86.94002	84.06501	297.87778	-7.034297	2681.156	2006.9254	5125.0967	-371.93408	1000.0	2771.6309	1956.4242	5091.779	-443.0959	1000.0	0.09007035	52000	-1.0688374
14	-96.64977	9.498314	96.351685	90.55747	310.11212	-6.2137337	96.351715	90.55697	310.80063	-7.034297	2845.2053	2022.8381	5125.0967	-371.93408	1000.0	2945.655	1986.9679	5280.986	-443.0959	1000.0	0.095601924	56000	-0.9905764
15	-105.67359	10.002278	105.42028	96.35068	326.35986	-17.809034	105.42029	96.35014	327.7029	-7.034297	3004.3833	2043.0164	5294.8066	-371.93408	1000.0	3105.1218	2010.4541	5584.161	-443.0959	1000.0	0.10060859	60000	-0.9233383
16	-114.46658	10.485524	114.25336	101.69397	347.3636	-36.412884	114.25335	101.693436	344.37408	-30.199373	3141.504	2048.487	5382.551	-371.93408	1000.0	3242.1274	2017.9688	5584.161	-443.0959	1000.0	0.105296746	64000	-0.8641858
17	-122.76733	11.118896	122.59187	106.48577	356.7692	-36.412884	122.591835	106.485306	354.95172	-30.199373	3129.7532	2071.132	5382.551	-371.93408	1000.0	3320.098	2016.0648	5596.7456	-443.0959	1000.0	0.109594144	68000	-0.81264055
18	-130.60019	11.701437	130.45744	110.85083	380.7006	-36.412884	130.45738	110.850426	380.42892	-30.199373	3258.7878	2082.5747	5818.867	-371.93408	1000.0	3432.3604	2013.9684	5596.7456	-443.0959	1000.0	0.11319646	72000	-0.7666593
19	-138.20953	12.346322	138.09888	114.91121	390.8577	-48.40818	138.09882	114.91071	388.81973	-35.840324	3376.9414	2088.1655	5818.867	-371.93408	1000.0	3505.9414	2006.7941	5596.7456	-443.0959	1000.0	0.11688765	76000	-0.7252959
20	-145.56796	12.907373	145.49037	118.634476	395.80014	-48.40818	145.49039	118.63404	397.67395	-35.840324	3489.0266	2093.1467	5818.867	-371.93408	1000.0	3585.9575	2017.8119	5784.199	-443.0959	1000.0	0.120505	80000	-0.68830115
21	-152.63542	13.427401	152.5858	122.05655	405.88998	-48.40818	152.58585	122.05614	406.29602	-41.025124	3553.3755	2089.361	5858.713	-371.93408	1000.0	3657.9946	2018.9624	5810.2036	-443.0959	1000.0	0.123751156	84000	-0.6553268
22	-159.46605	13.983966	159.44467	125.24687	412.2047	-49.901054	159.44473	125.246376	412.41116	-41.025124	3641.4646	2080.9873	5858.713	-371.93408	1000.0	3747.045	2018.5677	5958.952	-443.0959	1000.0	0.12690492	88000	-0.62489957
23	-166.04445	14.464411	166.05028	128.17079	420.3378	-49.901054	166.05032	128.17033	421.61044	-41.025124	3733.5347	2080.717	5890.6025	-371.93408	1000.0	3839.043	2021.095	6231.231	-443.0959	1000.0	0.1298258	92000	-0.59706694
24	-172.40999	14.954387	172.44197	130.88705	426.96854	-56.84698	172.44206	130.88652	425.68924	-114.209625	3821.5051	2080.2751	6042.3296	-371.93408	1000.0	3929.767	2026.0038	6231.231	-443.0959	1000.0	0.13266058	96000	-0.5720299
25	-178.58391	15.368295	178.64084	133.4266	438.7353	-60.606525	178.64091	133.42616	438.51337	-114.209625	3913.2725	2087.4224	6257.335	-371.93408	1000.0	4011.3354	2024.9381	6231.231	-443.0959	1000.0	0.13522522	100000	-0.54865503
26	-184.59734	15.7357025	184.6774	135.81752	447.03644	-60.606525	184.67747	135.81711	446.94717	-114.209625	3994.4292	2086.9062	6257.335	-371.93408	1000.0	4097.2915	2031.8342	6467.9507	-443.0959	1000.0	0.13771145	104000	-0.52730256
27	-190.46042	16.068562	190.56226	138.09027	454.29694	-60.606525	190.56238	138.08974	452.69672	-114.209625	4078.3745	2092.1982	6376.588	-371.93408	1000.0	4180.8354	2039.0135	6504.3896	-443.0959	1000.0	0.1399653	108000	-0.50768286
28	-196.19427	16.373165	196.31558	140.25844	461.95993	-64.23733	196.31567	140.25792	463.98834	-114.209625	4159.9507	2097.7937	6404.7573	-371.93408	1000.0	4255.635	2039.8208	6504.3896	-443.0959	1000.0	0.14207989	112000	-0.4892202
29	-201.80913	16.698248	201.94951	142.36058	471.9654	-64.23733	201.94962	142.36003	472.87503	-114.209625	4237.277	2101.7454	6640.5146	-371.93408	1000.0	4329.6	2042.2684	6531.3403	-443.0959	1000.0	0.14412838	116000	-0.47227153
30	-207.32362	16.977503	207.48053	144.40247	488.0967	-64.23733	207.48076	144.40184	485.53024	-114.209625	4318.0864	2111.8416	6821.0015	-371.93408	1000.0	4408.8423	2052.8574	6828.627	-443.0959	1000.0	0.14605792	120000	-0.4564124
31	-212.73862	17.295355	212.91138	146.39394	492.7963	-64.23733	212.91159	146.39339	494.54932	-114.209625	4386.8154	2111.351	6821.0015	-371.93408	1000.0	4486.662	2064.0723	6994.277	-443.0959	1000.0	0.14799762	124000	-0.44129604
32	-218.05699	17.575169	218.24481	148.33025	505.54904	-64.23733	218.2451	148.32976	506.1737	-114.209625	4455.537	2113.6855	6846.6655	-371.93408	1000.0	4559.2124	2071.4058	6994.277	-443.0959	1000.0	0.14988254	128000	-0.4272839
33	-223.28993	17.87576	223.49199	150.22902	510.15863	-64.23733	223.49231	150.22845	510.7135	-114.209625	4524.042	2117.5203	6944.7344	-371.93408	1000.0	4627.89	2076.5237	6994.277	-443.0959	1000.0	0.15162618	132000	-0.41422263
34	-228.42522	18.171963	228.64143	152.07883	521.1301	-64.23733	228.64175	152.07828	522.7588	-114.209625	4592.4224	2122.918	7004.431	-371.93408	1000.0	4696.453	2083.4177	7107.384	-443.0959	1000.0	0.15331243	136000	-0.40203467
35	-233.48553	18.492558	233.71544	153.89784	529.87006	-64.23733	233.71574	153.89719	530.94073	-114.209625	4655.1094	2124.1216	7004.431	-371.93408	1000.0	4756.254	2082.857	7107.384	-443.0959	1000.0	0.1550308	140000	-0.3900492
36	-238.45091	18.80048	238.69374	155.6546	534.081	-64.23733	238.69403	155.65411	535.3175	-114.209625	4716.29	2125.5442	7004.431	-371.93408	1000.0	4816.925	2084.9998	7177.345	-443.0959	1000.0	0.15669729	144000	-0.379452
37	-243.34238	19.105083	243.59755	157.35774	553.08154	-64.23733	243.59785	157.35718	549.6288	-114.209625	4779.1943	2130.4014	7186.9473	-371.93408	1000.0	4881.686	2093.1333	7430.682	-443.0959	1000.0	0.1583401	148000	-0.36886737
38	-248.15565	19.406149	248.42218	159.0225	556.3531	-64.23733	248.42253	159.02184	555.61456	-114.209625	4836.697	2131.1294	7186.9473	-371.93408	1000.0	4941.195	2097.0376	7430.682	-443.0959	1000.0	0.1598815	152000	-0.35925457
39	-252.88947	19.70231	253.16666	160.64505	563.55566	-64.23733	253.1671	160.6445	558.95294	-114.209625	4890.706	2129.9695	7186.9473	-371.93408	1000.0	5000.121	2101.7078	7444.221	-443.0959	1000.0	0.16138448	156000	-0.34993866
40	-257.52826	19.993708	257.81693	162.20644	570.95306	-64.23733	257.81732	162.20586	569.3881	-114.209625	4941.245	2126.7373	7186.9473	-371.93408	1000.0	5049.1055	2097.748	7444.221	-443.0959	1000.0	0.16287467	160000	-0.34105945
41	-262.0718	20.28473	262.37137	163.70555	572.97406	-64.23733	262.37173	163.70502	571.8317	-114.209625	4996.034	2129.119	7318.8438	-371.93408	1000.0	5101.265	2098.184	7444.221	-443.0959	1000.0	0.16434956	164000	-0.33252722
42	-266.54837	20.599108	266.85797	165.16074	577.8047	-64.23733	266.85834	165.16019	573.1612	-114.209625	5052.046	2134.01	7478.1685	-371.93408	1000.0	5158.0713	2104.8066	7650.37	-443.0959	1000.0	0.16577822	168000	-0.3246158
43	-270.95312	20.908195	271.27258	166.58177	586.21545	-64.23733	271.27295	166.58124	584.9111	-114.209625	5102.9536	2134.8726	7478.1685	-371.93408	1000.0	5211.0264	2108.3948	7650.37	-443.0959	1000.0	0.1671224	172000	-0.31694
44	-275.28705	21.17814	275.61505	167.97495	590.18256	-64.23733	275.61548	167.97437	588.05994	-114.209625	5155.3896	2138.3303	7496.4097	-371.93408	1000.0	5263.185	2112.2258	7650.37	-443.0959	1000.0	0.16839088	176000	-0.30980042
45	-279.55515	21.469355	279.89224	169.32872	597.8017	-64.23733	279.8927	169.32835	597.3058	-114.209625	5202.067	2137.3323	7587.1235	-371.93408	1000.0	5314.3545	2116.127	7834.241	-443.0959	1000.0	0.16970736	180000	-0.3027622
46	-283.74503	21.737745	284.0912	170.63467	602.41046	-64.23733	284.09183	170.6342	601.609	-114.209625	5252.2524	2140.7412	7675.0923	-371.93408	1000.0	5357.3813	2112.87	7834.241	-443.0959	1000.0	0.17092644	184000	-0.29603904
