epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-11.168438	1.1817274	9.862348	2.932183	23.736618	-0.66135895	9.860984	2.9300754	23.681831	-0.7831442	-371.4711	116.282776	-269.82507	-565.8582	1000.0	-435.80914	103.77114	-165.57465	-519.8838	1000.0	0.31572095	4000	-12.050359
2	-14.732019	1.8646804	13.613966	5.4741397	44.500347	-0.66135895	13.613187	5.470055	42.996635	-0.7831442	-342.133	108.7183	-157.59708	-565.8582	1000.0	-373.70816	98.06954	-165.57465	-519.8838	1000.0	0.15634602	8000	-7.1693916
3	-16.7421	2.163604	15.826916	8.43933	55.114864	-0.66135895	15.826261	8.435422	56.342476	-0.7831442	-283.7863	146.04912	72.7784	-565.8582	1000.0	-152.52664	327.0336	415.2736	-519.8838	1000.0	0.10616753	12000	-4.7991023
4	-18.04846	2.3316538	17.289644	11.148206	63.539345	-4.225897	17.289139	11.145355	60.417194	-3.5624428	-50.70376	446.76358	1072.327	-565.8582	1000.0	140.3892	585.57477	1222.7722	-519.8838	1000.0	0.0808779	16000	-3.4994047
5	-20.375214	2.652719	19.690332	14.420858	83.260284	-6.236842	19.69009	14.418719	83.190125	-6.870653	263.2937	753.4518	1938.5883	-565.8582	1000.0	465.95413	893.41644	2167.4927	-519.8838	1000.0	0.06778114	20000	-2.6981566
6	-24.402384	3.2098198	23.756262	19.795525	123.39028	-7.1321087	23.756216	19.793613	123.37365	-6.9095936	632.1968	1080.669	2785.5437	-565.8582	1000.0	823.69226	1187.5104	3147.0708	-519.8838	1000.0	0.06098726	24000	-2.2044773
7	-29.836418	4.0587583	29.208101	27.157993	161.26999	-9.542468	29.208082	27.156006	160.65079	-9.635695	755.0106	1079.6941	2785.5437	-565.8582	1000.0	1037.3456	1282.0785	3388.4087	-519.8838	1000.0	0.057666883	28000	-1.8634119
8	-36.05077	5.1031833	35.43326	35.66794	187.93066	-16.989239	35.433243	35.665897	188.38095	-17.031336	1024.4465	1255.1506	3296.741	-565.8582	1000.0	1301.3005	1438.1094	3755.7292	-519.8838	1000.0	0.05600339	32000	-1.6127673
9	-43.30754	6.147327	42.70373	44.833977	212.57614	-21.99114	42.703712	44.83176	212.44852	-21.653399	1206.4358	1373.5902	3509.344	-565.8582	1000.0	1510.3928	1479.5577	3755.7292	-519.8838	1000.0	0.05575058	36000	-1.4227421
10	-51.118233	7.116611	50.533257	53.86008	243.00189	-25.063387	50.53329	53.857758	241.91493	-25.487694	1461.0471	1511.434	4037.8906	-565.8582	1000.0	1656.5375	1509.009	3755.7292	-519.8838	1000.0	0.056196403	40000	-1.2710059
11	-59.507328	7.959133	58.94505	62.707	270.3762	-30.274492	58.945152	62.704727	269.7549	-30.476965	1684.1353	1606.9346	4287.5933	-565.8582	1000.0	1840.9296	1575.6853	4240.4727	-519.8838	1000.0	0.05724797	44000	-1.1505389
12	-68.1765	8.760222	67.64043	71.09931	297.5647	-30.362299	67.64054	71.09712	295.80206	-31.281212	1892.4288	1686.8461	4298.8213	-565.8582	1000.0	2052.685	1664.4772	4591.3496	-519.8838	1000.0	0.058530398	48000	-1.0502337
