epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.060991485	1174.1003	-3.780029	0.8854776	0.6019276	-5.3894415	0.003974135	-373.86636	73.45814	-258.58896	-458.21115	1000.0	4000
2	-0.061754316	834.1038	-6.3732576	2.6728563	0.6019276	-9.112929	0.004062146	-332.483	77.91644	-231.37761	-458.21115	1000.0	8000
3	-0.06194852	772.939	-8.384902	3.5857916	0.6019276	-12.458845	0.0041618748	-340.3403	83.25467	-223.31888	-458.21115	1000.0	12000
4	-0.06323798	690.8612	-9.965082	4.1395183	0.6019276	-14.742032	0.004269701	-331.7548	91.08168	-135.77126	-458.21115	1000.0	16000
5	-0.0630937	599.1126	-11.141927	4.395639	0.6019276	-15.945082	0.004247331	-311.59784	97.905754	-100.51346	-458.21115	1000.0	20000
6	-0.06269085	531.5926	-12.116399	4.576691	5.8704176	-17.11238	0.0041914233	-299.84195	96.2375	-100.51346	-458.21115	1000.0	24000
7	-0.06272544	485.44205	-13.021314	4.782306	5.8704176	-18.480919	0.0041625286	-295.84726	89.68975	-100.51346	-458.21115	1000.0	28000
8	-0.0632883	443.63388	-13.711415	4.88239	12.592786	-18.974272	0.004221016	-286.07825	90.06773	-100.51346	-458.21115	1000.0	32000
9	-0.06358513	409.8063	-13.962652	4.783706	12.592786	-18.974272	0.0042295787	-274.2561	92.193436	-100.51346	-458.21115	1000.0	36000
10	-0.06355746	382.07428	-14.19401	4.7538533	12.592786	-19.01362	0.0042154365	-266.07742	91.96917	-100.51346	-458.21115	1000.0	40000
11	-0.064294554	359.34015	-14.550531	4.781728	12.592786	-19.722515	0.0042719175	-261.17545	89.455574	-100.51346	-458.21115	1000.0	44000
12	-0.06426496	340.93652	-14.643206	4.77493	12.592786	-19.91327	0.0042738146	-254.29303	89.66321	-100.51346	-458.21115	1000.0	48000
13	-0.064789884	322.47552	-14.630238	4.879901	12.592786	-20.272068	0.0042789252	-248.08984	89.66537	-100.51346	-458.21115	1000.0	52000
14	-0.064909324	306.2251	-14.924406	5.041435	12.592786	-21.46336	0.004277836	-246.74348	87.15232	-100.51346	-458.21115	1000.0	56000
15	-0.064987846	291.05957	-14.812085	5.214578	12.592786	-21.632809	0.0042613866	-239.34396	89.37617	-85.54536	-458.21115	1000.0	60000
16	-0.06514489	280.28772	-15.028164	5.265635	12.592786	-21.875565	0.0042728297	-237.1729	87.65726	-85.54536	-458.21115	1000.0	64000
17	-0.06499557	272.81366	-14.905287	5.3106112	13.977778	-21.875565	0.004264771	-231.80498	89.455154	-85.54536	-458.21115	1000.0	68000
18	-0.06532689	262.39584	-14.833462	5.314485	13.977778	-21.875565	0.004292117	-227.607	89.20487	-85.54536	-458.21115	1000.0	72000
19	-0.065678716	253.01567	-14.7151575	5.4384418	13.977778	-22.162819	0.0043019885	-223.24892	91.55881	-40.094006	-458.21115	1000.0	76000
20	-0.0660071	243.77063	-14.381168	5.675135	13.977778	-22.245628	0.004317534	-216.3929	95.084526	-5.0807695	-458.21115	1000.0	80000
21	-0.066777214	235.24303	-14.025772	5.8866625	13.977778	-22.245628	0.004331377	-209.26175	98.79243	-5.0807695	-458.21115	1000.0	84000
22	-0.06720531	226.50595	-13.85757	5.962076	13.977778	-22.31758	0.004321225	-204.6005	99.21921	-5.0807695	-458.21115	1000.0	88000
23	-0.067234255	220.79395	-13.62817	6.018107	13.977778	-22.37308	0.004321756	-199.41342	100.27381	-5.0807695	-458.21115	1000.0	92000
24	-0.06742725	214.30074	-13.266865	6.175468	13.977778	-22.37308	0.004348533	-193.68047	102.25088	-5.0807695	-458.21115	1000.0	96000
25	-0.06766813	207.75389	-12.87501	6.372348	13.977778	-22.37308	0.004340026	-187.31154	104.994156	-5.0807695	-458.21115	1000.0	100000
26	-0.06789376	201.4955	-12.566512	6.4539437	13.977778	-22.37308	0.004360884	-182.07066	106.418175	-4.89969	-458.21115	1000.0	104000
27	-0.06829763	196.36972	-12.145518	6.7060246	13.977778	-22.37308	0.0043734335	-175.84528	109.20616	14.405695	-458.21115	1000.0	108000
28	-0.06854029	194.4462	-12.223655	6.7903156	13.977778	-23.667454	0.004378386	-175.37001	108.74528	14.405695	-458.21115	1000.0	112000
29	-0.06851018	191.4672	-11.758539	7.143606	17.500893	-23.667454	0.0043677925	-169.00742	112.09237	26.210287	-458.21115	1000.0	116000
30	-0.06872371	188.25273	-11.627135	7.282337	17.500893	-23.87095	0.0043743453	-166.20326	112.197044	26.210287	-458.21115	1000.0	120000
31	-0.068974055	184.69063	-11.507583	7.398493	17.500893	-24.546995	0.0043982593	-163.39287	113.07909	26.210287	-458.21115	1000.0	124000
32	-0.06917906	180.58502	-10.976857	7.8702927	17.500893	-24.546995	0.0044049053	-156.43497	118.00927	112.69348	-458.21115	1000.0	128000
33	-0.06948302	181.82265	-10.826913	7.9667726	20.62827	-24.868246	0.0044236514	-153.73622	117.56999	112.69348	-458.21115	1000.0	132000
34	-0.06971822	178.91234	-10.515688	8.155474	20.62827	-24.868246	0.004430793	-149.31914	118.79494	112.69348	-458.21115	1000.0	136000
35	-0.069844775	176.47913	-9.977424	8.686703	20.62827	-24.868246	0.0044277464	-142.1649	124.369514	130.65967	-458.21115	1000.0	140000
36	-0.06999887	174.67795	-9.556141	8.944822	20.62827	-24.868246	0.0044383076	-136.62933	127.14018	130.65967	-458.21115	1000.0	144000
