epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
46	-191.16743	125.00422	-12.489521	-319.11163	1000.0	5.8584223	314.46234	-16.410389	3.961473	7.654829	-24.05166	184000
47	-178.50597	52.466843	-103.959854	-234.91794	1000.0	0.13460398	220.28418	-15.014235	2.6671724	-7.404771	-21.54027	188000
48	-271.18262	112.35672	-127.76433	-440.9556	1000.0	-14.13728	263.46997	-23.421577	1.0530256	-16.432505	-25.870476	192000
49	-202.11633	14.726424	-184.61656	-225.408	1000.0	6.61857	249.7387	-19.9068	1.1274335	-10.689518	-22.551928	196000
50	-151.61874	48.98786	-72.91191	-207.10907	1000.0	8.277387	164.84448	-14.750882	1.5603026	-8.949373	-20.486626	200000
51	-232.84526	26.84769	-211.4178	-278.7829	1000.0	-8.621287	174.21793	-20.78406	0.7958354	-18.26691	-23.637018	204000
52	-231.01903	51.290157	-146.50336	-284.7982	1000.0	-1.0209208	221.97412	-21.536356	0.6184979	-19.363852	-24.192644	208000
53	-197.07483	54.51474	-129.7	-278.94406	1000.0	4.342128	229.36392	-19.410847	0.94729805	-11.532987	-21.10382	212000
54	-225.81523	57.309372	-159.05518	-314.35513	1000.0	-1.8171086	309.44366	-20.05781	0.734452	-16.787165	-22.398556	216000
55	-244.09546	13.332517	-226.44041	-263.43784	1000.0	-3.6032481	133.55486	-22.312012	0.6382406	-20.112885	-25.079618	220000
56	-253.25882	54.76616	-194.42769	-342.0802	1000.0	-1.6323991	140.88278	-23.36218	0.73784584	-21.338577	-26.01529	224000
57	-201.94221	48.493145	-139.13838	-269.48367	1000.0	6.871734	181.35274	-19.508337	1.3174961	-11.4378805	-21.62273	228000
58	-194.46329	45.313324	-126.991776	-245.84023	1000.0	3.1237721	137.31335	-17.4885	2.2025673	-7.9609313	-20.758432	232000
59	-167.8695	93.57529	-14.239639	-264.15298	1000.0	1.6368847	194.1814	-16.089748	3.8924491	3.0938752	-22.689758	236000
60	-203.06989	85.46206	-109.35434	-341.92618	1000.0	-5.7756467	230.58647	-19.44995	1.064021	-10.948733	-23.21874	240000
61	-183.03851	68.01708	-76.252426	-252.77232	1000.0	4.526431	207.53134	-16.629307	2.6588008	-4.5065804	-21.294157	244000
62	-161.66821	58.383293	-88.41366	-235.72133	1000.0	1.2281678	173.70853	-14.855178	3.2676551	-6.4350553	-21.575401	248000
63	-196.61893	69.82925	-94.347374	-282.5688	1000.0	-0.9962008	146.40915	-18.258121	3.2320745	-5.642857	-21.656374	252000
64	-191.6904	97.88047	-41.520916	-294.717	1000.0	-1.6540327	231.57787	-16.911364	3.5639904	-3.7375097	-21.439592	256000
65	-156.58286	42.959568	-92.13256	-197.20262	1000.0	0.08451986	314.83112	-14.160267	1.5128487	-9.103169	-19.533083	260000
66	-219.0037	24.344213	-200.27873	-260.86087	1000.0	-3.9673617	109.35833	-20.05969	0.6036178	-16.637594	-22.67636	264000
67	-233.5829	48.272804	-162.4902	-297.27362	1000.0	-2.7869217	119.7546	-22.332113	1.1085823	-15.614245	-25.193003	268000
68	-177.82932	40.79268	-137.63724	-234.70332	1000.0	7.477807	122.76172	-17.665535	1.4751999	-12.761387	-20.699776	272000
69	-158.55756	45.462048	-114.165016	-232.48622	1000.0	4.087762	194.26297	-13.686397	2.876814	-7.2999597	-20.776161	276000
70	-218.67284	13.055826	-201.5014	-238.08444	1000.0	-8.960878	105.5731	-20.255566	1.0104777	-15.842912	-22.683924	280000
71	-156.59088	57.387108	-70.7573	-222.87105	1000.0	8.750559	196.09254	-14.423491	3.365831	-5.510224	-19.468136	284000
72	-219.03781	38.653908	-161.39334	-270.32266	1000.0	-8.549276	130.83	-19.377886	0.9678008	-15.727266	-21.856304	288000
73	-149.31627	36.37301	-86.78098	-174.51457	1000.0	8.903212	129.69946	-13.872569	1.1688739	-9.796243	-17.50098	292000
74	-208.47884	57.47206	-147.7527	-267.55942	1000.0	-7.6920543	192.0886	-18.353867	1.1525685	-14.572892	-21.239637	296000
75	-197.60336	19.097712	-166.99663	-218.03513	1000.0	-0.9117472	163.72287	-18.825405	0.8611524	-15.882352	-21.734585	300000
76	-152.7201	42.10298	-109.64663	-218.98566	1000.0	8.079524	247.45041	-14.6362705	0.9178013	-10.638907	-17.326622	304000
77	-49.313957	80.508446	36.676548	-169.24915	1000.0	13.546898	255.93286	-5.392959	1.7117001	0.85464525	-11.224996	308000
78	-115.14248	50.438076	-76.422905	-201.88213	1000.0	-6.8089066	201.67905	-9.789528	2.496476	-2.8210554	-16.049414	312000
79	-152.0292	127.69547	-37.12747	-368.4729	1000.0	-6.6347876	338.5912	-13.518117	2.4558477	0.16941446	-18.802425	316000
80	-83.335144	68.96085	-12.506452	-169.9714	1000.0	7.6846895	244.26611	-7.9129386	1.9579638	-1.1865828	-13.992151	320000
81	-207.52664	46.504448	-143.23425	-256.28693	1000.0	-13.369174	172.01259	-17.51206	1.2975255	-9.535433	-21.787485	324000
82	-120.43698	64.470055	-44.242546	-219.61882	1000.0	8.157006	274.6847	-12.139595	1.9985362	-3.3917212	-17.28487	328000
83	-217.05658	30.278765	-188.49423	-264.64163	1000.0	-10.035742	215.52193	-18.663206	1.4042424	-11.778723	-22.28638	332000
84	-155.96078	108.52449	12.470423	-284.94055	1000.0	5.510699	208.7207	-15.066065	3.732461	-0.647311	-21.528679	336000
85	-144.56003	113.97318	-39.759544	-313.83743	1000.0	1.7025261	189.008	-12.83266	4.467761	-2.1643798	-20.498028	340000
86	-217.86179	41.579258	-154.4659	-268.33444	1000.0	-10.560241	315.8692	-20.221367	1.5241495	-9.81492	-23.639767	344000
87	-98.76575	53.719852	-11.8289	-150.7331	1000.0	15.09704	255.71799	-9.158496	1.9747596	-2.0888176	-17.474636	348000
88	-190.11876	69.264465	-85.54211	-276.44586	1000.0	-8.535678	144.7128	-17.120619	3.2652428	-6.3460793	-21.07665	352000
89	-189.30342	77.203804	-84.74871	-274.07172	1000.0	-0.8614048	196.21753	-17.23095	4.376108	-5.1971955	-22.656948	356000
