epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-11.661195	1.339655	10.338205	3.1998153	23.635395	-1.5328476	10.337053	3.2006521	23.77553	-1.1143641	-241.7917	95.748665	-130.86237	-394.9603	1000.0	-296.48184	51.263577	-168.97702	-347.31378	1000.0	0.3160987	4000	-12.040636
2	-15.113555	1.6198025	14.107898	5.5082917	42.825596	-1.5328476	14.107447	5.5111628	42.390163	-1.1143641	-229.97134	70.39824	-130.86237	-394.9603	1000.0	-251.89629	58.98293	-168.97702	-347.31378	1000.0	0.15444584	8000	-7.941721
3	-16.163939	1.779767	15.437115	7.3700886	49.025246	-1.5328476	15.436773	7.372163	49.017952	-1.1143641	-157.89867	165.2287	231.547	-394.9603	1000.0	-80.642876	252.1948	399.0316	-347.31378	1000.0	0.101447046	12000	-5.413371
4	-16.70956	1.83714	16.124847	8.990964	61.009018	-1.5328476	16.124567	8.992803	58.594105	-1.1143641	-4.3173103	346.90918	931.65125	-394.9603	1000.0	3.7905183	278.4367	752.2665	-347.31378	1000.0	0.07653673	16000	-3.900958
5	-17.375546	2.0295131	16.847036	11.482663	84.37316	-2.6338644	16.846863	11.484033	84.029625	-2.434754	139.98055	454.43198	1214.5032	-394.9603	1000.0	302.0252	672.93805	1959.0515	-347.31378	1000.0	0.06361719	20000	-2.9813607
6	-19.053247	2.428591	18.552265	14.957291	102.7234	-2.7341661	18.552143	14.9584255	105.14206	-3.002016	313.51422	610.619	2114.2546	-394.9603	1000.0	511.17938	809.3429	2697.444	-347.31378	1000.0	0.05741155	24000	-2.4237168
7	-21.724316	2.9560652	21.244696	19.215956	135.15524	-2.7341661	21.244688	19.217104	136.8845	-3.002016	554.0218	854.5723	2758.584	-394.9603	1000.0	587.444	798.02313	2697.444	-347.31378	1000.0	0.05437313	28000	-2.0532851
8	-25.24885	3.6576638	24.78714	24.514456	157.50575	-2.7341661	24.787218	24.515802	155.90887	-3.002016	612.14636	815.0104	2758.584	-394.9603	1000.0	814.9361	994.3101	3068.6318	-347.31378	1000.0	0.05289565	32000	-1.7860448
9	-29.08396	4.3861747	28.640356	29.888985	173.46394	-2.7341661	28.640463	29.8903	172.62003	-3.002016	761.8234	903.84485	2846.2976	-394.9603	1000.0	1021.53345	1104.9836	3068.6318	-347.31378	1000.0	0.052104548	36000	-1.576271
10	-33.659893	4.9847383	33.23788	36.074135	191.1934	-2.7341661	33.238	36.075447	189.95815	-3.002016	1006.1771	1128.6969	3336.4185	-394.9603	1000.0	1251.2183	1254.6089	3434.1694	-347.31378	1000.0	0.052097004	40000	-1.40869
11	-38.968163	5.444387	38.570263	42.898712	210.23917	-2.7341661	38.570377	42.899944	208.0211	-3.002016	1228.0089	1284.8694	3544.4507	-394.9603	1000.0	1412.956	1322.6428	3536.4666	-347.31378	1000.0	0.052843723	44000	-1.2732339
12	-44.757965	5.864506	44.386883	49.84619	223.30127	-2.7341661	44.386993	49.847378	224.79631	-3.002016	1423.2198	1390.3615	3652.4453	-394.9603	1000.0	1583.0433	1389.5781	3673.2246	-347.31378	1000.0	0.054185085	48000	-1.1618487
13	-50.84219	6.260158	50.498898	56.6445	239.35313	-2.7341661	50.499027	56.645607	239.92632	-3.002016	1586.154	1450.7483	3715.2292	-394.9603	1000.0	1747.74	1452.0886	3837.271	-347.31378	1000.0	0.055884585	52000	-1.0682275
14	-56.72752	6.743868	56.41163	62.765957	256.9483	-2.7341661	56.41176	62.76701	258.31198	-3.002016	1658.3494	1456.6678	3930.3445	-394.9603	1000.0	1904.9598	1509.8191	4039.9924	-347.31378	1000.0	0.057673074	56000	-0.9892073
15	-62.464455	7.2811275	62.174305	68.39151	270.14578	-2.7341661	62.17444	68.39247	271.8885	-3.002016	1774.9215	1489.4631	4088.5605	-394.9603	1000.0	2045.8873	1551.2117	4140.291	-347.31378	1000.0	0.05952652	60000	-0.92124915
16	-68.19233	7.7143106	67.92764	73.71696	279.40012	-2.7341661	67.92779	73.71785	278.09537	-3.002016	1902.8792	1528.0657	4292.339	-394.9603	1000.0	2180.7495	1590.4215	4404.511	-347.31378	1000.0	0.061465003	64000	-0.86125076
17	-73.925095	8.120761	73.6866	78.77262	290.644	-2.7341661	73.686745	78.77344	289.1866	-3.002016	2044.4958	1587.2501	4432.989	-394.9603	1000.0	2311.257	1629.033	4602.291	-347.31378	1000.0	0.063448206	68000	-0.809232
18	-79.62717	8.504533	79.41414	83.556465	301.9968	-2.7341661	79.41428	83.55723	304.1435	-3.002016	2175.0452	1634.0947	4575.322	-394.9603	1000.0	2433.189	1661.1182	4651.3677	-347.31378	1000.0	0.065504685	72000	-0.7620047
19	-85.30938	8.853392	85.11951	88.12134	316.77292	-2.7341661	85.11962	88.122025	315.46182	-3.002016	2296.9902	1672.7854	4660.276	-394.9603	1000.0	2549.417	1690.4288	4755.0337	-347.31378	1000.0	0.06761721	76000	-0.72063756
20	-90.95617	9.210879	90.78904	92.50265	328.57712	-2.7341661	90.78914	92.50339	329.11386	-3.002016	2423.423	1721.1593	4893.472	-394.9603	1000.0	2664.3696	1722.2252	4986.199	-347.31378	1000.0	0.06988609	80000	-0.68402874
21	-96.58964	9.556553	96.44299	96.77761	339.6058	-2.7341661	96.4431	96.77829	339.0814	-3.002016	2540.2183	1759.0211	4893.472	-394.9603	1000.0	2761.931	1736.8081	4986.199	-347.31378	1000.0	0.07218859	84000	-0.6499741
22	-102.208015	9.904026	102.081	100.96271	352.35077	-2.7341661	102.08106	100.96343	352.80823	-3.002016	2649.614	1790.488	5203.5186	-394.9603	1000.0	2849.4507	1743.6654	4986.199	-347.31378	1000.0	0.074526966	88000	-0.61902213
23	-107.76906	10.292504	107.66175	105.0052	365.81155	-2.7341661	107.66179	105.00589	362.53745	-3.002016	2760.5503	1826.929	5303.5186	-394.9603	1000.0	2944.6125	1762.8289	5123.421	-347.31378	1000.0	0.07691753	92000	-0.5913123
24	-113.29249	10.678817	113.20364	108.90335	379.22186	-2.7341661	113.20368	108.90405	378.73804	-3.002016	2863.5027	1855.7705	5433.332	-394.9603	1000.0	3044.7827	1791.3978	5427.289	-347.31378	1000.0	0.0793578	96000	-0.5664274
25	-118.77081	11.037584	118.700134	112.668976	386.54446	-2.7341661	118.70022	112.66962	386.28055	-3.002016	2963.772	1883.6263	5567.099	-394.9603	1000.0	3145.9563	1823.9517	5716.826	-347.31378	1000.0	0.0817486	100000	-0.5431607
26	-124.21444	11.36456	124.16082	116.32613	394.6579	-2.7341661	124.16094	116.3269	395.28433	-3.002016	3066.1785	1916.7565	5703.352	-394.9603	1000.0	3238.6567	1847.7733	5726.6025	-347.31378	1000.0	0.08410306	104000	-0.52181685
27	-129.59612	11.674508	129.55804	119.869	405.67386	-2.7341661	129.55815	119.86972	405.66455	-3.002016	3158.406	1938.865	5703.352	-394.9603	1000.0	3325.5278	1866.6003	5744.7686	-347.31378	1000.0	0.08634938	108000	-0.50200677
28	-134.93521	11.984088	134.91182	123.32097	412.96622	-10.274332	134.91197	123.32161	413.1327	-3.6011992	3249.3254	1961.806	5838.457	-394.9603	1000.0	3414.8562	1890.9126	5948.6514	-347.31378	1000.0	0.08852583	112000	-0.48382923
29	-140.22038	12.272243	140.21129	126.6642	428.3026	-10.274332	140.21136	126.66482	427.20822	-3.6011992	3338.4973	1984.667	5970.1494	-394.9603	1000.0	3502.4314	1915.0593	6136.8223	-347.31378	1000.0	0.0906594	116000	-0.46703386
30	-145.44624	12.576375	145.45024	129.91295	432.61194	-10.274332	145.45033	129.9136	433.24805	-3.6011992	3421.5813	2001.9796	5970.1494	-394.9603	1000.0	3588.0613	1938.5428	6136.8223	-347.31378	1000.0	0.092634335	120000	-0.4508877
31	-150.62401	12.882505	150.6405	133.07298	440.64557	-10.274332	150.64055	133.07361	441.93533	-3.6011992	3501.7178	2017.8086	6004.0513	-394.9603	1000.0	3659.8533	1947.1731	6136.8223	-347.31378	1000.0	0.09459559	124000	-0.43621913
32	-155.76143	13.163436	155.78995	136.14233	448.9173	-10.274332	155.79001	136.1429	449.0237	-3.6011992	3581.7708	2035.4861	6180.292	-394.9603	1000.0	3739.1328	1966.7474	6390.312	-347.31378	1000.0	0.09651291	128000	-0.42229712
33	-160.82854	13.4241705	160.86732	139.10939	457.64862	-10.274332	160.86739	139.11002	457.88434	-3.6011992	3660.7476	2053.6497	6279.8823	-394.9603	1000.0	3812.2644	1980.4468	6390.312	-347.31378	1000.0	0.098296486	132000	-0.40961394
34	-165.85695	13.673922	165.90562	142.01527	467.78397	-10.274332	165.90573	142.01587	465.3605	-3.6011992	3734.3452	2066.9949	6326.878	-394.9603	1000.0	3881.7854	1991.5907	6390.312	-347.31378	1000.0	0.09995484	136000	-0.39719144
35	-170.81767	13.909157	170.87567	144.84125	474.26553	-23.592676	170.87582	144.84186	474.174	-8.07037	3808.27	2082.3804	6379.226	-394.9603	1000.0	3954.54	2008.2856	6494.2046	-347.31378	1000.0	0.10155912	140000	-0.38604307
36	-175.74059	14.15058	175.80652	147.60342	481.58054	-23.592676	175.80661	147.60397	480.8747	-8.07037	3875.7327	2091.7424	6379.226	-394.9603	1000.0	4020.9868	2018.8722	6494.2046	-347.31378	1000.0	0.1030523	144000	-0.37497047
37	-180.63153	14.397764	180.7063	150.31963	490.9872	-23.592676	180.70642	150.32028	489.97	-8.07037	3944.1765	2103.7966	6479.493	-394.9603	1000.0	4091.4385	2035.8124	6710.0757	-347.31378	1000.0	0.10459178	148000	-0.36468565
38	-185.45454	14.642279	185.53674	152.95947	497.763	-23.592676	185.53685	152.95999	496.9214	-8.07037	4009.0312	2113.106	6484.639	-394.9603	1000.0	4154.45	2045.1208	6710.0757	-347.31378	1000.0	0.10609993	152000	-0.35472515
39	-190.23805	14.881858	190.32756	155.53827	502.2953	-23.592676	190.32768	155.5389	502.6192	-8.07037	4074.2595	2124.251	6611.4067	-394.9603	1000.0	4220.4307	2059.37	6913.5405	-347.31378	1000.0	0.10764369	156000	-0.3458471
40	-194.95819	15.115814	195.05475	158.03009	513.7236	-23.592676	195.05489	158.0307	511.43912	-8.07037	4136.9014	2133.7195	6677.9746	-394.9603	1000.0	4276.3506	2063.287	6913.5405	-347.31378	1000.0	0.10908353	160000	-0.33697236
41	-199.60744	15.342308	199.71109	160.44586	521.17065	-23.592676	199.71129	160.44632	519.6658	-8.07037	4199.4473	2144.4165	6888.387	-394.9603	1000.0	4336.5864	2073.295	6913.5405	-347.31378	1000.0	0.110533796	164000	-0.32836276
42	-204.19264	15.554162	204.30356	162.76549	528.3775	-23.592676	204.30376	162.76598	527.87354	-8.07037	4260.3994	2154.388	6888.387	-394.9603	1000.0	4397.725	2085.5437	6984.265	-347.31378	1000.0	0.111992866	168000	-0.32055327
43	-208.7196	15.772277	208.83731	165.01181	532.44293	-23.592676	208.83742	165.01236	532.5941	-8.07037	4318.9614	2162.8179	6944.9966	-394.9603	1000.0	4456.8843	2096.539	7064.897	-347.31378	1000.0	0.11337006	172000	-0.3130357
44	-213.17784	15.986181	213.30228	167.18716	537.9714	-23.592676	213.30232	167.18765	536.80115	-8.07037	4376.447	2171.1619	7032.9194	-394.9603	1000.0	4517.214	2110.0679	7337.2993	-347.31378	1000.0	0.11474451	176000	-0.30589327
