epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-11.666741	1.3884063	10.18354	3.4696808	27.409191	-0.51812077	10.184172	3.4677813	27.782658	-0.50386983	-370.9872	46.93297	-322.87283	-447.15976	1000.0	-418.16373	10.649397	-400.85944	-436.67343	1000.0	0.3180341	4000	-10.604583
2	-20.132284	2.564169	18.640995	9.564395	65.60238	-0.51812077	18.64143	9.564581	63.52524	-0.76692647	-330.812	65.296265	-219.73022	-447.15976	1000.0	-300.06305	123.829704	-118.87533	-436.67343	1000.0	0.16712475	8000	-5.605576
3	-24.712658	3.0054612	23.562939	11.158453	71.56311	-0.51812077	23.563305	11.160275	72.00171	-0.76692647	-183.72292	227.71674	313.28748	-447.15976	1000.0	-111.837555	344.4918	788.4357	-436.67343	1000.0	0.113955036	12000	-3.7275872
4	-27.21131	3.4611948	26.227037	13.9079685	99.96303	-0.51812077	26.227589	13.909804	100.14164	-0.76692647	43.479553	488.38962	1224.1356	-447.15976	1000.0	242.22629	759.9348	2242.9292	-436.67343	1000.0	0.08941114	16000	-2.7058177
5	-30.162842	4.1989665	29.289196	18.689444	121.25541	-1.9174073	29.289604	18.691574	120.01522	-2.719797	226.50821	686.9523	2025.799	-447.15976	1000.0	329.73993	758.53	2391.8633	-436.67343	1000.0	0.07594461	20000	-2.1313975
6	-33.441986	5.122113	32.642212	24.469269	147.12712	-6.0281715	32.642292	24.472612	143.8649	-5.777239	532.70386	977.8138	2752.2812	-447.15976	1000.0	560.84564	963.2909	3021.5056	-436.67343	1000.0	0.06777985	24000	-1.7278323
7	-38.163708	6.2373405	37.41533	31.704868	167.16507	-9.930085	37.415497	31.708168	167.03822	-9.456026	734.8294	1113.6506	3118.7698	-447.15976	1000.0	835.83405	1176.082	3169.9329	-436.67343	1000.0	0.06355916	28000	-1.4577788
8	-43.827446	7.386581	43.12167	39.508465	190.4883	-14.032481	43.12203	39.51185	190.51295	-12.996264	1061.0771	1354.1462	3532.113	-447.15976	1000.0	1145.9861	1372.7935	3471.1602	-436.67343	1000.0	0.061400063	32000	-1.2506578
9	-50.6287	8.403236	49.963017	47.85292	213.7862	-14.747996	49.96354	47.85606	214.37543	-16.591587	1340.2856	1502.0283	3762.1145	-447.15976	1000.0	1465.2375	1578.3938	4164.2925	-436.67343	1000.0	0.061147105	36000	-1.0991155
10	-58.18804	9.271677	57.56243	56.228523	233.20949	-16.542076	57.563004	56.2312	232.18857	-18.526272	1602.568	1628.1775	4161.577	-447.15976	1000.0	1703.9379	1670.5304	4189.5493	-436.67343	1000.0	0.062158767	40000	-0.9777971
11	-66.17977	10.119007	65.59605	64.264496	258.42758	-16.627092	65.59667	64.267	258.88657	-18.979874	1834.7124	1718.5524	4426.329	-447.15976	1000.0	1959.2709	1786.26	4768.074	-436.67343	1000.0	0.06436238	44000	-0.8813294
12	-74.38981	10.905184	73.84835	71.850174	277.84836	-19.378675	73.84895	71.85247	276.64487	-19.932365	1986.7035	1750.7512	4426.329	-447.15976	1000.0	2184.1003	1865.9253	4853.3726	-436.67343	1000.0	0.06719379	48000	-0.80435216
13	-82.4487	11.847407	81.94612	78.836296	300.45523	-25.90201	81.94673	78.8384	297.98526	-20.791954	2182.5815	1814.0222	4671.1484	-447.15976	1000.0	2374.075	1910.1724	4937.7266	-436.67343	1000.0	0.06977851	52000	-0.74019694
14	-90.61998	12.735923	90.15094	85.55315	323.49695	-25.90201	90.151505	85.55494	323.92963	-22.553173	2367.0886	1870.5825	4917.667	-447.15976	1000.0	2512.39	1926.813	5161.715	-436.67343	1000.0	0.07245025	56000	-0.68541193
15	-98.73449	13.8235655	98.29767	92.00032	352.14948	-25.90201	98.29818	92.001945	350.7789	-22.553173	2488.2256	1910.4756	5295.276	-447.15976	1000.0	2655.5278	1946.9999	5416.8145	-436.67343	1000.0	0.07511776	60000	-0.6372378
16	-106.834465	15.123509	106.42683	98.24602	378.52905	-35.851524	106.42727	98.247475	374.15417	-24.643011	2661.2295	1969.6855	5631.6294	-447.15976	1000.0	2789.0142	1972.9434	5701.924	-436.67343	1000.0	0.0780707	64000	-0.594691
17	-114.84198	16.840302	114.45863	104.25585	400.62546	-35.851524	114.45909	104.25708	396.0341	-25.997614	2739.33	2009.3201	5631.6294	-447.15976	1000.0	2944.963	2013.9441	5858.928	-436.67343	1000.0	0.08121241	68000	-0.5575913
18	-122.79629	18.535181	122.43746	110.0488	410.32132	-35.851524	122.4379	110.04985	406.87903	-25.997614	2901.2566	2063.7173	5718.6655	-447.15976	1000.0	3122.4768	2089.8228	6324.369	-436.67343	1000.0	0.08461914	72000	-0.52579653
19	-130.67882	20.0315	130.34534	115.54791	425.09677	-35.851524	130.34583	115.54883	423.7712	-25.997614	3045.1938	2101.2395	6042.2803	-447.15976	1000.0	3277.5815	2138.1985	6324.369	-436.67343	1000.0	0.087904416	76000	-0.49724224
20	-138.48827	21.492086	138.17981	120.80755	444.20663	-35.851524	138.1803	120.80833	442.2321	-27.630999	3179.5212	2130.4822	6042.2803	-447.15976	1000.0	3407.002	2159.2358	6324.369	-436.67343	1000.0	0.09113348	80000	-0.471044
21	-146.19647	22.961216	145.9135	125.80699	452.31204	-35.851524	145.914	125.80765	450.6194	-29.036625	3315.8684	2167.176	6360.7915	-447.15976	1000.0	3551.225	2203.788	6617.708	-436.67343	1000.0	0.09461976	84000	-0.44788417
22	-153.80371	24.231655	153.54549	130.54695	464.83856	-35.851524	153.54604	130.54745	463.28555	-29.036625	3446.393	2200.394	6375.7715	-447.15976	1000.0	3692.75	2248.776	6834.4355	-436.67343	1000.0	0.098045655	88000	-0.4266698
23	-161.26443	25.427671	161.03067	135.01352	474.24	-35.851524	161.0313	135.01398	473.22675	-32.083797	3569.0928	2227.8499	6394.652	-447.15976	1000.0	3820.3435	2279.5627	6834.4355	-436.67343	1000.0	0.101535484	92000	-0.40787235
24	-168.55087	26.479008	168.34233	139.16629	480.64297	-35.851524	168.34303	139.16661	479.3911	-32.083797	3679.0906	2243.9653	6394.652	-447.15976	1000.0	3927.1104	2289.7349	6834.4355	-436.67343	1000.0	0.10488783	96000	-0.39023057
25	-175.64629	27.364033	175.4633	143.02272	488.41983	-35.851524	175.46402	143.0229	488.5089	-32.083797	3792.4087	2267.6887	6615.045	-447.15976	1000.0	4041.5715	2312.5696	7003.019	-436.67343	1000.0	0.10806563	100000	-0.37428483
26	-182.559	28.070517	182.40047	146.58911	493.87198	-35.851524	182.4012	146.58928	493.00345	-32.083797	3893.1533	2280.193	6615.045	-447.15976	1000.0	4144.1997	2325.2432	7003.019	-436.67343	1000.0	0.11105859	104000	-0.35989836
27	-189.29692	28.638187	189.16174	149.92348	498.6448	-35.851524	189.16248	149.9236	497.9712	-32.083797	3994.976	2297.0562	6717.1597	-447.15976	1000.0	4245.4775	2339.5867	7013.228	-436.67343	1000.0	0.113892585	108000	-0.34608126
28	-195.83252	29.178568	195.72102	153.01413	503.38434	-35.851524	195.72179	153.01416	503.08685	-32.083797	4092.8262	2312.3308	6856.619	-447.15976	1000.0	4337.04	2346.2893	7013.228	-436.67343	1000.0	0.11660523	112000	-0.33378446
29	-202.20273	29.606653	202.1133	155.90527	508.66397	-35.851524	202.114	155.90526	509.28302	-32.083797	4190.668	2330.394	7022.0264	-447.15976	1000.0	4422.7935	2349.7954	7013.228	-436.67343	1000.0	0.11906713	116000	-0.32208785
30	-208.42659	30.04419	208.35835	158.64108	518.9403	-35.851524	208.35907	158.64093	518.1604	-32.083797	4278.764	2339.8984	7022.0264	-447.15976	1000.0	4507.7485	2355.3203	7288.71	-436.67343	1000.0	0.12150476	120000	-0.31120104
31	-214.4947	30.370546	214.44797	161.20668	524.93933	-35.851524	214.44878	161.20659	523.04865	-32.083797	4368.35	2353.6396	7230.1113	-447.15976	1000.0	4581.236	2351.7544	7288.71	-436.67343	1000.0	0.12396079	124000	-0.30088675
32	-220.40056	30.688091	220.37503	163.60713	529.2081	-35.851524	220.37572	163.60709	530.6922	-32.083797	4446.4023	2357.0256	7230.1113	-447.15976	1000.0	4649.221	2345.6177	7288.71	-436.67343	1000.0	0.1262846	128000	-0.2912304
33	-226.14803	30.99269	226.14243	165.8589	537.2199	-35.851524	226.1431	165.85883	538.7497	-32.083797	4523.7964	2362.0793	7230.1113	-447.15976	1000.0	4727.9795	2352.4277	7426.098	-436.67343	1000.0	0.12849578	132000	-0.28239664
34	-231.75098	31.234713	231.76411	167.98358	541.2811	-35.851524	231.76477	167.98341	542.55023	-32.083797	4598.7637	2366.6746	7230.1113	-447.15976	1000.0	4797.7764	2352.1604	7426.098	-436.67343	1000.0	0.13055275	136000	-0.27389073
35	-237.22334	31.488903	237.25554	169.9893	551.03644	-35.851524	237.25629	169.98898	550.261	-32.083797	4668.3403	2367.6829	7230.1113	-447.15976	1000.0	4862.7607	2349.127	7426.098	-436.67343	1000.0	0.13262203	140000	-0.26598388
36	-242.55093	31.709864	242.60074	171.878	553.7047	-35.851524	242.60147	171.87782	553.46204	-32.083797	4736.6685	2369.4622	7367.3247	-447.15976	1000.0	4929.2256	2349.4514	7426.098	-436.67343	1000.0	0.1345657	144000	-0.2587545
37	-247.76093	31.913996	247.82787	173.6772	561.1123	-35.851524	247.82858	173.67696	559.02686	-32.083797	4803.2715	2371.1443	7367.3247	-447.15976	1000.0	4992.807	2348.7117	7426.098	-436.67343	1000.0	0.13641103	148000	-0.2515352
38	-252.86143	32.081352	252.94537	175.36635	566.32404	-35.851524	252.9461	175.36597	563.9094	-32.083797	4867.65	2372.284	7367.3247	-447.15976	1000.0	5056.1206	2349.411	7527.829	-436.67343	1000.0	0.13820645	152000	-0.24477617
39	-257.84134	32.23491	257.94113	176.97383	569.8755	-35.851524	257.9419	176.97354	570.5436	-32.083797	4925.41	2368.6487	7367.3247	-447.15976	1000.0	5118.436	2350.7341	7614.036	-436.67343	1000.0	0.13980894	156000	-0.23839676
40	-262.71353	32.370228	262.82883	178.49832	574.39465	-35.851524	262.8296	178.49817	571.56903	-32.083797	4983.8584	2367.2139	7367.3247	-447.15976	1000.0	5178.591	2351.399	7614.749	-436.67343	1000.0	0.14140977	160000	-0.23250973
41	-267.47675	32.477753	267.60608	179.95155	578.30145	-35.851524	267.60684	179.95122	579.03973	-32.083797	5042.636	2367.5579	7487.999	-447.15976	1000.0	5234.0195	2348.8784	7614.749	-436.67343	1000.0	0.14284384	164000	-0.22682418
42	-272.14648	32.574062	272.28943	181.34868	581.61566	-35.851524	272.29025	181.34836	581.76953	-32.083797	5097.4897	2365.515	7524.2637	-447.15976	1000.0	5281.294	2340.4685	7614.749	-436.67343	1000.0	0.1442331	168000	-0.22122486
43	-276.71716	32.6533	276.87372	182.68063	586.97144	-35.851524	276.8746	182.68036	585.11993	-32.083797	5150.8677	2363.3518	7542.7896	-447.15976	1000.0	5327.4453	2332.3699	7614.749	-436.67343	1000.0	0.14567924	172000	-0.21595395
44	-281.19382	32.718807	281.36325	183.95529	589.6052	-35.851524	281.3642	183.95491	589.43665	-32.083797	5203.3984	2361.7302	7699.12	-447.15976	1000.0	5379.6704	2331.0378	7749.272	-436.67343	1000.0	0.14700966	176000	-0.21103778
45	-285.60495	32.77459	285.78625	185.19519	594.2233	-35.851524	285.78717	185.19493	593.0257	-32.083797	5252.4688	2357.9404	7699.12	-447.15976	1000.0	5428.5557	2327.7107	7749.272	-436.67343	1000.0	0.14824641	180000	-0.20652522
46	-289.92883	32.821644	290.12207	186.38669	597.3946	-35.851524	290.12302	186.38644	598.6732	-32.083797	5301.103	2354.8987	7699.12	-447.15976	1000.0	5478.378	2326.4746	7897.6978	-436.67343	1000.0	0.1494948	184000	-0.20180799
47	-294.16238	32.87415	294.3671	187.52602	603.69037	-35.851524	294.36807	187.5257	603.8344	-32.083797	5348.9023	2352.2556	7756.52	-447.15976	1000.0	5521.8315	2320.4053	7897.6978	-436.67343	1000.0	0.15070525	188000	-0.19751696
48	-298.31512	32.92209	298.53076	188.61832	607.1996	-35.851524	298.53168	188.61818	608.0457	-32.083797	5395.784	2349.713	7756.52	-447.15976	1000.0	5567.609	2317.4805	7897.6978	-436.67343	1000.0	0.15185374	192000	-0.19347763
49	-302.39316	32.95788	302.61984	189.6649	611.79236	-35.851524	302.62064	189.66455	613.1489	-32.083797	5441.4834	2347.0923	7756.52	-447.15976	1000.0	5611.7314	2314.0662	7897.6978	-436.67343	1000.0	0.1530333	196000	-0.18932824
50	-306.38922	32.982754	306.62668	190.66428	614.77496	-35.851524	306.6274	190.66397	615.829	-32.083797	5486.334	2344.6584	7850.716	-447.15976	1000.0	5653.351	2309.2834	7897.6978	-436.67343	1000.0	0.15417251	200000	-0.18546899
